dataset,initial_set,cost_type,budget,initial_set_size,alpha,initial_r2_mean,initial_r2_std,initial_r2_se,random_updated_r2_mean,random_updated_r2_std,random_updated_r2_se,random_delta_r2_mean,random_delta_r2_se,random_unit_updated_r2_mean,random_unit_updated_r2_std,random_unit_updated_r2_se,random_unit_delta_r2_mean,random_unit_delta_r2_se,similarity_updated_r2_mean,similarity_updated_r2_std,similarity_updated_r2_se,similarity_delta_r2_mean,similarity_delta_r2_se,poprisk_nlcd_0.5_updated_r2_mean,poprisk_nlcd_0.5_updated_r2_std,poprisk_nlcd_0.5_updated_r2_se,poprisk_nlcd_0.5_delta_r2_mean,poprisk_nlcd_0.5_delta_r2_se,poprisk_nlcd_1.0_updated_r2_mean,poprisk_nlcd_1.0_updated_r2_std,poprisk_nlcd_1.0_updated_r2_se,poprisk_nlcd_1.0_delta_r2_mean,poprisk_nlcd_1.0_delta_r2_se,greedycost_updated_r2_mean,greedycost_updated_r2_std,greedycost_updated_r2_se,greedycost_delta_r2_mean,greedycost_delta_r2_se
USAVARS_TC,5_fixedstrata_10ppc_200_size,cluster_based_c1_10_c2_25,100,200,15.0,0.63,0.07,0.022150240530422135,0.64,0.1,0.033526781997548036,0.01,0.02416591814932758,0.68,0.07,0.02496671918107517,0.05,0.026982833225754645,0.69,0.03,0.010865924821303628,0.06,0.015294560035080007,0.71,0.06,0.01971806954716071,0.08,0.014627643540760613,0.71,0.08,0.02647524126424535,0.08,0.022251600691485848,0.69,0.05,0.01765965143735541,0.06,0.023831935623351192
USAVARS_TC,5_fixedstrata_10ppc_200_size,cluster_based_c1_10_c2_25,500,200,15.0,0.63,0.07,0.022150240530422135,0.69,0.09,0.029675191471815122,0.06,0.026437961973899072,0.75,0.06,0.020648325194391273,0.12,0.03625220974107801,0.75,0.03,0.009725739617690325,0.12,0.01973090891638464,0.78,0.03,0.010305407965400174,0.15,0.024425014727619803,0.79,0.01,0.004211254761548704,0.16,0.02233461787350648,0.76,0.01,0.0032393826572357865,0.13,0.02106724155333741
USAVARS_TC,5_fixedstrata_10ppc_200_size,cluster_based_c1_10_c2_25,1000,200,15.0,0.63,0.07,0.022150240530422135,0.73,0.05,0.01793307589654131,0.1,0.019573867215698024,0.8,0.02,0.005864143396761177,0.16,0.02264432624546624,0.77,0.02,0.007322170291503592,0.14,0.021634287600935692,0.82,0.01,0.0028573880847141938,0.19,0.020623041051751372,0.82,0.01,0.0025462499659084717,0.18,0.021607624425959763,0.79,0.01,0.003603109767964335,0.16,0.022768090731450353
