dataset,initial_set,cost_type,budget,alpha,initial_r2_mean,initial_r2_std,random_updated_r2_mean,random_updated_r2_std,random_delta_r2_mean,random_delta_r2_se,random_unit_updated_r2_mean,random_unit_updated_r2_std,random_unit_delta_r2_mean,random_unit_delta_r2_se,similarity_updated_r2_mean,similarity_updated_r2_std,similarity_delta_r2_mean,similarity_delta_r2_se,poprisk_nlcd_0.5_updated_r2_mean,poprisk_nlcd_0.5_updated_r2_std,poprisk_nlcd_0.5_delta_r2_mean,poprisk_nlcd_0.5_delta_r2_se,poprisk_nlcd_1.0_updated_r2_mean,poprisk_nlcd_1.0_updated_r2_std,poprisk_nlcd_1.0_delta_r2_mean,poprisk_nlcd_1.0_delta_r2_se,greedycost_updated_r2_mean,greedycost_updated_r2_std,greedycost_delta_r2_mean,greedycost_delta_r2_se
USAVARS_TC,5_fixedstrata_10ppc_100_size,cluster_based_c1_10_c2_15,100,5.0,0.5,0.13,0.54,0.12,0.04,0.04757831859156016,0.62,0.1,0.12,0.05511819118947936,0.65,0.02,0.16,0.05434529786467271,0.68,0.05,0.18,0.04994093511339169,0.71,0.03,0.21,0.05381491057318594,0.61,0.08,0.11,0.04562792346798175
USAVARS_TC,5_fixedstrata_10ppc_100_size,cluster_based_c1_10_c2_15,500,5.0,0.5,0.13,0.69,0.07,0.2,0.05782506722866821,0.74,0.02,0.24,0.06939033794412591,0.73,0.02,0.24,0.060378883726017976,0.78,0.01,0.29,0.06433328531949849,0.79,0.01,0.3,0.06178972891994266,0.76,0.01,0.26,0.06263879468827604
USAVARS_TC,5_fixedstrata_10ppc_100_size,cluster_based_c1_10_c2_15,1000,5.0,0.5,0.13,0.73,0.02,0.24,0.06241492129290878,0.8,0.01,0.3,0.06574402330250256,0.78,0.01,0.28,0.06154712016008548,0.83,0.01,0.33,0.06796080929476929,0.82,0.01,0.33,0.06194022602477327,0.79,0.01,0.3,0.06608755253449775
