dataset,initial_set,cost_type,budget,initial_set_size,alpha,initial_r2_mean,initial_r2_std,random_updated_r2_mean,random_updated_r2_std,random_delta_r2_mean,random_delta_r2_se,random_unit_updated_r2_mean,random_unit_updated_r2_std,random_unit_delta_r2_mean,random_unit_delta_r2_se,similarity_updated_r2_mean,similarity_updated_r2_std,similarity_delta_r2_mean,similarity_delta_r2_se,poprisk_nlcd_0.5_updated_r2_mean,poprisk_nlcd_0.5_updated_r2_std,poprisk_nlcd_0.5_delta_r2_mean,poprisk_nlcd_0.5_delta_r2_se,greedycost_updated_r2_mean,greedycost_updated_r2_std,greedycost_delta_r2_mean,greedycost_delta_r2_se
USAVARS_POP,5_fixedstrata_10ppc_200_size,cluster_based_c1_10_c2_10,100,200,0.0,0.31,0.11,0.34,0.09,0.03,0.017734655652453787,0.41,0.07,0.1,0.029236506859290377,0.29,0.11,-0.01,0.011526441100549834,0.45,0.05,0.14,0.0286856373275702,0.4,0.07,0.09,0.031665877358584095
USAVARS_POP,5_fixedstrata_10ppc_200_size,cluster_based_c1_10_c2_10,500,200,0.0,0.31,0.11,0.44,0.05,0.13,0.03576819832073053,0.5,0.02,0.19,0.03464962337457652,0.38,0.04,0.07,0.03309680498175012,0.5,0.04,0.19,0.038669427487644834,0.52,0.02,0.21,0.03757017670676806
USAVARS_POP,5_fixedstrata_10ppc_200_size,cluster_based_c1_10_c2_10,1000,200,0.0,0.31,0.11,0.48,0.03,0.17,0.03607649835188183,0.55,0.01,0.24,0.036151876545731036,0.42,0.03,0.11,0.03151032564449663,0.56,0.02,0.25,0.03725366514407227,0.56,0.02,0.25,0.03786928526743892
