dataset,initial_set,cost_type,budget,initial_set_size,alpha,initial_r2_mean,initial_r2_std,initial_r2_se,random_updated_r2_mean,random_updated_r2_std,random_updated_r2_se,random_delta_r2_mean,random_delta_r2_se,random_unit_updated_r2_mean,random_unit_updated_r2_std,random_unit_updated_r2_se,random_unit_delta_r2_mean,random_unit_delta_r2_se,similarity_updated_r2_mean,similarity_updated_r2_std,similarity_updated_r2_se,similarity_delta_r2_mean,similarity_delta_r2_se,poprisk_nlcd_0.5_updated_r2_mean,poprisk_nlcd_0.5_updated_r2_std,poprisk_nlcd_0.5_updated_r2_se,poprisk_nlcd_0.5_delta_r2_mean,poprisk_nlcd_0.5_delta_r2_se,greedycost_updated_r2_mean,greedycost_updated_r2_std,greedycost_updated_r2_se,greedycost_delta_r2_mean,greedycost_delta_r2_se,poprisk_avg_image_8_clusters_0.5_updated_r2_mean,poprisk_avg_image_8_clusters_0.5_updated_r2_std,poprisk_avg_image_8_clusters_0.5_updated_r2_se,poprisk_avg_image_8_clusters_0.5_delta_r2_mean,poprisk_avg_image_8_clusters_0.5_delta_r2_se,poprisk_avg_image_8_clusters_1.0_updated_r2_mean,poprisk_avg_image_8_clusters_1.0_updated_r2_std,poprisk_avg_image_8_clusters_1.0_updated_r2_se,poprisk_avg_image_8_clusters_1.0_delta_r2_mean,poprisk_avg_image_8_clusters_1.0_delta_r2_se,poprisk_avg_states_0.5_updated_r2_mean,poprisk_avg_states_0.5_updated_r2_std,poprisk_avg_states_0.5_updated_r2_se,poprisk_avg_states_0.5_delta_r2_mean,poprisk_avg_states_0.5_delta_r2_se,poprisk_avg_states_1.0_updated_r2_mean,poprisk_avg_states_1.0_updated_r2_std,poprisk_avg_states_1.0_updated_r2_se,poprisk_avg_states_1.0_delta_r2_mean,poprisk_avg_states_1.0_delta_r2_se,poprisk_avg_image_clusters_2_0.5_updated_r2_mean,poprisk_avg_image_clusters_2_0.5_updated_r2_std,poprisk_avg_image_clusters_2_0.5_updated_r2_se,poprisk_avg_image_clusters_2_0.5_delta_r2_mean,poprisk_avg_image_clusters_2_0.5_delta_r2_se,poprisk_avg_image_clusters_8_0.5_updated_r2_mean,poprisk_avg_image_clusters_8_0.5_updated_r2_std,poprisk_avg_image_clusters_8_0.5_updated_r2_se,poprisk_avg_image_clusters_8_0.5_delta_r2_mean,poprisk_avg_image_clusters_8_0.5_delta_r2_se,poprisk_avg_nlcd_0.5_updated_r2_mean,poprisk_avg_nlcd_0.5_updated_r2_std,poprisk_avg_nlcd_0.5_updated_r2_se,poprisk_avg_nlcd_0.5_delta_r2_mean,poprisk_avg_nlcd_0.5_delta_r2_se,poprisk_image_8_clusters_0.5_updated_r2_mean,poprisk_image_8_clusters_0.5_updated_r2_std,poprisk_image_8_clusters_0.5_updated_r2_se,poprisk_image_8_clusters_0.5_delta_r2_mean,poprisk_image_8_clusters_0.5_delta_r2_se,poprisk_image_8_clusters_1.0_updated_r2_mean,poprisk_image_8_clusters_1.0_updated_r2_std,poprisk_image_8_clusters_1.0_updated_r2_se,poprisk_image_8_clusters_1.0_delta_r2_mean,poprisk_image_8_clusters_1.0_delta_r2_se,poprisk_states_0.5_updated_r2_mean,poprisk_states_0.5_updated_r2_std,poprisk_states_0.5_updated_r2_se,poprisk_states_0.5_delta_r2_mean,poprisk_states_0.5_delta_r2_se,poprisk_states_1.0_updated_r2_mean,poprisk_states_1.0_updated_r2_std,poprisk_states_1.0_updated_r2_se,poprisk_states_1.0_delta_r2_mean,poprisk_states_1.0_delta_r2_se,poprisk_image_clusters_2_0.5_updated_r2_mean,poprisk_image_clusters_2_0.5_updated_r2_std,poprisk_image_clusters_2_0.5_updated_r2_se,poprisk_image_clusters_2_0.5_delta_r2_mean,poprisk_image_clusters_2_0.5_delta_r2_se,poprisk_image_clusters_8_0.5_updated_r2_mean,poprisk_image_clusters_8_0.5_updated_r2_std,poprisk_image_clusters_8_0.5_updated_r2_se,poprisk_image_clusters_8_0.5_delta_r2_mean,poprisk_image_clusters_8_0.5_delta_r2_se
USAVARS_POP,5_fixedstrata_10ppc_100_size,cluster_based_c1_10_c2_20,100,100,10.0,-0.0,0.26,0.08811558854393724,0.06,0.19,0.06318342082118272,0.07,0.0523281573873527,0.23,0.12,0.03927529956035415,0.23,0.06108240781472555,0.19,0.32,0.1058128769731422,0.2,0.04989762508265186,0.28,0.11,0.03668704645754108,0.29,0.07066961228137593,0.25,0.17,0.05641667218119126,0.26,0.06007565378568742,0.14,0.18,0.05943647486556082,0.15,0.06346375028313406,0.16,0.16,0.05400885740115021,0.17,0.06179549390260317,0.22,0.18,0.05850297855665128,0.22,0.10194379715204734,0.22,0.18,0.05850297855665128,0.22,0.10194379715204734,0.24,0.11,0.036391109414861816,0.24,0.08242096692522413,0.14,0.18,0.05943647486556082,0.15,0.06346375028313406,0.22,0.16,0.05409846259881657,0.23,0.08207515553171713,0.35,0.07,0.021723520279488158,0.35,0.08636941877771322,0.29,0.12,0.04071876771765624,0.3,0.06942903563271557,0.25,0.12,0.039577584705374716,0.25,0.08983847010669264,0.25,0.12,0.041252530696781364,0.26,0.08878686846100109,0.2,0.15,0.04848745817219129,0.2,0.07959500465900272,0.35,0.07,0.021723520279488158,0.35,0.08636941877771322
USAVARS_POP,5_fixedstrata_10ppc_100_size,cluster_based_c1_10_c2_20,200,100,10.0,-0.0,0.26,0.08811558854393724,0.16,0.21,0.07023069256228204,0.17,0.0550707021321985,0.31,0.19,0.06423008684063532,0.32,0.08606630131603324,0.31,0.1,0.03223159957419289,0.31,0.08031239256802153,0.35,0.08,0.027403251226410665,0.36,0.0882866317425489,0.35,0.08,0.026950975245186706,0.35,0.08432291905394272,0.25,0.1,0.03255813876744185,0.25,0.06592542596668517,0.24,0.1,0.033920325601162635,0.25,0.0651164315327211,0.35,0.08,0.02556374255333779,0.36,0.10323945138474062,0.35,0.08,0.02556374255333779,0.36,0.10323945138474062,0.33,0.06,0.020105927539465128,0.33,0.09224146235710802,0.25,0.1,0.03255813876744185,0.25,0.06592542596668517,0.33,0.06,0.020866992542716303,0.34,0.07937813783824023,0.41,0.04,0.012073480580732855,0.41,0.08781458427340592,0.43,0.05,0.015699795115435955,0.43,0.0926355880737947,0.37,0.07,0.023000947806557887,0.38,0.09212076910230395,0.39,0.07,0.02326698304464934,0.39,0.09315074759645128,0.3,0.1,0.032221856798694194,0.3,0.08247613526886968,0.41,0.04,0.012073480580732855,0.41,0.08781458427340592
USAVARS_POP,5_fixedstrata_10ppc_100_size,cluster_based_c1_10_c2_20,300,100,10.0,-0.0,0.26,0.08811558854393724,0.17,0.26,0.08759716135684864,0.18,0.06390091600804065,0.38,0.13,0.042371717506426904,0.38,0.07837775088207963,0.31,0.08,0.025962002148439082,0.32,0.09302433044938059,0.44,0.05,0.018143178699812593,0.44,0.0807093625988405,0.39,0.05,0.016052225875421627,0.39,0.08915834609153411,0.31,0.09,0.03066045607401603,0.31,0.08776589162843007,0.29,0.09,0.029507198556736405,0.3,0.08826255428486582,0.39,0.04,0.014223550111620435,0.39,0.0877399749892323,0.39,0.04,0.014223550111620435,0.39,0.0877399749892323,0.39,0.05,0.015827683202400647,0.39,0.08427319496072809,0.31,0.09,0.03066045607401603,0.31,0.08776589162843007,0.39,0.04,0.012577062013399188,0.39,0.07778552200334798,0.43,0.03,0.010934107696154778,0.44,0.08620038856576512,0.39,0.09,0.028828658580578384,0.39,0.09323615685153717,0.43,0.05,0.01634935302831413,0.43,0.09405985777389016,0.43,0.08,0.026203781745728568,0.43,0.09511002757041154,0.33,0.12,0.038846855442593774,0.33,0.083372184343594,0.43,0.03,0.010934107696154778,0.44,0.08620038856576512
USAVARS_POP,5_fixedstrata_10ppc_100_size,cluster_based_c1_10_c2_20,400,100,10.0,-0.0,0.26,0.08811558854393724,0.14,0.32,0.10817713400817298,0.14,0.07757584417845544,0.4,0.09,0.029851458367501353,0.4,0.08573676353946551,0.34,0.09,0.028530782596268813,0.35,0.09010889245795889,0.47,0.02,0.007976232053907269,0.47,0.08620885878686328,0.42,0.04,0.01473466095074241,0.42,0.08864048460557462,0.37,0.02,0.006236576696304543,0.37,0.08529202157555209,0.38,0.02,0.007040820659238206,0.38,0.0841951957589558,0.4,0.05,0.017234874528118848,0.41,0.09110891382174291,0.4,0.05,0.017234874528118848,0.41,0.09110891382174291,0.4,0.04,0.012249707933026177,0.4,0.09056728597506326,0.37,0.02,0.006236576696304543,0.37,0.08529202157555209,0.4,0.03,0.011431275324982577,0.4,0.08375888410590641,0.42,0.04,0.011880118312168066,0.43,0.08994761216026435,0.42,0.03,0.009103216159382596,0.43,0.08515339387768926,0.45,0.04,0.012801057248003641,0.45,0.09283889396870976,0.45,0.04,0.012595142361684967,0.45,0.08612235869196028,0.38,0.05,0.015313088083945272,0.39,0.0875736353653947,0.42,0.04,0.011880118312168066,0.43,0.08994761216026435
USAVARS_POP,5_fixedstrata_10ppc_100_size,cluster_based_c1_10_c2_20,500,100,10.0,-0.0,0.26,0.08811558854393724,0.25,0.15,0.050575366094132775,0.25,0.07259931618900492,0.45,0.05,0.01672457572954642,0.45,0.0795449798681364,0.4,0.05,0.01571660162588168,0.4,0.08630443248563,0.46,0.01,0.004666624999813985,0.46,0.08968620109396241,0.44,0.04,0.012617182288010618,0.44,0.08969499558689623,0.38,0.02,0.005943737133412875,0.39,0.0848204218072249,0.39,0.02,0.0069703251956657886,0.39,0.08384632397693081,0.44,0.03,0.010299409368178995,0.44,0.09380661075970191,0.44,0.03,0.010299409368178995,0.44,0.09380661075970191,0.42,0.04,0.012026062438627938,0.42,0.09152225964819218,0.38,0.02,0.005943737133412875,0.39,0.0848204218072249,0.41,0.03,0.009377647181818405,0.41,0.08333351659979849,0.45,0.03,0.008405726222839603,0.45,0.09164766687943804,0.42,0.04,0.012921964074998639,0.43,0.09447854012655171,0.47,0.03,0.0087868563459547,0.48,0.08514951692953597,0.5,0.03,0.010941594439974866,0.5,0.09360332312476945,0.4,0.05,0.01645706906536587,0.4,0.08406734839797592,0.45,0.03,0.008405726222839603,0.45,0.09164766687943804
USAVARS_POP,5_fixedstrata_10ppc_100_size,cluster_based_c1_10_c2_20,1000,100,10.0,-0.0,0.26,0.08811558854393724,0.37,0.07,0.023674381137048166,0.38,0.08456947728872923,0.5,0.03,0.008672962456841252,0.5,0.0828307323535306,0.43,0.03,0.01141702432529792,0.43,0.09023794625568803,0.52,0.01,0.004464662485688147,0.53,0.08774620118399555,0.48,0.04,0.011898961672721232,0.49,0.09435361860810876,0.48,0.02,0.006448332256396908,0.48,0.08653503619279815,0.49,0.01,0.004788273871309643,0.49,0.08892093341840267,0.52,0.03,0.010104236735152242,0.52,0.09047888206648003,0.52,0.02,0.007732779434186509,0.53,0.09126293174729329,0.46,0.02,0.006163281953995323,0.47,0.09024055684668617,0.48,0.02,0.006448332256396908,0.48,0.08653503619279815,0.47,0.01,0.00481524892629885,0.48,0.08493091054890833,0.49,0.04,0.011881533758082099,0.49,0.09527351858960832,0.5,0.03,0.009170009087600005,0.5,0.09239735812721535,0.52,0.02,0.007301163529800501,0.52,0.09175192059751847,0.52,0.01,0.0032301857531727147,0.52,0.08919599044301885,0.47,0.03,0.01076851583707492,0.47,0.08465670341640605,0.49,0.04,0.011881533758082099,0.49,0.09527351858960832
USAVARS_POP,5_fixedstrata_10ppc_100_size,cluster_based_c1_10_c2_25,100,100,15.0,-0.0,0.26,0.08811558854393724,0.04,0.26,0.08756224129155213,0.05,0.05490062173297008,0.21,0.16,0.05328903879369148,0.21,0.10087850470298967,0.19,0.32,0.1058128769731422,0.2,0.04989762508265186,0.14,0.3,0.10124003605293708,0.14,0.06989145838767107,0.25,0.17,0.05641667218119126,0.26,0.06007565378568742,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USAVARS_POP,5_fixedstrata_10ppc_100_size,cluster_based_c1_10_c2_25,500,100,15.0,-0.0,0.26,0.08811558854393724,0.14,0.33,0.10851829134093272,0.14,0.07800954108312648,0.4,0.09,0.029851458367501353,0.4,0.08573676353946551,0.4,0.05,0.01571660162588168,0.4,0.08630443248563,0.41,0.07,0.022390051362156358,0.41,0.08439688652761757,0.44,0.04,0.012617182288010618,0.44,0.08969499558689623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USAVARS_POP,5_fixedstrata_10ppc_100_size,cluster_based_c1_10_c2_25,1000,100,15.0,-0.0,0.26,0.08811558854393724,0.31,0.11,0.03561432748518806,0.31,0.08358607566122749,0.48,0.02,0.007884985027816404,0.49,0.08382434438223248,0.43,0.03,0.01141702432529792,0.43,0.09023794625568803,0.52,0.02,0.00739260892152876,0.52,0.09253749540351495,0.48,0.04,0.011898961672721232,0.49,0.09435361860810876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USAVARS_POP,5_fixedstrata_10ppc_100_size,cluster_based_c1_10_c2_30,100,100,20.0,-0.0,0.26,0.08811558854393724,0.04,0.26,0.08508101766355798,0.05,0.05237274906327187,0.18,0.17,0.05761190164463512,0.18,0.09243194277112456,0.19,0.32,0.1058128769731422,0.2,0.04989762508265186,0.27,0.11,0.03690339701316277,0.28,0.07951145752517542,0.25,0.17,0.05641667218119126,0.26,0.06007565378568742,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USAVARS_POP,5_fixedstrata_10ppc_100_size,cluster_based_c1_10_c2_30,500,100,20.0,-0.0,0.26,0.08811558854393724,0.16,0.29,0.09660317800155438,0.17,0.06896626590829268,0.41,0.08,0.027487719278090555,0.41,0.08135398979494217,0.4,0.05,0.01571660162588168,0.4,0.08630443248563,0.41,0.04,0.012512756157884108,0.41,0.09298700512556698,0.44,0.04,0.012617182288010618,0.44,0.08969499558689623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USAVARS_POP,5_fixedstrata_10ppc_100_size,cluster_based_c1_10_c2_30,1000,100,20.0,-0.0,0.26,0.08811558854393724,0.29,0.14,0.048135394692702185,0.3,0.08477262431547894,0.46,0.04,0.014455988378523275,0.47,0.07912012309000649,0.43,0.03,0.01141702432529792,0.43,0.09023794625568803,0.5,0.03,0.008348419012004603,0.5,0.09095636707296037,0.48,0.04,0.011898961672721232,0.49,0.09435361860810876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USAVARS_POP,5_fixedstrata_10ppc_100_size,cluster_based_c1_10_c2_35,100,100,25.0,-0.0,0.26,0.08811558854393724,-0.02,0.36,0.12117751207766783,-0.02,0.0553561041500092,0.2,0.16,0.05215607815862777,0.21,0.0834716950695131,0.19,0.32,0.1058128769731422,0.2,0.04989762508265186,0.23,0.11,0.03714828558927346,0.23,0.0823419399010411,0.25,0.17,0.05641667218119126,0.26,0.06007565378568742,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USAVARS_POP,5_fixedstrata_10ppc_100_size,cluster_based_c1_10_c2_35,500,100,25.0,-0.0,0.26,0.08811558854393724,0.19,0.2,0.06728350004107826,0.2,0.06251018130406172,0.37,0.14,0.04629625194812691,0.38,0.07915659585067228,0.4,0.05,0.01571660162588168,0.4,0.08630443248563,0.42,0.07,0.02203929722614181,0.42,0.09905799541458303,0.44,0.04,0.012617182288010618,0.44,0.08969499558689623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USAVARS_POP,5_fixedstrata_10ppc_100_size,cluster_based_c1_10_c2_35,1000,100,25.0,-0.0,0.26,0.08811558854393724,0.31,0.09,0.031454927895146874,0.31,0.08714284881732981,0.45,0.05,0.017060202226234007,0.46,0.07822893184607455,0.43,0.03,0.01141702432529792,0.43,0.09023794625568803,0.44,0.04,0.01393423800890773,0.44,0.07952373957225324,0.48,0.04,0.011898961672721232,0.49,0.09435361860810876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
