dataset,initial_set,cost_type,budget,alpha,initial_r2_mean,initial_r2_std,random_updated_r2_mean,random_updated_r2_std,random_delta_r2_mean,random_delta_r2_se,random_unit_updated_r2_mean,random_unit_updated_r2_std,random_unit_delta_r2_mean,random_unit_delta_r2_se,similarity_updated_r2_mean,similarity_updated_r2_std,similarity_delta_r2_mean,similarity_delta_r2_se,poprisk_regions_0.5_updated_r2_mean,poprisk_regions_0.5_updated_r2_std,poprisk_regions_0.5_delta_r2_mean,poprisk_regions_0.5_delta_r2_se,greedycost_updated_r2_mean,greedycost_updated_r2_std,greedycost_delta_r2_mean,greedycost_delta_r2_se
TOGO_PH_H2O,2_strata_desired_25ppc_500_size,cluster_based_c1_25_c2_40,100,15.0,0.05,0.16,0.06,0.16,0.0,0.00784856674813943,0.08,0.16,0.03,0.029396894393796086,0.15,0.02,0.1,0.08285464621854347,0.03,0.19,-0.02,0.025283880240184655,0.03,0.18,-0.02,0.014798770219176995
TOGO_PH_H2O,2_strata_desired_25ppc_500_size,cluster_based_c1_25_c2_40,500,15.0,0.05,0.16,0.15,0.06,0.1,0.0806053261267517,0.17,0.03,0.12,0.081000551849972,-0.04,0.22,-0.1,0.031739360422037496,0.21,0.03,0.16,0.07617230073983587,0.04,0.13,-0.01,0.06722030645571321
TOGO_PH_H2O,2_strata_desired_25ppc_500_size,cluster_based_c1_25_c2_40,1000,15.0,0.05,0.16,0.17,0.04,0.11,0.09409531019131613,0.19,0.07,0.14,0.07089903384391073,0.03,0.17,-0.02,0.054512139932312326,0.23,0.02,0.18,0.0877690514931089,0.11,0.06,0.05,0.05929532359301195
