initial_set_size,initial_r2_mean,initial_r2_std,initial_r2_se
500,0.09,0.12,0.041614387068790414
1000,0.15,0.06,0.021452967678673784
1500,0.15,0.07,0.02484724979192309
2500,0.16,0.06,0.019384604429518
3000,0.14,0.04,0.014958793771929308
