dataset,initial_set,cost_type,budget,initial_set_size,alpha,initial_r2_mean,initial_r2_std,initial_r2_se,random_updated_r2_mean,random_updated_r2_std,random_updated_r2_se,random_delta_r2_mean,random_delta_r2_se,random_unit_updated_r2_mean,random_unit_updated_r2_std,random_unit_updated_r2_se,random_unit_delta_r2_mean,random_unit_delta_r2_se,similarity_updated_r2_mean,similarity_updated_r2_std,similarity_updated_r2_se,similarity_delta_r2_mean,similarity_delta_r2_se,poprisk_nlcd_0.5_updated_r2_mean,poprisk_nlcd_0.5_updated_r2_std,poprisk_nlcd_0.5_updated_r2_se,poprisk_nlcd_0.5_delta_r2_mean,poprisk_nlcd_0.5_delta_r2_se,greedycost_updated_r2_mean,greedycost_updated_r2_std,greedycost_updated_r2_se,greedycost_delta_r2_mean,greedycost_delta_r2_se
USAVARS_POP,5_fixedstrata_10ppc_200_size,cluster_based_c1_10_c2_35,100,200,25.0,0.31,0.11,0.03812313150248226,0.29,0.11,0.03828067179835449,-0.02,0.01823084352287506,0.34,0.1,0.03196353477879997,0.03,0.02973725011571252,0.36,0.08,0.025571826728300464,0.05,0.031742359535625084,0.35,0.09,0.029246416874550627,0.04,0.033533003477502904,0.38,0.09,0.029821413819975443,0.07,0.025347410343289724
USAVARS_POP,5_fixedstrata_10ppc_200_size,cluster_based_c1_10_c2_35,500,200,25.0,0.31,0.11,0.03812313150248226,0.35,0.08,0.02637856895284503,0.04,0.01940442131749016,0.43,0.04,0.012674273593035265,0.12,0.03207086614913223,0.43,0.04,0.013886010546189605,0.12,0.03173565887837283,0.46,0.02,0.008299850065580162,0.15,0.033690565115144296,0.46,0.04,0.011864393040616206,0.15,0.037872663844343804
USAVARS_POP,5_fixedstrata_10ppc_200_size,cluster_based_c1_10_c2_35,1000,200,25.0,0.31,0.11,0.03812313150248226,0.39,0.08,0.025570726318281306,0.09,0.028683079797446203,0.45,0.06,0.02053280545858261,0.14,0.03146234521879554,0.46,0.03,0.009972054842296938,0.15,0.036053531341911874,0.49,0.03,0.008834150905560886,0.18,0.037712179582846825,0.49,0.03,0.0102998861913885,0.18,0.03821968152085461
