filename,sample_size,seed,source,r2
IDS_top50_urban_700_points_probabilistic_seed_456.pkl,700,,urban_based,-0.04077512096167335
IDS_top50_urban_700_points_probabilistic_seed_5678.pkl,700,,urban_based,-0.07480772749015663
IDS_top50_urban_700_points_probabilistic_seed_789.pkl,700,,urban_based,-0.5240084777201313
IDS_top50_urban_700_points_probabilistic_seed_9101.pkl,700,,urban_based,0.011562965244046985
IDS_top50_urban_800_points_probabilistic_seed_1.pkl,800,,urban_based,-0.13091134711103658
IDS_top50_urban_800_points_probabilistic_seed_123.pkl,800,,urban_based,-0.21387214124806042
IDS_top50_urban_800_points_probabilistic_seed_42.pkl,800,,urban_based,0.10125535558201415
IDS_top50_urban_800_points_probabilistic_seed_456.pkl,800,,urban_based,-0.220658404148248
IDS_region_28_100_points_seed_1.pkl,100,,region_based,-20.703507532655003
IDS_region_28_100_points_seed_1213.pkl,100,,region_based,-0.6219325178965796
IDS_region_28_100_points_seed_123.pkl,100,,region_based,-0.8318529464712345
IDS_region_28_100_points_seed_1234.pkl,100,,region_based,-2.426251681393236
IDS_region_28_100_points_seed_1415.pkl,100,,region_based,-2.6191127669823793
IDS_region_28_100_points_seed_42.pkl,100,,region_based,-0.8740002326300189
IDS_region_28_100_points_seed_456.pkl,100,,region_based,-3.902482123090622
IDS_region_28_100_points_seed_5678.pkl,100,,region_based,-0.9056035592077882
IDS_region_28_100_points_seed_789.pkl,100,,region_based,-0.5651847389721794
IDS_region_28_100_points_seed_9101.pkl,100,,region_based,-51.47036440282938
IDS_region_28_200_points_seed_1.pkl,200,,region_based,-15.027811063394473
IDS_region_28_200_points_seed_1213.pkl,200,,region_based,-0.8030275728423246
IDS_region_28_200_points_seed_123.pkl,200,,region_based,-0.6622960078881015
IDS_region_28_200_points_seed_1234.pkl,200,,region_based,-0.5409756348318486
IDS_region_28_200_points_seed_1415.pkl,200,,region_based,-0.6183635022500442
IDS_region_28_200_points_seed_42.pkl,200,,region_based,-0.8442009527325358
IDS_region_28_200_points_seed_456.pkl,200,,region_based,-1.174582521237789
IDS_region_28_200_points_seed_5678.pkl,200,,region_based,-9.325726920676383
IDS_region_28_200_points_seed_789.pkl,200,,region_based,-0.750411155847317
IDS_region_28_200_points_seed_9101.pkl,200,,region_based,-71.71203173576424
IDS_region_28_300_points_seed_1.pkl,300,,region_based,-0.8676463060978628
IDS_region_28_300_points_seed_1213.pkl,300,,region_based,-0.7828853338952302
IDS_region_28_300_points_seed_123.pkl,300,,region_based,-0.6132531719535279
IDS_region_28_300_points_seed_1234.pkl,300,,region_based,-1.3965062654255003
IDS_region_28_300_points_seed_1415.pkl,300,,region_based,-0.8590503930859441
IDS_region_28_300_points_seed_42.pkl,300,,region_based,-0.8061318629819019
IDS_region_28_300_points_seed_456.pkl,300,,region_based,-1.302030853200483
IDS_region_28_300_points_seed_5678.pkl,300,,region_based,-5.949502660894
IDS_region_28_300_points_seed_789.pkl,300,,region_based,-0.9732103441854727
IDS_region_28_300_points_seed_9101.pkl,300,,region_based,-8.866085262714055
IDS_region_28_400_points_seed_1.pkl,400,,region_based,-46.603973355433176
IDS_region_28_400_points_seed_1213.pkl,400,,region_based,-0.7446091873939049
IDS_region_28_400_points_seed_123.pkl,400,,region_based,-0.6470134846857927
IDS_region_28_400_points_seed_1234.pkl,400,,region_based,-0.6355694837806178
IDS_region_28_400_points_seed_1415.pkl,400,,region_based,-0.8210461009393122
IDS_region_28_400_points_seed_42.pkl,400,,region_based,-0.8007695258384329
IDS_region_28_400_points_seed_456.pkl,400,,region_based,-3.9859259172695847
IDS_region_28_400_points_seed_5678.pkl,400,,region_based,-1.3131535219554977
IDS_region_28_400_points_seed_789.pkl,400,,region_based,-0.6491299706109281
IDS_region_28_400_points_seed_9101.pkl,400,,region_based,-0.8717983427675848
IDS_region_28_500_points_seed_1.pkl,500,,region_based,-38.86699549713548
IDS_region_28_500_points_seed_1213.pkl,500,,region_based,-2.633332399445748
IDS_region_28_500_points_seed_123.pkl,500,,region_based,-0.6251582529473239
IDS_region_28_500_points_seed_1234.pkl,500,,region_based,-0.741841668192555
IDS_region_28_500_points_seed_1415.pkl,500,,region_based,-0.8398216253842126
IDS_region_28_500_points_seed_42.pkl,500,,region_based,-0.6985742478921553
IDS_region_28_500_points_seed_456.pkl,500,,region_based,-1.8551686631790858
IDS_region_28_500_points_seed_5678.pkl,500,,region_based,-1.3289169258834397
IDS_region_28_500_points_seed_789.pkl,500,,region_based,-1.2255555968829661
IDS_region_28_500_points_seed_9101.pkl,500,,region_based,-0.8710283115639845
IDS_region_28_600_points_seed_1.pkl,600,,region_based,-1.425758003016977
IDS_region_28_600_points_seed_1213.pkl,600,,region_based,-3.7493365364992126
IDS_region_28_600_points_seed_123.pkl,600,,region_based,-0.6584794554046371
IDS_region_28_600_points_seed_1234.pkl,600,,region_based,-0.6734330305690885
IDS_region_28_600_points_seed_1415.pkl,600,,region_based,-0.76697703801334
IDS_region_28_600_points_seed_42.pkl,600,,region_based,-0.7247056809367551
IDS_region_28_600_points_seed_456.pkl,600,,region_based,-2.0346908653909335
IDS_region_28_600_points_seed_5678.pkl,600,,region_based,-2.030509567172629
IDS_region_28_600_points_seed_789.pkl,600,,region_based,-0.8976028310149189
IDS_region_28_600_points_seed_9101.pkl,600,,region_based,-0.8783729481144202
IDS_region_28_700_points_seed_1.pkl,700,,region_based,-0.8947634191341209
IDS_region_28_700_points_seed_1213.pkl,700,,region_based,-1.0573713806750726
IDS_region_28_700_points_seed_123.pkl,700,,region_based,-0.6159671679366823
IDS_region_28_700_points_seed_1234.pkl,700,,region_based,-0.8859336621944034
IDS_region_28_700_points_seed_1415.pkl,700,,region_based,-0.9332578928784665
IDS_region_28_700_points_seed_42.pkl,700,,region_based,-0.7030006768529895
IDS_region_28_700_points_seed_456.pkl,700,,region_based,-1.59891926990502
IDS_region_28_700_points_seed_5678.pkl,700,,region_based,-0.8886616261839613
IDS_region_28_700_points_seed_789.pkl,700,,region_based,-0.9998667790224285
IDS_region_28_700_points_seed_9101.pkl,700,,region_based,-0.746916136547243
IDS_region_28_800_points_seed_1.pkl,800,,region_based,-7.521747915449277
IDS_region_28_800_points_seed_123.pkl,800,,region_based,-0.5911030203197007
IDS_region_28_800_points_seed_42.pkl,800,,region_based,-0.743828177571535
IDS_region_28_800_points_seed_456.pkl,800,,region_based,-1.5193264551831258
