initial_set_str,sample_size,seed,r2
5_fixedstrata_10ppc_300_size,300,1,0.3993555227232513
5_fixedstrata_10ppc_300_size,300,5678,0.2881398244402006
5_fixedstrata_10ppc_300_size,300,1213,0.4935965801741928
5_fixedstrata_10ppc_300_size,300,42,0.2838915619598116
5_fixedstrata_10ppc_300_size,300,789,0.4476002188278977
5_fixedstrata_10ppc_300_size,300,1415,0.3348514588590908
5_fixedstrata_10ppc_300_size,300,123,0.429238057766668
5_fixedstrata_10ppc_300_size,300,456,0.3471642982364867
5_fixedstrata_10ppc_300_size,300,9101,0.3730382682846074
5_fixedstrata_10ppc_300_size,300,1234,0.4141459873080009
