filename,r2,strata,cluster_unit,points_per_cluster,sample_size,seed
IDs_state_strata_county_clusters_10_points_per_cluster_500_size_seed_1.pkl,0.523499245478408,state,county,10,500,1
IDs_state_strata_county_clusters_10_points_per_cluster_500_size_seed_1213.pkl,0.5213515973483285,state,county,10,500,1213
IDs_state_strata_county_clusters_10_points_per_cluster_500_size_seed_123.pkl,0.5605209808248647,state,county,10,500,123
IDs_state_strata_county_clusters_10_points_per_cluster_500_size_seed_1234.pkl,0.5204548959595149,state,county,10,500,1234
IDs_state_strata_county_clusters_10_points_per_cluster_500_size_seed_1415.pkl,0.5354667439874277,state,county,10,500,1415
IDs_state_strata_county_clusters_10_points_per_cluster_500_size_seed_42.pkl,0.5376594108327076,state,county,10,500,42
IDs_state_strata_county_clusters_10_points_per_cluster_500_size_seed_456.pkl,0.5087023394276993,state,county,10,500,456
IDs_state_strata_county_clusters_10_points_per_cluster_500_size_seed_5678.pkl,0.4759733125657985,state,county,10,500,5678
IDs_state_strata_county_clusters_10_points_per_cluster_500_size_seed_789.pkl,0.5384253735284366,state,county,10,500,789
IDs_state_strata_county_clusters_10_points_per_cluster_500_size_seed_9101.pkl,0.5412660056038571,state,county,10,500,9101
