filename,r2,strata,cluster_unit,points_per_cluster,sample_size,seed
IDs_state_strata_county_clusters_2_points_per_cluster_1000_size_seed_1.pkl,0.5959045369465414,state,county,2,1000,1
IDs_state_strata_county_clusters_2_points_per_cluster_1000_size_seed_1213.pkl,0.6048767099356374,state,county,2,1000,1213
IDs_state_strata_county_clusters_2_points_per_cluster_1000_size_seed_123.pkl,0.5895832985886682,state,county,2,1000,123
IDs_state_strata_county_clusters_2_points_per_cluster_1000_size_seed_1234.pkl,0.5997347132630353,state,county,2,1000,1234
IDs_state_strata_county_clusters_2_points_per_cluster_1000_size_seed_1415.pkl,0.5971529470068644,state,county,2,1000,1415
IDs_state_strata_county_clusters_2_points_per_cluster_1000_size_seed_42.pkl,0.589711618717405,state,county,2,1000,42
IDs_state_strata_county_clusters_2_points_per_cluster_1000_size_seed_456.pkl,0.5961012063770412,state,county,2,1000,456
IDs_state_strata_county_clusters_2_points_per_cluster_1000_size_seed_5678.pkl,0.6071230640308332,state,county,2,1000,5678
IDs_state_strata_county_clusters_2_points_per_cluster_1000_size_seed_789.pkl,0.5967501233295718,state,county,2,1000,789
IDs_state_strata_county_clusters_2_points_per_cluster_1000_size_seed_9101.pkl,0.6012554848371751,state,county,2,1000,9101
