initial_set_str,sample_size,seed,r2
top20_urban_300_points,300,1,0.1772627312389119
top20_urban_300_points,300,5678,0.0475288453497543
top20_urban_300_points,300,1213,0.0216904646209158
top20_urban_300_points,300,42,0.0404678254257397
top20_urban_300_points,300,789,-0.1024860368964779
top20_urban_300_points,300,1415,0.0245623361994096
top20_urban_300_points,300,123,0.1301376199982663
top20_urban_300_points,300,456,0.1000487235811717
top20_urban_300_points,300,9101,0.1207342935392851
top20_urban_300_points,300,1234,0.0740322013928934
