filename,sample_size,method,seed,r2
IDS_top50_urban_400_points_probabilistic_seed_1.pkl,400,probabilistic,1.0,-0.0775793043076285
IDS_top50_urban_400_points_probabilistic_seed_1213.pkl,400,probabilistic,1213.0,0.141619899132011
IDS_top50_urban_400_points_probabilistic_seed_123.pkl,400,probabilistic,123.0,0.2212904202737329
IDS_top50_urban_400_points_probabilistic_seed_1234.pkl,400,probabilistic,1234.0,0.0517648344091707
IDS_top50_urban_400_points_probabilistic_seed_1415.pkl,400,probabilistic,1415.0,0.1220890515166394
IDS_top50_urban_400_points_probabilistic_seed_42.pkl,400,probabilistic,42.0,-0.0519404732501029
IDS_top50_urban_400_points_probabilistic_seed_456.pkl,400,probabilistic,456.0,0.1736773846620596
IDS_top50_urban_400_points_probabilistic_seed_5678.pkl,400,probabilistic,5678.0,-0.0447337541057784
IDS_top50_urban_400_points_probabilistic_seed_789.pkl,400,probabilistic,789.0,0.0811983303609319
IDS_top50_urban_400_points_probabilistic_seed_9101.pkl,400,probabilistic,9101.0,0.2061833581148355
