filename,sample_size,method,seed,r2
IDS_top50_urban_100_points_probabilistic_seed_1.pkl,100,probabilistic,1.0,-0.0493058855141945
IDS_top50_urban_100_points_probabilistic_seed_1213.pkl,100,probabilistic,1213.0,-0.0792784469716936
IDS_top50_urban_100_points_probabilistic_seed_123.pkl,100,probabilistic,123.0,0.0669901536172079
IDS_top50_urban_100_points_probabilistic_seed_1234.pkl,100,probabilistic,1234.0,-0.5458237291007888
IDS_top50_urban_100_points_probabilistic_seed_1415.pkl,100,probabilistic,1415.0,-0.3670313965206431
IDS_top50_urban_100_points_probabilistic_seed_42.pkl,100,probabilistic,42.0,-0.400909880270127
IDS_top50_urban_100_points_probabilistic_seed_456.pkl,100,probabilistic,456.0,0.1031019884947425
IDS_top50_urban_100_points_probabilistic_seed_5678.pkl,100,probabilistic,5678.0,-0.4437365373374473
IDS_top50_urban_100_points_probabilistic_seed_789.pkl,100,probabilistic,789.0,-0.0064244639398591
IDS_top50_urban_100_points_probabilistic_seed_9101.pkl,100,probabilistic,9101.0,-0.1462067648756746
