filename,sample_size,method,seed,r2
IDS_top50_urban_900_points_probabilistic_seed_1.pkl,900,probabilistic,1.0,0.0524147853643245
IDS_top50_urban_900_points_probabilistic_seed_1213.pkl,900,probabilistic,1213.0,0.1572332699838154
IDS_top50_urban_900_points_probabilistic_seed_123.pkl,900,probabilistic,123.0,0.1819360944351107
IDS_top50_urban_900_points_probabilistic_seed_1234.pkl,900,probabilistic,1234.0,0.1258730950514237
IDS_top50_urban_900_points_probabilistic_seed_1415.pkl,900,probabilistic,1415.0,0.2236899384480372
IDS_top50_urban_900_points_probabilistic_seed_42.pkl,900,probabilistic,42.0,0.1016207042601868
IDS_top50_urban_900_points_probabilistic_seed_456.pkl,900,probabilistic,456.0,0.1643839413226404
IDS_top50_urban_900_points_probabilistic_seed_5678.pkl,900,probabilistic,5678.0,0.0646612468631828
IDS_top50_urban_900_points_probabilistic_seed_789.pkl,900,probabilistic,789.0,0.1633143437250749
IDS_top50_urban_900_points_probabilistic_seed_9101.pkl,900,probabilistic,9101.0,0.2039991055201963
