filename,r2,strata,cluster_unit,points_per_cluster,sample_size,seed
IDs_state_strata_county_clusters_5_points_per_cluster_500_size_seed_1.pkl,0.5552942688996192,state,county,5,500,1
IDs_state_strata_county_clusters_5_points_per_cluster_500_size_seed_1213.pkl,0.525860605297823,state,county,5,500,1213
IDs_state_strata_county_clusters_5_points_per_cluster_500_size_seed_123.pkl,0.5545417653236981,state,county,5,500,123
IDs_state_strata_county_clusters_5_points_per_cluster_500_size_seed_1234.pkl,0.5487059517992002,state,county,5,500,1234
IDs_state_strata_county_clusters_5_points_per_cluster_500_size_seed_1415.pkl,0.5687962086405499,state,county,5,500,1415
IDs_state_strata_county_clusters_5_points_per_cluster_500_size_seed_42.pkl,0.5527240527443331,state,county,5,500,42
IDs_state_strata_county_clusters_5_points_per_cluster_500_size_seed_456.pkl,0.4745055360288389,state,county,5,500,456
IDs_state_strata_county_clusters_5_points_per_cluster_500_size_seed_5678.pkl,0.5597352949952066,state,county,5,500,5678
IDs_state_strata_county_clusters_5_points_per_cluster_500_size_seed_789.pkl,0.5532050028070834,state,county,5,500,789
IDs_state_strata_county_clusters_5_points_per_cluster_500_size_seed_9101.pkl,0.5674929465461055,state,county,5,500,9101
