filename,r2,strata,cluster_unit,points_per_cluster,sample_size,seed
IDs_state_strata_county_clusters_2_points_per_cluster_600_size_seed_1.pkl,0.5647737625170088,state,county,2,600,1
IDs_state_strata_county_clusters_2_points_per_cluster_600_size_seed_1213.pkl,0.5393893009579209,state,county,2,600,1213
IDs_state_strata_county_clusters_2_points_per_cluster_600_size_seed_123.pkl,0.5638608135484411,state,county,2,600,123
IDs_state_strata_county_clusters_2_points_per_cluster_600_size_seed_1234.pkl,0.5790408969307911,state,county,2,600,1234
IDs_state_strata_county_clusters_2_points_per_cluster_600_size_seed_1415.pkl,0.5791093545368114,state,county,2,600,1415
IDs_state_strata_county_clusters_2_points_per_cluster_600_size_seed_42.pkl,0.5722247050727136,state,county,2,600,42
IDs_state_strata_county_clusters_2_points_per_cluster_600_size_seed_456.pkl,0.5641502957491749,state,county,2,600,456
IDs_state_strata_county_clusters_2_points_per_cluster_600_size_seed_5678.pkl,0.5850004655268428,state,county,2,600,5678
IDs_state_strata_county_clusters_2_points_per_cluster_600_size_seed_789.pkl,0.5724590086429351,state,county,2,600,789
IDs_state_strata_county_clusters_2_points_per_cluster_600_size_seed_9101.pkl,0.5641375694535965,state,county,2,600,9101
