filename,r2,strata,cluster_unit,points_per_cluster,sample_size,seed
IDs_state_strata_county_clusters_5_points_per_cluster_900_size_seed_1.pkl,0.5965376458448256,state,county,5,900,1
IDs_state_strata_county_clusters_5_points_per_cluster_900_size_seed_1213.pkl,0.5813960838911205,state,county,5,900,1213
IDs_state_strata_county_clusters_5_points_per_cluster_900_size_seed_123.pkl,0.5808832907609838,state,county,5,900,123
IDs_state_strata_county_clusters_5_points_per_cluster_900_size_seed_1234.pkl,0.5619563579238334,state,county,5,900,1234
IDs_state_strata_county_clusters_5_points_per_cluster_900_size_seed_1415.pkl,0.5899869503077049,state,county,5,900,1415
IDs_state_strata_county_clusters_5_points_per_cluster_900_size_seed_42.pkl,0.5444050667720988,state,county,5,900,42
IDs_state_strata_county_clusters_5_points_per_cluster_900_size_seed_456.pkl,0.5396607548253689,state,county,5,900,456
IDs_state_strata_county_clusters_5_points_per_cluster_900_size_seed_5678.pkl,0.5910047350927534,state,county,5,900,5678
IDs_state_strata_county_clusters_5_points_per_cluster_900_size_seed_789.pkl,0.5909372261534145,state,county,5,900,789
IDs_state_strata_county_clusters_5_points_per_cluster_900_size_seed_9101.pkl,0.5800168239468204,state,county,5,900,9101
