filename,r2,strata,cluster_unit,points_per_cluster,sample_size,seed
IDs_state_strata_county_clusters_5_points_per_cluster_1000_size_seed_1.pkl,0.6026225875311036,state,county,5,1000,1
IDs_state_strata_county_clusters_5_points_per_cluster_1000_size_seed_1213.pkl,0.5847258253251149,state,county,5,1000,1213
IDs_state_strata_county_clusters_5_points_per_cluster_1000_size_seed_123.pkl,0.5855877738705437,state,county,5,1000,123
IDs_state_strata_county_clusters_5_points_per_cluster_1000_size_seed_1234.pkl,0.582087520913193,state,county,5,1000,1234
IDs_state_strata_county_clusters_5_points_per_cluster_1000_size_seed_1415.pkl,0.5957665855201004,state,county,5,1000,1415
IDs_state_strata_county_clusters_5_points_per_cluster_1000_size_seed_42.pkl,0.5842662302247286,state,county,5,1000,42
IDs_state_strata_county_clusters_5_points_per_cluster_1000_size_seed_456.pkl,0.5514854999427096,state,county,5,1000,456
IDs_state_strata_county_clusters_5_points_per_cluster_1000_size_seed_5678.pkl,0.5955221557977508,state,county,5,1000,5678
IDs_state_strata_county_clusters_5_points_per_cluster_1000_size_seed_789.pkl,0.5981982792404361,state,county,5,1000,789
IDs_state_strata_county_clusters_5_points_per_cluster_1000_size_seed_9101.pkl,0.5803349620510481,state,county,5,1000,9101
