filename,r2,strata,cluster_unit,points_per_cluster,sample_size,seed
IDs_state_strata_county_clusters_25_points_per_cluster_900_size_seed_1.pkl,0.5404080038122556,state,county,25,900,1
IDs_state_strata_county_clusters_25_points_per_cluster_900_size_seed_1213.pkl,0.5439807715523224,state,county,25,900,1213
IDs_state_strata_county_clusters_25_points_per_cluster_900_size_seed_123.pkl,0.5049744367075926,state,county,25,900,123
IDs_state_strata_county_clusters_25_points_per_cluster_900_size_seed_1234.pkl,0.5437302922396634,state,county,25,900,1234
IDs_state_strata_county_clusters_25_points_per_cluster_900_size_seed_1415.pkl,0.4801654690999324,state,county,25,900,1415
IDs_state_strata_county_clusters_25_points_per_cluster_900_size_seed_42.pkl,0.5261475645301563,state,county,25,900,42
IDs_state_strata_county_clusters_25_points_per_cluster_900_size_seed_456.pkl,0.5447741091692977,state,county,25,900,456
IDs_state_strata_county_clusters_25_points_per_cluster_900_size_seed_5678.pkl,0.5564265884363305,state,county,25,900,5678
IDs_state_strata_county_clusters_25_points_per_cluster_900_size_seed_789.pkl,0.5609869208103659,state,county,25,900,789
IDs_state_strata_county_clusters_25_points_per_cluster_900_size_seed_9101.pkl,0.5295240298253314,state,county,25,900,9101
