filename,sample_size,method,seed,r2
IDS_top50_urban_1000_points_probabilistic_seed_1.pkl,1000,probabilistic,1.0,0.1200541287343083
IDS_top50_urban_1000_points_probabilistic_seed_1213.pkl,1000,probabilistic,1213.0,0.1816202095618183
IDS_top50_urban_1000_points_probabilistic_seed_123.pkl,1000,probabilistic,123.0,0.2086757662851354
IDS_top50_urban_1000_points_probabilistic_seed_1234.pkl,1000,probabilistic,1234.0,0.1812206310679255
IDS_top50_urban_1000_points_probabilistic_seed_1415.pkl,1000,probabilistic,1415.0,0.2164471337492626
IDS_top50_urban_1000_points_probabilistic_seed_42.pkl,1000,probabilistic,42.0,0.1179747112156174
IDS_top50_urban_1000_points_probabilistic_seed_456.pkl,1000,probabilistic,456.0,0.2186679168138288
IDS_top50_urban_1000_points_probabilistic_seed_5678.pkl,1000,probabilistic,5678.0,0.1074852840005431
IDS_top50_urban_1000_points_probabilistic_seed_789.pkl,1000,probabilistic,789.0,0.2079422872404868
IDS_top50_urban_1000_points_probabilistic_seed_9101.pkl,1000,probabilistic,9101.0,0.2219868885016815
