filename,r2,strata,cluster_unit,points_per_cluster,sample_size,seed
IDs_state_strata_county_clusters_10_points_per_cluster_600_size_seed_1.pkl,0.5204210723805679,state,county,10,600,1
IDs_state_strata_county_clusters_10_points_per_cluster_600_size_seed_1213.pkl,0.5433094205336896,state,county,10,600,1213
IDs_state_strata_county_clusters_10_points_per_cluster_600_size_seed_123.pkl,0.5755313053234328,state,county,10,600,123
IDs_state_strata_county_clusters_10_points_per_cluster_600_size_seed_1234.pkl,0.5254305767951091,state,county,10,600,1234
IDs_state_strata_county_clusters_10_points_per_cluster_600_size_seed_1415.pkl,0.5319973910628373,state,county,10,600,1415
IDs_state_strata_county_clusters_10_points_per_cluster_600_size_seed_42.pkl,0.5527401193283217,state,county,10,600,42
IDs_state_strata_county_clusters_10_points_per_cluster_600_size_seed_456.pkl,0.5126474031675272,state,county,10,600,456
IDs_state_strata_county_clusters_10_points_per_cluster_600_size_seed_5678.pkl,0.5413630284075325,state,county,10,600,5678
IDs_state_strata_county_clusters_10_points_per_cluster_600_size_seed_789.pkl,0.5416139048264246,state,county,10,600,789
IDs_state_strata_county_clusters_10_points_per_cluster_600_size_seed_9101.pkl,0.5428156251956743,state,county,10,600,9101
