filename,r2,strata,cluster_unit,points_per_cluster,sample_size,seed
IDs_state_strata_county_clusters_2_points_per_cluster_300_size_seed_1.pkl,0.4808267936532581,state,county,2,300,1
IDs_state_strata_county_clusters_2_points_per_cluster_300_size_seed_1213.pkl,0.5398522967967099,state,county,2,300,1213
IDs_state_strata_county_clusters_2_points_per_cluster_300_size_seed_123.pkl,0.5070806065319196,state,county,2,300,123
IDs_state_strata_county_clusters_2_points_per_cluster_300_size_seed_1234.pkl,0.5135845347273048,state,county,2,300,1234
IDs_state_strata_county_clusters_2_points_per_cluster_300_size_seed_1415.pkl,0.5330975971750008,state,county,2,300,1415
IDs_state_strata_county_clusters_2_points_per_cluster_300_size_seed_42.pkl,0.5175953878008552,state,county,2,300,42
IDs_state_strata_county_clusters_2_points_per_cluster_300_size_seed_456.pkl,0.5139744766861682,state,county,2,300,456
IDs_state_strata_county_clusters_2_points_per_cluster_300_size_seed_5678.pkl,0.536406566938167,state,county,2,300,5678
IDs_state_strata_county_clusters_2_points_per_cluster_300_size_seed_789.pkl,0.5106447657362823,state,county,2,300,789
IDs_state_strata_county_clusters_2_points_per_cluster_300_size_seed_9101.pkl,0.5324340770627911,state,county,2,300,9101
