initial_set_str,sample_size,seed,r2
top20_urban_200_points,200,1,0.2002653444840718
top20_urban_200_points,200,5678,-0.0070148390209174
top20_urban_200_points,200,1213,0.0164149383249651
top20_urban_200_points,200,42,0.1518330138190654
top20_urban_200_points,200,789,-0.1886660893894842
top20_urban_200_points,200,1415,0.0069219584914361
top20_urban_200_points,200,123,0.0435011327747252
top20_urban_200_points,200,456,0.0880030511030767
top20_urban_200_points,200,9101,-0.0131256222836428
top20_urban_200_points,200,1234,0.0461438402883486
