filename,sample_size,method,seed,r2
IDS_top50_urban_500_points_probabilistic_seed_1.pkl,500,probabilistic,1.0,-0.032934739897694
IDS_top50_urban_500_points_probabilistic_seed_1213.pkl,500,probabilistic,1213.0,0.1020275361241124
IDS_top50_urban_500_points_probabilistic_seed_123.pkl,500,probabilistic,123.0,0.2527968371244551
IDS_top50_urban_500_points_probabilistic_seed_1234.pkl,500,probabilistic,1234.0,0.0650233167885597
IDS_top50_urban_500_points_probabilistic_seed_1415.pkl,500,probabilistic,1415.0,0.1105385860497247
IDS_top50_urban_500_points_probabilistic_seed_42.pkl,500,probabilistic,42.0,-0.0021018924327393
IDS_top50_urban_500_points_probabilistic_seed_456.pkl,500,probabilistic,456.0,0.1640751200685046
IDS_top50_urban_500_points_probabilistic_seed_5678.pkl,500,probabilistic,5678.0,0.0024422803553214
IDS_top50_urban_500_points_probabilistic_seed_789.pkl,500,probabilistic,789.0,0.1562723418234306
IDS_top50_urban_500_points_probabilistic_seed_9101.pkl,500,probabilistic,9101.0,0.2580317931743821
