initial_set_str,sample_size,seed,r2
5_fixedstrata_10ppc_100_size,100,1,-0.1772697699657184
5_fixedstrata_10ppc_100_size,100,5678,-0.2770542799023807
5_fixedstrata_10ppc_100_size,100,1213,0.2592908204014573
5_fixedstrata_10ppc_100_size,100,42,-0.020118510108986
5_fixedstrata_10ppc_100_size,100,789,0.1001896848189956
5_fixedstrata_10ppc_100_size,100,1415,-0.5965265750790258
5_fixedstrata_10ppc_100_size,100,123,0.3166875269637719
5_fixedstrata_10ppc_100_size,100,456,0.0223676201490596
5_fixedstrata_10ppc_100_size,100,9101,0.1544396214198253
5_fixedstrata_10ppc_100_size,100,1234,0.1805282750639923
