filename,r2,strata,cluster_unit,points_per_cluster,sample_size,seed
IDs_state_strata_county_clusters_2_points_per_cluster_400_size_seed_1.pkl,0.476008808229026,state,county,2,400,1
IDs_state_strata_county_clusters_2_points_per_cluster_400_size_seed_1213.pkl,0.5250356871064928,state,county,2,400,1213
IDs_state_strata_county_clusters_2_points_per_cluster_400_size_seed_123.pkl,0.535908744914013,state,county,2,400,123
IDs_state_strata_county_clusters_2_points_per_cluster_400_size_seed_1234.pkl,0.5543895925314851,state,county,2,400,1234
IDs_state_strata_county_clusters_2_points_per_cluster_400_size_seed_1415.pkl,0.5630061090119977,state,county,2,400,1415
IDs_state_strata_county_clusters_2_points_per_cluster_400_size_seed_42.pkl,0.5301435708789456,state,county,2,400,42
IDs_state_strata_county_clusters_2_points_per_cluster_400_size_seed_456.pkl,0.528872114960554,state,county,2,400,456
IDs_state_strata_county_clusters_2_points_per_cluster_400_size_seed_5678.pkl,0.5484063737545855,state,county,2,400,5678
IDs_state_strata_county_clusters_2_points_per_cluster_400_size_seed_789.pkl,0.5481005627294846,state,county,2,400,789
IDs_state_strata_county_clusters_2_points_per_cluster_400_size_seed_9101.pkl,0.528704687036226,state,county,2,400,9101
