filename,r2,strata,cluster_unit,points_per_cluster,sample_size,seed
IDs_state_strata_county_clusters_25_points_per_cluster_600_size_seed_1.pkl,0.4760526765824839,state,county,25,600,1
IDs_state_strata_county_clusters_25_points_per_cluster_600_size_seed_1213.pkl,0.4475243034883179,state,county,25,600,1213
IDs_state_strata_county_clusters_25_points_per_cluster_600_size_seed_123.pkl,0.4837995610690725,state,county,25,600,123
IDs_state_strata_county_clusters_25_points_per_cluster_600_size_seed_1234.pkl,0.5267414673318562,state,county,25,600,1234
IDs_state_strata_county_clusters_25_points_per_cluster_600_size_seed_1415.pkl,0.4030757365016156,state,county,25,600,1415
IDs_state_strata_county_clusters_25_points_per_cluster_600_size_seed_42.pkl,0.4990489575529621,state,county,25,600,42
IDs_state_strata_county_clusters_25_points_per_cluster_600_size_seed_456.pkl,0.491718605963273,state,county,25,600,456
IDs_state_strata_county_clusters_25_points_per_cluster_600_size_seed_5678.pkl,0.5452566411704418,state,county,25,600,5678
IDs_state_strata_county_clusters_25_points_per_cluster_600_size_seed_789.pkl,0.5145118901803154,state,county,25,600,789
IDs_state_strata_county_clusters_25_points_per_cluster_600_size_seed_9101.pkl,0.4524293114518644,state,county,25,600,9101
