dataset,initial_set,cost_type,budget,alpha,initial_r2_mean,initial_r2_std,random_updated_r2_mean,random_updated_r2_std,random_delta_r2_mean,random_delta_r2_se,poprisk_dists_from_all_urban_areas_0.5_updated_r2_mean,poprisk_dists_from_all_urban_areas_0.5_updated_r2_std,poprisk_dists_from_all_urban_areas_0.5_delta_r2_mean,poprisk_dists_from_all_urban_areas_0.5_delta_r2_se
USAVARS_POP,5_fixedstrata_10ppc_1400_size,cluster_based_c1_10_c2_20,100,10.0,0.52,0.0,0.53,0.01,0.01,0.005339063588308351,0.53,0.0,0.01,0.0016457824886660943
USAVARS_POP,5_fixedstrata_10ppc_1400_size,cluster_based_c1_10_c2_20,200,10.0,0.52,0.0,0.51,0.02,-0.01,0.008525983814199967,0.54,0.01,0.02,0.004175954980600254
USAVARS_POP,5_fixedstrata_10ppc_1400_size,cluster_based_c1_10_c2_20,300,10.0,0.52,0.0,0.52,0.02,-0.0,0.01227283993214285,0.53,0.02,0.01,0.008515667912735912
USAVARS_POP,5_fixedstrata_10ppc_1400_size,cluster_based_c1_10_c2_20,400,10.0,0.52,0.0,0.53,0.01,0.01,0.005854365892220943,0.53,0.01,0.01,0.00396088373977324
USAVARS_POP,5_fixedstrata_10ppc_1400_size,cluster_based_c1_10_c2_20,500,10.0,0.52,0.0,0.53,0.03,0.01,0.012676379609336416,0.54,0.01,0.02,0.00496155217648672
USAVARS_POP,5_fixedstrata_10ppc_1400_size,cluster_based_c1_10_c2_20,600,10.0,0.52,0.0,0.53,0.02,0.01,0.007868646643483246,0.54,0.01,0.02,0.005474522810254795
USAVARS_POP,5_fixedstrata_10ppc_1400_size,cluster_based_c1_10_c2_20,700,10.0,0.52,0.0,0.53,0.01,0.01,0.004619242362119562,0.55,0.01,0.03,0.003849337605354973
USAVARS_POP,5_fixedstrata_10ppc_1400_size,cluster_based_c1_10_c2_20,800,10.0,0.52,0.0,0.52,0.02,0.0,0.011939623109629554,0.53,0.01,0.01,0.005619928825172076
USAVARS_POP,5_fixedstrata_10ppc_1400_size,cluster_based_c1_10_c2_20,900,10.0,0.52,0.0,0.53,0.03,0.01,0.012656200061629872,0.55,0.01,0.03,0.004984114765933864
USAVARS_POP,5_fixedstrata_10ppc_1400_size,cluster_based_c1_10_c2_20,1000,10.0,0.52,0.0,0.52,0.02,0.0,0.010556656667714461,0.56,0.01,0.04,0.005573365231168687
