dataset,initial_set,cost_type,budget,initial_set_size,alpha,initial_r2_mean,initial_r2_std,random_updated_r2_mean,random_updated_r2_std,random_delta_r2_mean,random_delta_r2_se,poprisk_dists_from_all_urban_areas_0.5_updated_r2_mean,poprisk_dists_from_all_urban_areas_0.5_updated_r2_std,poprisk_dists_from_all_urban_areas_0.5_delta_r2_mean,poprisk_dists_from_all_urban_areas_0.5_delta_r2_se
USAVARS_POP,5_fixedstrata_10ppc_700_size,cluster_based_c1_10_c2_20,1000,700,10.0,0.51,0.0,0.51,0.04,-0.0,0.019679471537620105,0.51,0.02,-0.0,0.009781564292075171
USAVARS_POP,5_fixedstrata_10ppc_800_size,cluster_based_c1_10_c2_20,100,800,10.0,0.52,0.0,0.52,0.0,-0.0,0.001524335920983311,0.52,0.01,-0.0,0.006693534193533339
USAVARS_POP,5_fixedstrata_10ppc_800_size,cluster_based_c1_10_c2_20,200,800,10.0,0.52,0.0,0.52,0.01,-0.0,0.0026064151626323767,0.52,0.01,-0.0,0.006944739015974617
USAVARS_POP,5_fixedstrata_10ppc_800_size,cluster_based_c1_10_c2_20,300,800,10.0,0.52,0.0,0.52,0.01,-0.0,0.003004063914100361,0.52,0.02,-0.0,0.008922253078679178
USAVARS_POP,5_fixedstrata_10ppc_800_size,cluster_based_c1_10_c2_20,400,800,10.0,0.52,0.0,0.52,0.0,0.0,0.001267438361420396,0.53,0.02,0.0,0.007825701246533746
USAVARS_POP,5_fixedstrata_10ppc_800_size,cluster_based_c1_10_c2_20,500,800,10.0,0.52,0.0,0.51,0.02,-0.02,0.01239993548370313,0.51,0.01,-0.01,0.006509039867753155
USAVARS_POP,5_fixedstrata_10ppc_800_size,cluster_based_c1_10_c2_20,600,800,10.0,0.52,0.0,0.52,0.01,0.0,0.003329204109092748,0.53,0.01,0.01,0.007302766599036285
USAVARS_POP,5_fixedstrata_10ppc_800_size,cluster_based_c1_10_c2_20,700,800,10.0,0.52,0.0,0.52,0.01,-0.0,0.005477864547430874,0.53,0.01,0.0,0.0057513824425089195
USAVARS_POP,5_fixedstrata_10ppc_800_size,cluster_based_c1_10_c2_20,800,800,10.0,0.52,0.0,0.52,0.01,-0.01,0.0069221817369959325,0.54,0.02,0.01,0.009135173780503578
USAVARS_POP,5_fixedstrata_10ppc_800_size,cluster_based_c1_10_c2_20,900,800,10.0,0.52,0.0,0.53,0.01,0.0,0.005719318141177335,0.54,0.01,0.01,0.00544710932513752
USAVARS_POP,5_fixedstrata_10ppc_800_size,cluster_based_c1_10_c2_20,1000,800,10.0,0.52,0.0,0.53,0.01,0.0,0.007020584021290536,0.53,0.01,0.01,0.007261955659462533
USAVARS_POP,5_fixedstrata_10ppc_900_size,cluster_based_c1_10_c2_20,100,900,10.0,0.48,0.0,0.49,0.02,0.01,0.009848370423577694,0.5,0.02,0.02,0.007704323461537674
USAVARS_POP,5_fixedstrata_10ppc_900_size,cluster_based_c1_10_c2_20,200,900,10.0,0.48,0.0,0.48,0.0,0.0,0.0017520273970460687,0.51,0.02,0.03,0.011345157557301703
USAVARS_POP,5_fixedstrata_10ppc_900_size,cluster_based_c1_10_c2_20,300,900,10.0,0.48,0.0,0.51,0.02,0.03,0.011577892727089843,0.52,0.01,0.05,0.005935233778041099
USAVARS_POP,5_fixedstrata_10ppc_900_size,cluster_based_c1_10_c2_20,400,900,10.0,0.48,0.0,0.5,0.03,0.03,0.014883736090108556,0.52,0.01,0.04,0.0065120350121908865
USAVARS_POP,5_fixedstrata_10ppc_900_size,cluster_based_c1_10_c2_20,500,900,10.0,0.48,0.0,0.51,0.03,0.03,0.014672811591511693,0.51,0.0,0.04,0.002433598159105166
USAVARS_POP,5_fixedstrata_10ppc_900_size,cluster_based_c1_10_c2_20,600,900,10.0,0.48,0.0,0.48,0.02,0.01,0.012054725214620202,0.53,0.02,0.05,0.007628132143585354
USAVARS_POP,5_fixedstrata_10ppc_900_size,cluster_based_c1_10_c2_20,700,900,10.0,0.48,0.0,0.5,0.04,0.02,0.018737433121962032,0.52,0.01,0.04,0.004039876235728016
USAVARS_POP,5_fixedstrata_10ppc_900_size,cluster_based_c1_10_c2_20,800,900,10.0,0.48,0.0,0.52,0.02,0.04,0.007818503693162778,0.53,0.02,0.05,0.007736381583143375
USAVARS_POP,5_fixedstrata_10ppc_900_size,cluster_based_c1_10_c2_20,900,900,10.0,0.48,0.0,0.49,0.03,0.01,0.013533092772903021,0.53,0.02,0.06,0.007598131349220012
USAVARS_POP,5_fixedstrata_10ppc_900_size,cluster_based_c1_10_c2_20,1000,900,10.0,0.48,0.0,0.52,0.03,0.04,0.016025585792725332,0.55,0.01,0.07,0.007113958110644183
USAVARS_POP,5_fixedstrata_10ppc_1000_size,cluster_based_c1_10_c2_20,100,1000,10.0,0.49,0.0,0.49,0.0,-0.0,0.0013093509842666345,0.5,0.0,0.01,0.0019137920472193368
USAVARS_POP,5_fixedstrata_10ppc_1000_size,cluster_based_c1_10_c2_20,200,1000,10.0,0.49,0.0,0.49,0.01,-0.0,0.0037884561499376,0.51,0.01,0.02,0.004199452345246927
USAVARS_POP,5_fixedstrata_10ppc_1000_size,cluster_based_c1_10_c2_20,300,1000,10.0,0.49,0.0,0.52,0.02,0.03,0.010067293578713199,0.51,0.01,0.02,0.0026160275227910036
USAVARS_POP,5_fixedstrata_10ppc_1000_size,cluster_based_c1_10_c2_20,400,1000,10.0,0.49,0.0,0.51,0.02,0.01,0.010300582507800232,0.53,0.01,0.04,0.007234403914629044
USAVARS_POP,5_fixedstrata_10ppc_1000_size,cluster_based_c1_10_c2_20,500,1000,10.0,0.49,0.0,0.5,0.0,0.01,0.0016779749700159363,0.53,0.01,0.04,0.0055640452909731086
USAVARS_POP,5_fixedstrata_10ppc_1000_size,cluster_based_c1_10_c2_20,600,1000,10.0,0.49,0.0,0.51,0.01,0.02,0.006787532688687398,0.53,0.01,0.03,0.004541255333054944
USAVARS_POP,5_fixedstrata_10ppc_1000_size,cluster_based_c1_10_c2_20,700,1000,10.0,0.49,0.0,0.51,0.02,0.02,0.009438379098129087,0.53,0.01,0.04,0.002633552733476217
USAVARS_POP,5_fixedstrata_10ppc_1000_size,cluster_based_c1_10_c2_20,800,1000,10.0,0.49,0.0,0.52,0.02,0.03,0.011742512507977157,0.54,0.01,0.05,0.006326215298264844
USAVARS_POP,5_fixedstrata_10ppc_1000_size,cluster_based_c1_10_c2_20,900,1000,10.0,0.49,0.0,0.52,0.03,0.03,0.01262398510772253,0.54,0.01,0.05,0.004984034510313921
USAVARS_POP,5_fixedstrata_10ppc_1000_size,cluster_based_c1_10_c2_20,1000,1000,10.0,0.49,0.0,0.52,0.02,0.03,0.009293567668016417,0.54,0.01,0.05,0.006264870309910662
USAVARS_POP,5_fixedstrata_10ppc_1100_size,cluster_based_c1_10_c2_20,100,1100,10.0,0.5,0.0,0.52,0.02,0.02,0.009217212159866997,0.52,0.02,0.02,0.008686978761341613
USAVARS_POP,5_fixedstrata_10ppc_1100_size,cluster_based_c1_10_c2_20,200,1100,10.0,0.5,0.0,0.52,0.02,0.03,0.008946250611289631,0.53,0.02,0.04,0.00870611279504235
USAVARS_POP,5_fixedstrata_10ppc_1100_size,cluster_based_c1_10_c2_20,300,1100,10.0,0.5,0.0,0.54,0.0,0.04,0.0011702136557056617,0.55,0.01,0.05,0.003497055904614624
USAVARS_POP,5_fixedstrata_10ppc_1100_size,cluster_based_c1_10_c2_20,400,1100,10.0,0.5,0.0,0.52,0.02,0.02,0.0077520061919479815,0.55,0.01,0.05,0.006856719332158786
USAVARS_POP,5_fixedstrata_10ppc_1100_size,cluster_based_c1_10_c2_20,500,1100,10.0,0.5,0.0,0.53,0.02,0.03,0.00756042326857432,0.54,0.01,0.04,0.006925749056961268
USAVARS_POP,5_fixedstrata_10ppc_1100_size,cluster_based_c1_10_c2_20,600,1100,10.0,0.5,0.0,0.53,0.01,0.03,0.006947200875172669,0.54,0.02,0.04,0.007689239234150531
USAVARS_POP,5_fixedstrata_10ppc_1100_size,cluster_based_c1_10_c2_20,700,1100,10.0,0.5,0.0,0.53,0.02,0.03,0.008362057163162663,0.54,0.01,0.04,0.005411136664324787
USAVARS_POP,5_fixedstrata_10ppc_1100_size,cluster_based_c1_10_c2_20,800,1100,10.0,0.5,0.0,0.52,0.01,0.03,0.005241144913089132,0.55,0.01,0.05,0.0069510718597925614
USAVARS_POP,5_fixedstrata_10ppc_1100_size,cluster_based_c1_10_c2_20,900,1100,10.0,0.5,0.0,0.55,0.0,0.05,0.001548676854608476,0.55,0.02,0.06,0.007575183166102321
USAVARS_POP,5_fixedstrata_10ppc_1100_size,cluster_based_c1_10_c2_20,1000,1100,10.0,0.5,0.0,0.54,0.01,0.04,0.006254566331889033,0.54,0.0,0.04,0.0009080748867797209
USAVARS_POP,5_fixedstrata_10ppc_1200_size,cluster_based_c1_10_c2_20,100,1200,10.0,0.54,0.0,0.54,0.0,0.0,0.0007609204951898632,0.54,0.02,-0.0,0.007504172172864896
USAVARS_POP,5_fixedstrata_10ppc_1200_size,cluster_based_c1_10_c2_20,200,1200,10.0,0.54,0.0,0.51,0.01,-0.02,0.007120042134706773,0.54,0.0,0.01,0.002120282999979007
USAVARS_POP,5_fixedstrata_10ppc_1200_size,cluster_based_c1_10_c2_20,300,1200,10.0,0.54,0.0,0.53,0.02,-0.0,0.008633157012356488,0.54,0.01,0.0,0.0061143274364397525
USAVARS_POP,5_fixedstrata_10ppc_1200_size,cluster_based_c1_10_c2_20,400,1200,10.0,0.54,0.0,0.54,0.0,0.01,0.0011469088891450764,0.53,0.01,-0.0,0.005772469142403451
