dataset,initial_set,cost_type,budget,initial_set_size,alpha,initial_r2_mean,initial_r2_std,initial_r2_se,random_updated_r2_mean,random_updated_r2_std,random_updated_r2_se,random_delta_r2_mean,random_delta_r2_se,poprisk_regions_0.5_updated_r2_mean,poprisk_regions_0.5_updated_r2_std,poprisk_regions_0.5_updated_r2_se,poprisk_regions_0.5_delta_r2_mean,poprisk_regions_0.5_delta_r2_se,poprisk_image_clusters_8_0.5_updated_r2_mean,poprisk_image_clusters_8_0.5_updated_r2_std,poprisk_image_clusters_8_0.5_updated_r2_se,poprisk_image_clusters_8_0.5_delta_r2_mean,poprisk_image_clusters_8_0.5_delta_r2_se,poprisk_image_clusters_3_0.5_updated_r2_mean,poprisk_image_clusters_3_0.5_updated_r2_std,poprisk_image_clusters_3_0.5_updated_r2_se,poprisk_image_clusters_3_0.5_delta_r2_mean,poprisk_image_clusters_3_0.5_delta_r2_se,poprisk_avg_regions_0.5_updated_r2_mean,poprisk_avg_regions_0.5_updated_r2_std,poprisk_avg_regions_0.5_updated_r2_se,poprisk_avg_regions_0.5_delta_r2_mean,poprisk_avg_regions_0.5_delta_r2_se
TOGO_PH_H2O,2_strata_desired_25ppc_1000_size,cluster_based_c1_25_c2_35,400,1000,10.0,0.13,0.0,0.0,0.16,0.01,0.0073964450920695635,0.03,0.0073964450920695635,0.23,0.01,0.0039016150502067717,0.1,0.0039016150502067717,0.23,0.0,0.0017063411147833234,0.1,0.0017063411147833234,0.22,0.01,0.006929401128524747,0.09,0.006929401128524747,,,,,
TOGO_PH_H2O,2_strata_desired_25ppc_1000_size,cluster_based_c1_25_c2_35,500,1000,10.0,0.13,0.0,0.0,0.16,0.01,0.006493335044489852,0.03,0.006493335044489852,0.22,0.03,0.015174340183348992,0.08,0.015174340183348992,0.24,0.0,0.0015242703172337875,0.1,0.0015242703172337875,0.23,0.0,0.002328733561401991,0.1,0.002328733561401991,,,,,
TOGO_PH_H2O,2_strata_desired_25ppc_1000_size,cluster_based_c1_25_c2_35,600,1000,10.0,0.13,0.0,0.0,0.16,0.01,0.0060481071419081186,0.03,0.0060481071419081186,0.23,0.01,0.00617943363100535,0.1,0.00617943363100535,0.24,0.01,0.0026695317941541736,0.11,0.002669531794154173,0.24,0.0,0.0013406714735534552,0.11,0.0013406714735534552,,,,,
TOGO_PH_H2O,2_strata_desired_25ppc_1000_size,cluster_based_c1_25_c2_35,700,1000,10.0,0.13,0.0,0.0,0.18,0.02,0.008709649820744802,0.05,0.008709649820744802,0.24,0.01,0.0058877330102510604,0.11,0.0058877330102510604,0.24,0.01,0.0029005171952601857,0.1,0.0029005171952601857,0.24,0.01,0.0042909206471339004,0.11,0.0042909206471339004,,,,,
TOGO_PH_H2O,2_strata_desired_25ppc_1000_size,cluster_based_c1_25_c2_35,800,1000,10.0,0.13,0.0,0.0,0.18,0.02,0.007764367327735081,0.05,0.007764367327735081,0.24,0.01,0.004788277352033821,0.11,0.004788277352033821,0.25,0.01,0.0036591529074363675,0.11,0.0036591529074363675,0.24,0.0,0.002127580785775245,0.11,0.002127580785775245,,,,,
TOGO_PH_H2O,2_strata_desired_25ppc_1000_size,cluster_based_c1_25_c2_35,900,1000,10.0,0.13,0.0,0.0,0.18,0.01,0.006411988771044445,0.05,0.006411988771044445,0.25,0.0,0.0014957941034781524,0.12,0.0014957941034781524,0.25,0.0,0.001690443728729237,0.12,0.001690443728729237,0.24,0.01,0.0030206621790594182,0.11,0.0030206621790594182,,,,,
TOGO_PH_H2O,2_strata_desired_25ppc_1000_size,cluster_based_c1_25_c2_35,1000,1000,10.0,0.13,0.0,0.0,0.18,0.01,0.005925571702376068,0.05,0.005925571702376068,0.25,0.01,0.0068088618725892745,0.11,0.0068088618725892745,0.24,0.03,0.013058920322905718,0.11,0.01305892032290572,0.24,0.02,0.011025679117405878,0.11,0.011025679117405878,,,,,
TOGO_PH_H2O,2_strata_desired_25ppc_1500_size,cluster_based_c1_25_c2_35,100,1500,10.0,0.14,0.0,0.0,0.14,0.0,0.0015951175505272324,0.0,0.0015951175505272326,0.15,0.01,0.003029422387188686,0.02,0.003029422387188686,0.16,0.04,0.019611409944213596,0.03,0.019611409944213596,0.17,0.02,0.010056072792099309,0.04,0.010056072792099309,0.12,0.05,0.026936952314617922,-0.02,0.026936952314617922
TOGO_PH_H2O,2_strata_desired_25ppc_1500_size,cluster_based_c1_25_c2_35,200,1500,10.0,0.14,0.0,0.0,0.1,0.07,0.03286451886153211,-0.04,0.03286451886153211,0.19,0.02,0.00898251635122364,0.05,0.00898251635122364,0.2,0.01,0.0038723377951826454,0.07,0.0038723377951826454,0.19,0.01,0.0028192906909362834,0.05,0.002819290690936284,0.16,0.03,0.012939319920304929,0.02,0.01293931992030493
TOGO_PH_H2O,2_strata_desired_25ppc_1500_size,cluster_based_c1_25_c2_35,300,1500,10.0,0.14,0.0,0.0,0.13,0.05,0.025667555395868926,-0.01,0.025667555395868926,0.21,0.0,0.001082866566110525,0.07,0.001082866566110525,0.22,0.01,0.002832560678961704,0.08,0.002832560678961704,0.19,0.03,0.014589633305878525,0.05,0.014589633305878525,0.16,0.03,0.013004499221423329,0.02,0.013004499221423329
TOGO_PH_H2O,2_strata_desired_25ppc_1500_size,cluster_based_c1_25_c2_35,400,1500,10.0,0.14,0.0,0.0,0.15,0.01,0.007207176978540211,0.01,0.007207176978540211,0.22,0.0,0.0016551132891738825,0.08,0.0016551132891738825,0.22,0.0,0.0017468256925062674,0.08,0.0017468256925062674,0.21,0.03,0.01736794748955673,0.07,0.01736794748955673,0.2,0.01,0.0037887992820945255,0.06,0.0037887992820945264
TOGO_PH_H2O,2_strata_desired_25ppc_1500_size,cluster_based_c1_25_c2_35,500,1500,10.0,0.14,0.0,0.0,0.15,0.01,0.0072090637394879534,0.01,0.0072090637394879534,0.23,0.01,0.003599638870775788,0.09,0.003599638870775788,0.22,0.01,0.005279829542703056,0.08,0.005279829542703056,0.21,0.04,0.017829907459098043,0.07,0.017829907459098043,0.21,0.04,0.01896337522700007,0.07,0.01896337522700007
TOGO_PH_H2O,2_strata_desired_25ppc_1500_size,cluster_based_c1_25_c2_35,600,1500,10.0,0.14,0.0,0.0,0.16,0.01,0.007490233641215737,0.02,0.007490233641215739,0.23,0.01,0.0042729849051921535,0.09,0.0042729849051921535,0.23,0.01,0.0031031274546818124,0.09,0.0031031274546818124,0.22,0.03,0.01257972972682641,0.08,0.01257972972682641,0.25,0.0,0.001200583191619802,0.11,0.001200583191619802
TOGO_PH_H2O,2_strata_desired_25ppc_1500_size,cluster_based_c1_25_c2_35,700,1500,10.0,0.14,0.0,0.0,0.13,0.04,0.01829878684503429,-0.01,0.01829878684503429,0.24,0.0,0.0021827963716297477,0.1,0.0021827963716297477,0.24,0.01,0.003297362582428568,0.1,0.003297362582428568,0.24,0.01,0.004484974916317815,0.1,0.004484974916317815,0.24,0.0,0.0016387800340497208,0.1,0.0016387800340497206
TOGO_PH_H2O,2_strata_desired_25ppc_1500_size,cluster_based_c1_25_c2_35,800,1500,10.0,0.14,0.0,0.0,0.15,0.01,0.006144753860001226,0.02,0.006144753860001226,0.24,0.01,0.0055653391630699385,0.11,0.0055653391630699385,0.24,0.0,0.0024600812994695935,0.1,0.0024600812994695935,0.23,0.02,0.009658540262379197,0.1,0.009658540262379197,0.24,0.0,0.001639817062967698,0.11,0.001639817062967698
TOGO_PH_H2O,2_strata_desired_25ppc_1500_size,cluster_based_c1_25_c2_35,900,1500,10.0,0.14,0.0,0.0,0.16,0.01,0.006162515720061084,0.02,0.006162515720061084,0.25,0.01,0.004071289721943158,0.12,0.004071289721943158,0.24,0.01,0.004793787646527533,0.1,0.004793787646527533,0.22,0.02,0.01194884931698446,0.08,0.01194884931698446,0.25,0.0,0.001970685160039519,0.11,0.001970685160039519
TOGO_PH_H2O,2_strata_desired_25ppc_1500_size,cluster_based_c1_25_c2_35,1000,1500,10.0,0.14,0.0,0.0,0.16,0.02,0.007755359437189223,0.03,0.007755359437189223,0.24,0.01,0.005868270614073621,0.1,0.005868270614073621,0.25,0.01,0.004690351799172422,0.11,0.004690351799172422,0.24,0.01,0.0048527311897528375,0.1,0.0048527311897528375,0.25,0.0,0.0012087183294713464,0.12,0.0012087183294713464
TOGO_PH_H2O,2_strata_desired_25ppc_2000_size,cluster_based_c1_25_c2_35,100,2000,10.0,0.18,0.0,0.0,0.19,0.0,0.0007958643100428609,0.0,0.0007958643100428609,0.2,0.0,0.0018537529500988,0.01,0.0018537529500988,0.2,0.01,0.004022760246397983,0.02,0.004022760246397984,0.19,0.03,0.014948230664530167,0.0,0.014948230664530167,,,,,
TOGO_PH_H2O,2_strata_desired_25ppc_2000_size,cluster_based_c1_25_c2_35,200,2000,10.0,0.18,0.0,0.0,0.17,0.05,0.023904581150900765,-0.02,0.023904581150900762,0.19,0.04,0.01880487702698425,0.01,0.01880487702698425,0.21,0.01,0.0028845450247829384,0.03,0.0028845450247829384,0.21,0.0,0.00036193922141707985,0.02,0.00036193922141707985,,,,,
TOGO_PH_H2O,2_strata_desired_25ppc_2000_size,cluster_based_c1_25_c2_35,300,2000,10.0,0.18,0.0,0.0,0.19,0.01,0.002575849374478251,0.01,0.0025758493744782516,0.22,0.0,0.0018968394766031185,0.04,0.0018968394766031185,0.22,0.0,0.0008384509526501849,0.03,0.0008384509526501849,0.21,0.03,0.012592791588841612,0.02,0.012592791588841612,,,,,
TOGO_PH_H2O,2_strata_desired_25ppc_2000_size,cluster_based_c1_25_c2_35,400,2000,10.0,0.18,0.0,0.0,0.13,0.06,0.02797069895444159,-0.06,0.02797069895444159,0.23,0.0,0.002253530563360525,0.04,0.0022535305633605246,0.22,0.02,0.01128288083780025,0.04,0.01128288083780025,0.2,0.03,0.013258680175643425,0.02,0.013258680175643425,,,,,
TOGO_PH_H2O,2_strata_desired_25ppc_2000_size,cluster_based_c1_25_c2_35,500,2000,10.0,0.18,0.0,0.0,0.16,0.04,0.018735650509122976,-0.03,0.018735650509122976,0.22,0.02,0.012243790262823032,0.04,0.012243790262823032,0.22,0.02,0.012318563227909337,0.04,0.012318563227909335,0.22,0.02,0.01244264441346774,0.03,0.012442644413467738,,,,,
TOGO_PH_H2O,2_strata_desired_25ppc_2000_size,cluster_based_c1_25_c2_35,600,2000,10.0,0.18,0.0,0.0,0.19,0.01,0.004060049260784901,0.01,0.004060049260784901,0.22,0.02,0.007762319241051609,0.04,0.007762319241051609,0.21,0.02,0.011784252203682673,0.03,0.011784252203682672,0.21,0.03,0.015451135880575251,0.02,0.015451135880575251,,,,,
TOGO_PH_H2O,2_strata_desired_25ppc_2000_size,cluster_based_c1_25_c2_35,700,2000,10.0,0.18,0.0,0.0,0.19,0.01,0.0038521941799447255,0.01,0.0038521941799447255,0.23,0.01,0.005313793371970722,0.04,0.005313793371970722,0.21,0.02,0.009805692224417404,0.03,0.009805692224417404,0.22,0.02,0.00997599117882529,0.03,0.00997599117882529,,,,,
TOGO_PH_H2O,2_strata_desired_25ppc_2000_size,cluster_based_c1_25_c2_35,800,2000,10.0,0.18,0.0,0.0,0.2,0.01,0.0033954970181108973,0.01,0.0033954970181108973,0.22,0.01,0.004471196707817717,0.04,0.004471196707817717,0.23,0.01,0.0053322978161389305,0.05,0.0053322978161389305,0.21,0.03,0.013140144595855862,0.03,0.013140144595855862,,,,,
TOGO_PH_H2O,2_strata_desired_25ppc_2000_size,cluster_based_c1_25_c2_35,900,2000,10.0,0.18,0.0,0.0,0.2,0.01,0.003893918335045051,0.01,0.003893918335045051,0.24,0.02,0.008136215336383371,0.05,0.008136215336383371,0.23,0.01,0.006499569216494273,0.04,0.006499569216494273,0.23,0.02,0.008354220490267175,0.05,0.008354220490267175,,,,,
TOGO_PH_H2O,2_strata_desired_25ppc_2000_size,cluster_based_c1_25_c2_35,1000,2000,10.0,0.18,0.0,0.0,0.18,0.03,0.017467243629147675,-0.01,0.017467243629147672,0.26,0.0,0.0013969251948475973,0.07,0.0013969251948475973,0.25,0.01,0.005966623835972905,0.07,0.005966623835972906,0.24,0.02,0.00802498598129617,0.06,0.00802498598129617,,,,,
