dataset,initial_set,cost_type,budget,alpha,initial_r2_mean,initial_r2_std,random_updated_r2_mean,random_updated_r2_std,random_delta_r2_mean,random_delta_r2_se,poprisk_dists_from_all_urban_areas_0.5_updated_r2_mean,poprisk_dists_from_all_urban_areas_0.5_updated_r2_std,poprisk_dists_from_all_urban_areas_0.5_delta_r2_mean,poprisk_dists_from_all_urban_areas_0.5_delta_r2_se
USAVARS_POP,5_fixedstrata_10ppc_1100_size,cluster_based_c1_10_c2_20,100,10.0,0.5,0.0,0.52,0.02,0.02,0.009217212159866997,0.52,0.02,0.02,0.008686978761341613
USAVARS_POP,5_fixedstrata_10ppc_1100_size,cluster_based_c1_10_c2_20,200,10.0,0.5,0.0,0.52,0.02,0.03,0.008946250611289631,0.53,0.02,0.04,0.00870611279504235
USAVARS_POP,5_fixedstrata_10ppc_1100_size,cluster_based_c1_10_c2_20,300,10.0,0.5,0.0,0.54,0.0,0.04,0.0011702136557056617,0.55,0.01,0.05,0.003497055904614624
USAVARS_POP,5_fixedstrata_10ppc_1100_size,cluster_based_c1_10_c2_20,400,10.0,0.5,0.0,0.52,0.02,0.02,0.0077520061919479815,0.55,0.01,0.05,0.006856719332158786
USAVARS_POP,5_fixedstrata_10ppc_1100_size,cluster_based_c1_10_c2_20,500,10.0,0.5,0.0,0.53,0.02,0.03,0.00756042326857432,0.54,0.01,0.04,0.006925749056961268
USAVARS_POP,5_fixedstrata_10ppc_1100_size,cluster_based_c1_10_c2_20,600,10.0,0.5,0.0,0.53,0.01,0.03,0.006947200875172669,0.54,0.02,0.04,0.007689239234150531
USAVARS_POP,5_fixedstrata_10ppc_1100_size,cluster_based_c1_10_c2_20,700,10.0,0.5,0.0,0.53,0.02,0.03,0.008362057163162663,0.54,0.01,0.04,0.005411136664324787
USAVARS_POP,5_fixedstrata_10ppc_1100_size,cluster_based_c1_10_c2_20,800,10.0,0.5,0.0,0.52,0.01,0.03,0.005241144913089132,0.55,0.01,0.05,0.0069510718597925614
USAVARS_POP,5_fixedstrata_10ppc_1100_size,cluster_based_c1_10_c2_20,900,10.0,0.5,0.0,0.55,0.0,0.05,0.001548676854608476,0.55,0.02,0.06,0.007575183166102321
USAVARS_POP,5_fixedstrata_10ppc_1100_size,cluster_based_c1_10_c2_20,1000,10.0,0.5,0.0,0.54,0.01,0.04,0.006254566331889033,0.54,0.0,0.04,0.0009080748867797209
