dataset,initial_set,cost_type,budget,alpha,initial_r2_mean,initial_r2_std,random_updated_r2_mean,random_updated_r2_std,random_delta_r2_mean,random_delta_r2_se,poprisk_dists_from_all_urban_areas_0.5_updated_r2_mean,poprisk_dists_from_all_urban_areas_0.5_updated_r2_std,poprisk_dists_from_all_urban_areas_0.5_delta_r2_mean,poprisk_dists_from_all_urban_areas_0.5_delta_r2_se
USAVARS_POP,5_fixedstrata_10ppc_1200_size,cluster_based_c1_10_c2_20,100,10.0,0.54,0.0,0.54,0.0,0.0,0.0007609204951898632,0.54,0.02,-0.0,0.007504172172864896
USAVARS_POP,5_fixedstrata_10ppc_1200_size,cluster_based_c1_10_c2_20,200,10.0,0.54,0.0,0.51,0.01,-0.02,0.007120042134706773,0.54,0.0,0.01,0.002120282999979007
USAVARS_POP,5_fixedstrata_10ppc_1200_size,cluster_based_c1_10_c2_20,300,10.0,0.54,0.0,0.53,0.02,-0.0,0.008633157012356488,0.54,0.01,0.0,0.0061143274364397525
USAVARS_POP,5_fixedstrata_10ppc_1200_size,cluster_based_c1_10_c2_20,400,10.0,0.54,0.0,0.54,0.0,0.01,0.0011469088891450764,0.53,0.01,-0.0,0.005772469142403451
USAVARS_POP,5_fixedstrata_10ppc_1200_size,cluster_based_c1_10_c2_20,500,10.0,0.54,0.0,0.54,0.0,0.01,0.0017183131262956549,0.53,0.01,-0.0,0.005847101846214078
USAVARS_POP,5_fixedstrata_10ppc_1200_size,cluster_based_c1_10_c2_20,600,10.0,0.54,0.0,0.54,0.0,0.01,0.0023640219965135665,0.53,0.01,-0.01,0.006815027512783779
USAVARS_POP,5_fixedstrata_10ppc_1200_size,cluster_based_c1_10_c2_20,700,10.0,0.54,0.0,0.54,0.01,0.01,0.0032418513229326164,0.54,0.01,0.0,0.0038617353612074414
USAVARS_POP,5_fixedstrata_10ppc_1200_size,cluster_based_c1_10_c2_20,800,10.0,0.54,0.0,0.54,0.01,0.01,0.0037442756308797504,0.54,0.01,0.0,0.005690782020074221
USAVARS_POP,5_fixedstrata_10ppc_1200_size,cluster_based_c1_10_c2_20,900,10.0,0.54,0.0,0.54,0.01,-0.0,0.0065794072681359264,0.55,0.01,0.02,0.006196902452031996
USAVARS_POP,5_fixedstrata_10ppc_1200_size,cluster_based_c1_10_c2_20,1000,10.0,0.54,0.0,0.54,0.01,0.01,0.003542880184256861,0.55,0.01,0.02,0.0028654144551879318
