dataset,initial_set,cost_type,budget,initial_set_size,alpha,initial_r2_mean,initial_r2_std,random_updated_r2_mean,random_updated_r2_std,random_delta_r2_mean,random_delta_r2_se,poprisk_avg_regions_0.5_updated_r2_mean,poprisk_avg_regions_0.5_updated_r2_std,poprisk_avg_regions_0.5_delta_r2_mean,poprisk_avg_regions_0.5_delta_r2_se,poprisk_regions_0.5_updated_r2_mean,poprisk_regions_0.5_updated_r2_std,poprisk_regions_0.5_delta_r2_mean,poprisk_regions_0.5_delta_r2_se,poprisk_image_clusters_8_0.5_updated_r2_mean,poprisk_image_clusters_8_0.5_updated_r2_std,poprisk_image_clusters_8_0.5_delta_r2_mean,poprisk_image_clusters_8_0.5_delta_r2_se,poprisk_image_clusters_3_0.5_updated_r2_mean,poprisk_image_clusters_3_0.5_updated_r2_std,poprisk_image_clusters_3_0.5_delta_r2_mean,poprisk_image_clusters_3_0.5_delta_r2_se
TOGO_PH_H2O,2_strata_desired_25ppc_1500_size,cluster_based_c1_25_c2_35,100,1500,10.0,0.14,0.0,0.14,0.0,0.0,0.0015951175505272326,0.12,0.05,-0.02,0.026936952314617922,0.15,0.01,0.02,0.003029422387188686,0.16,0.04,0.03,0.019611409944213596,0.17,0.02,0.04,0.010056072792099309
TOGO_PH_H2O,2_strata_desired_25ppc_1500_size,cluster_based_c1_25_c2_35,200,1500,10.0,0.14,0.0,0.1,0.07,-0.04,0.03286451886153211,0.16,0.03,0.02,0.01293931992030493,0.19,0.02,0.05,0.00898251635122364,0.2,0.01,0.07,0.0038723377951826454,0.19,0.01,0.05,0.002819290690936284
TOGO_PH_H2O,2_strata_desired_25ppc_1500_size,cluster_based_c1_25_c2_35,300,1500,10.0,0.14,0.0,0.13,0.05,-0.01,0.025667555395868926,0.16,0.03,0.02,0.013004499221423329,0.21,0.0,0.07,0.001082866566110525,0.22,0.01,0.08,0.002832560678961704,0.19,0.03,0.05,0.014589633305878525
TOGO_PH_H2O,2_strata_desired_25ppc_1500_size,cluster_based_c1_25_c2_35,400,1500,10.0,0.14,0.0,0.15,0.01,0.01,0.007207176978540211,0.2,0.01,0.06,0.0037887992820945264,0.22,0.0,0.08,0.0016551132891738825,0.22,0.0,0.08,0.0017468256925062674,0.21,0.03,0.07,0.01736794748955673
TOGO_PH_H2O,2_strata_desired_25ppc_1500_size,cluster_based_c1_25_c2_35,500,1500,10.0,0.14,0.0,0.15,0.01,0.01,0.0072090637394879534,0.21,0.04,0.07,0.01896337522700007,0.23,0.01,0.09,0.003599638870775788,0.22,0.01,0.08,0.005279829542703056,0.21,0.04,0.07,0.017829907459098043
TOGO_PH_H2O,2_strata_desired_25ppc_1500_size,cluster_based_c1_25_c2_35,600,1500,10.0,0.14,0.0,0.16,0.01,0.02,0.007490233641215739,0.25,0.0,0.11,0.001200583191619802,0.23,0.01,0.09,0.0042729849051921535,0.23,0.01,0.09,0.0031031274546818124,0.22,0.03,0.08,0.01257972972682641
TOGO_PH_H2O,2_strata_desired_25ppc_1500_size,cluster_based_c1_25_c2_35,700,1500,10.0,0.14,0.0,0.13,0.04,-0.01,0.01829878684503429,0.24,0.0,0.1,0.0016387800340497206,0.24,0.0,0.1,0.0021827963716297477,0.24,0.01,0.1,0.003297362582428568,0.24,0.01,0.1,0.004484974916317815
TOGO_PH_H2O,2_strata_desired_25ppc_1500_size,cluster_based_c1_25_c2_35,800,1500,10.0,0.14,0.0,0.15,0.01,0.02,0.006144753860001226,0.24,0.0,0.11,0.001639817062967698,0.24,0.01,0.11,0.0055653391630699385,0.24,0.0,0.1,0.0024600812994695935,0.23,0.02,0.1,0.009658540262379197
TOGO_PH_H2O,2_strata_desired_25ppc_1500_size,cluster_based_c1_25_c2_35,900,1500,10.0,0.14,0.0,0.16,0.01,0.02,0.006162515720061084,0.25,0.0,0.11,0.001970685160039519,0.25,0.01,0.12,0.004071289721943158,0.24,0.01,0.1,0.004793787646527533,0.22,0.02,0.08,0.01194884931698446
TOGO_PH_H2O,2_strata_desired_25ppc_1500_size,cluster_based_c1_25_c2_35,1000,1500,10.0,0.14,0.0,0.16,0.02,0.03,0.007755359437189223,0.25,0.0,0.12,0.0012087183294713464,0.24,0.01,0.1,0.005868270614073621,0.25,0.01,0.11,0.004690351799172422,0.24,0.01,0.1,0.0048527311897528375
