dataset,initial_set,cost_type,budget,initial_set_size,alpha,initial_r2_mean,initial_r2_std,initial_r2_se,random_updated_r2_mean,random_updated_r2_std,random_updated_r2_se,random_delta_r2_mean,random_delta_r2_se,poprisk_dists_from_all_urban_areas_0.5_updated_r2_mean,poprisk_dists_from_all_urban_areas_0.5_updated_r2_std,poprisk_dists_from_all_urban_areas_0.5_updated_r2_se,poprisk_dists_from_all_urban_areas_0.5_delta_r2_mean,poprisk_dists_from_all_urban_areas_0.5_delta_r2_se
USAVARS_POP,5_fixedstrata_10ppc_1500_size,cluster_based_c1_10_c2_20,100,1500,10.0,0.51,0.0,0.0,0.52,0.0,0.0019481786365731371,0.0,0.0019481786365731371,0.53,0.01,0.005118202809580727,0.02,0.005118202809580727
USAVARS_POP,5_fixedstrata_10ppc_1500_size,cluster_based_c1_10_c2_20,200,1500,10.0,0.51,0.0,0.0,0.53,0.01,0.006366993010833303,0.02,0.006366993010833303,0.54,0.01,0.005105546004101809,0.02,0.005105546004101808
USAVARS_POP,5_fixedstrata_10ppc_1500_size,cluster_based_c1_10_c2_20,300,1500,10.0,0.51,0.0,0.0,0.54,0.01,0.005275850642313523,0.03,0.005275850642313523,0.51,0.01,0.005142898015710596,-0.0,0.005142898015710596
USAVARS_POP,5_fixedstrata_10ppc_1500_size,cluster_based_c1_10_c2_20,400,1500,10.0,0.51,0.0,0.0,0.53,0.01,0.005456042521828441,0.02,0.005456042521828441,0.54,0.02,0.008197841179237357,0.02,0.008197841179237357
USAVARS_POP,5_fixedstrata_10ppc_1500_size,cluster_based_c1_10_c2_20,500,1500,10.0,0.51,0.0,0.0,0.54,0.01,0.005014538862148721,0.02,0.005014538862148722,0.53,0.01,0.007363586082881088,0.02,0.007363586082881088
USAVARS_POP,5_fixedstrata_10ppc_1500_size,cluster_based_c1_10_c2_20,600,1500,10.0,0.51,0.0,0.0,0.53,0.01,0.005987119507743276,0.02,0.005987119507743277,0.54,0.02,0.008288268818034319,0.03,0.008288268818034319
USAVARS_POP,5_fixedstrata_10ppc_1500_size,cluster_based_c1_10_c2_20,700,1500,10.0,0.51,0.0,0.0,0.54,0.01,0.006232383171789118,0.03,0.006232383171789118,0.54,0.01,0.005954107825694788,0.02,0.005954107825694788
USAVARS_POP,5_fixedstrata_10ppc_1500_size,cluster_based_c1_10_c2_20,800,1500,10.0,0.51,0.0,0.0,0.54,0.01,0.00551483453967569,0.02,0.00551483453967569,0.53,0.01,0.004781275980321575,0.02,0.004781275980321575
USAVARS_POP,5_fixedstrata_10ppc_1500_size,cluster_based_c1_10_c2_20,900,1500,10.0,0.51,0.0,0.0,0.54,0.01,0.005987520354871461,0.02,0.00598752035487146,0.53,0.01,0.005673658431735193,0.02,0.005673658431735193
USAVARS_POP,5_fixedstrata_10ppc_1500_size,cluster_based_c1_10_c2_20,1000,1500,10.0,0.51,0.0,0.0,0.55,0.01,0.004238679039512178,0.03,0.004238679039512178,0.55,0.01,0.006144835229686802,0.03,0.006144835229686802
