initial_set_size,initial_r2_mean,initial_r2_std,initial_r2_se
500,0.5,0.0,0.0
600,0.5,0.0,2.7755575615628914e-17
700,0.51,0.0,0.0
800,0.52,0.0,0.0
900,0.48,0.0,2.7755575615628914e-17
1000,0.49,0.0,0.0
1100,0.5,0.0,2.7755575615628914e-17
1200,0.54,0.0,0.0
1300,0.51,0.0,0.0
1400,0.52,0.0,0.0
1500,0.51,0.0,0.0
2000,0.52,0.0,0.0
