dataset,initial_set,cost_type,budget,initial_set_size,alpha,initial_r2_mean,initial_r2_std,initial_r2_se,random_updated_r2_mean,random_updated_r2_std,random_updated_r2_se,random_delta_r2_mean,random_delta_r2_se,poprisk_dists_from_all_urban_areas_0.5_updated_r2_mean,poprisk_dists_from_all_urban_areas_0.5_updated_r2_std,poprisk_dists_from_all_urban_areas_0.5_updated_r2_se,poprisk_dists_from_all_urban_areas_0.5_delta_r2_mean,poprisk_dists_from_all_urban_areas_0.5_delta_r2_se
USAVARS_POP,5_fixedstrata_10ppc_700_size,cluster_based_c1_10_c2_20,100,700,10.0,0.51,0.0,0.0,0.5,0.02,0.009287109345754468,-0.01,0.009287109345754468,0.51,0.02,0.010400596136760623,-0.0,0.010400596136760623
USAVARS_POP,5_fixedstrata_10ppc_700_size,cluster_based_c1_10_c2_20,200,700,10.0,0.51,0.0,0.0,0.52,0.01,0.0036889835998550995,0.0,0.0036889835998551,0.51,0.01,0.003778571158520111,-0.0,0.003778571158520111
USAVARS_POP,5_fixedstrata_10ppc_700_size,cluster_based_c1_10_c2_20,300,700,10.0,0.51,0.0,0.0,0.52,0.01,0.004694081379780294,0.01,0.004694081379780294,0.49,0.02,0.010818900128941024,-0.02,0.010818900128941024
USAVARS_POP,5_fixedstrata_10ppc_700_size,cluster_based_c1_10_c2_20,400,700,10.0,0.51,0.0,0.0,0.51,0.02,0.009508438357585336,-0.0,0.009508438357585336,0.49,0.01,0.006299174549097675,-0.02,0.006299174549097675
USAVARS_POP,5_fixedstrata_10ppc_700_size,cluster_based_c1_10_c2_20,500,700,10.0,0.51,0.0,0.0,0.5,0.02,0.009853090885605395,-0.01,0.009853090885605395,0.5,0.01,0.006592526071241585,-0.01,0.006592526071241585
USAVARS_POP,5_fixedstrata_10ppc_700_size,cluster_based_c1_10_c2_20,600,700,10.0,0.51,0.0,0.0,0.51,0.04,0.019769562463544808,0.0,0.019769562463544808,0.53,0.01,0.004481673794465627,0.02,0.004481673794465627
USAVARS_POP,5_fixedstrata_10ppc_700_size,cluster_based_c1_10_c2_20,700,700,10.0,0.51,0.0,0.0,0.51,0.03,0.014274606824707988,-0.0,0.014274606824707988,0.5,0.03,0.013731110661559754,-0.01,0.013731110661559754
USAVARS_POP,5_fixedstrata_10ppc_700_size,cluster_based_c1_10_c2_20,800,700,10.0,0.51,0.0,0.0,0.51,0.02,0.012132765554480974,-0.0,0.012132765554480974,0.51,0.01,0.004871303726929777,0.0,0.004871303726929777
USAVARS_POP,5_fixedstrata_10ppc_700_size,cluster_based_c1_10_c2_20,900,700,10.0,0.51,0.0,0.0,0.52,0.02,0.010880624982049511,0.0,0.010880624982049513,0.51,0.02,0.00778892803921053,-0.0,0.00778892803921053
USAVARS_POP,5_fixedstrata_10ppc_700_size,cluster_based_c1_10_c2_20,1000,700,10.0,0.51,0.0,0.0,0.51,0.04,0.019679471537620105,-0.0,0.019679471537620105,0.51,0.02,0.009781564292075171,-0.0,0.009781564292075171
