dataset,initial_set,cost_type,budget,alpha,initial_r2_mean,initial_r2_std,random_updated_r2_mean,random_updated_r2_std,random_delta_r2_mean,random_delta_r2_se,poprisk_nlcd_0.5_updated_r2_mean,poprisk_nlcd_0.5_updated_r2_std,poprisk_nlcd_0.5_delta_r2_mean,poprisk_nlcd_0.5_delta_r2_se
USAVARS_TC,5_fixedstrata_10ppc_600_size,cluster_based_c1_10_c2_20,100,10.0,0.75,0.0,0.76,0.01,0.01,0.00508580377128335,0.79,0.02,0.04,0.010962253417979342
USAVARS_TC,5_fixedstrata_10ppc_600_size,cluster_based_c1_10_c2_20,200,10.0,0.75,0.0,0.76,0.01,0.01,0.005267769926638776,0.8,0.01,0.05,0.005853340926342829
USAVARS_TC,5_fixedstrata_10ppc_600_size,cluster_based_c1_10_c2_20,300,10.0,0.75,0.0,0.77,0.01,0.01,0.004448527846377941,0.81,0.0,0.05,0.0014410412901787535
USAVARS_TC,5_fixedstrata_10ppc_600_size,cluster_based_c1_10_c2_20,400,10.0,0.75,0.0,0.78,0.01,0.02,0.006408556779806202,0.81,0.01,0.06,0.00309182793829152
USAVARS_TC,5_fixedstrata_10ppc_600_size,cluster_based_c1_10_c2_20,500,10.0,0.75,0.0,0.78,0.01,0.02,0.003955578339509903,0.82,0.01,0.06,0.004446504244909704
USAVARS_TC,5_fixedstrata_10ppc_600_size,cluster_based_c1_10_c2_20,600,10.0,0.75,0.0,0.78,0.01,0.03,0.003696484816687342,0.82,0.01,0.07,0.004219715630229138
USAVARS_TC,5_fixedstrata_10ppc_600_size,cluster_based_c1_10_c2_20,700,10.0,0.75,0.0,0.78,0.01,0.03,0.005217432318679368,0.83,0.0,0.07,0.0016809521111560584
USAVARS_TC,5_fixedstrata_10ppc_600_size,cluster_based_c1_10_c2_20,800,10.0,0.75,0.0,0.78,0.01,0.03,0.003736629497287632,0.83,0.01,0.08,0.003440116277104606
USAVARS_TC,5_fixedstrata_10ppc_600_size,cluster_based_c1_10_c2_20,900,10.0,0.75,0.0,0.79,0.01,0.04,0.003791094828674167,0.83,0.0,0.08,0.001567609645288014
USAVARS_TC,5_fixedstrata_10ppc_600_size,cluster_based_c1_10_c2_20,1000,10.0,0.75,0.0,0.79,0.01,0.03,0.004643813088400518,0.84,0.0,0.08,0.0017162750362340023
