dataset,initial_set,cost_type,budget,initial_set_size,alpha,initial_r2_mean,initial_r2_std,initial_r2_se,random_updated_r2_mean,random_updated_r2_std,random_updated_r2_se,random_delta_r2_mean,random_delta_r2_se,poprisk_nlcd_0.5_updated_r2_mean,poprisk_nlcd_0.5_updated_r2_std,poprisk_nlcd_0.5_updated_r2_se,poprisk_nlcd_0.5_delta_r2_mean,poprisk_nlcd_0.5_delta_r2_se
USAVARS_TC,5_fixedstrata_10ppc_1200_size,cluster_based_c1_10_c2_20,100,1200,10.0,0.76,0.0,0.0,0.77,0.01,0.004669796569444972,0.01,0.0046697965694449724,0.82,0.0,0.00151842023168817,0.05,0.00151842023168817
USAVARS_TC,5_fixedstrata_10ppc_1200_size,cluster_based_c1_10_c2_20,200,1200,10.0,0.76,0.0,0.0,0.78,0.01,0.0032827427556846324,0.02,0.0032827427556846324,0.82,0.0,0.002019801970491168,0.06,0.002019801970491168
USAVARS_TC,5_fixedstrata_10ppc_1200_size,cluster_based_c1_10_c2_20,300,1200,10.0,0.76,0.0,0.0,0.78,0.0,0.002130117367658413,0.02,0.002130117367658413,0.82,0.0,0.001896312210581361,0.06,0.001896312210581361
USAVARS_TC,5_fixedstrata_10ppc_1200_size,cluster_based_c1_10_c2_20,400,1200,10.0,0.76,0.0,0.0,0.79,0.01,0.003572310176902337,0.02,0.003572310176902337,0.83,0.0,0.0010984534582766773,0.06,0.0010984534582766773
USAVARS_TC,5_fixedstrata_10ppc_1200_size,cluster_based_c1_10_c2_20,500,1200,10.0,0.76,0.0,0.0,0.79,0.01,0.0035763668715611337,0.02,0.0035763668715611337,0.83,0.0,0.000991261822123699,0.07,0.000991261822123699
USAVARS_TC,5_fixedstrata_10ppc_1200_size,cluster_based_c1_10_c2_20,600,1200,10.0,0.76,0.0,0.0,0.79,0.01,0.0028301236722093953,0.03,0.0028301236722093953,0.83,0.0,0.0014813507349712978,0.07,0.0014813507349712978
USAVARS_TC,5_fixedstrata_10ppc_1200_size,cluster_based_c1_10_c2_20,700,1200,10.0,0.76,0.0,0.0,0.79,0.01,0.0034724055062737105,0.03,0.0034724055062737105,0.83,0.0,0.0009352005132590659,0.07,0.0009352005132590659
USAVARS_TC,5_fixedstrata_10ppc_1200_size,cluster_based_c1_10_c2_20,800,1200,10.0,0.76,0.0,0.0,0.8,0.01,0.004002948912989028,0.03,0.004002948912989028,0.83,0.0,0.002350404220554405,0.07,0.002350404220554405
USAVARS_TC,5_fixedstrata_10ppc_1200_size,cluster_based_c1_10_c2_20,900,1200,10.0,0.76,0.0,0.0,0.8,0.01,0.0038597409239481363,0.04,0.0038597409239481363,0.84,0.0,0.0016234531098864606,0.07,0.0016234531098864606
USAVARS_TC,5_fixedstrata_10ppc_1200_size,cluster_based_c1_10_c2_20,1000,1200,10.0,0.76,0.0,0.0,0.8,0.01,0.0040789214260635205,0.04,0.0040789214260635205,0.84,0.0,0.001411878181713988,0.07,0.001411878181713988
