dataset,initial_set,cost_type,budget,initial_set_size,alpha,initial_r2_mean,initial_r2_std,random_updated_r2_mean,random_updated_r2_std,random_delta_r2_mean,random_delta_r2_se,poprisk_nlcd_0.5_updated_r2_mean,poprisk_nlcd_0.5_updated_r2_std,poprisk_nlcd_0.5_delta_r2_mean,poprisk_nlcd_0.5_delta_r2_se
USAVARS_TC,5_fixedstrata_10ppc_1300_size,cluster_based_c1_10_c2_20,100,1300,10.0,0.77,0.0,0.77,0.01,0.01,0.003846478909340327,0.81,0.0,0.05,0.0018014993755202933
USAVARS_TC,5_fixedstrata_10ppc_1300_size,cluster_based_c1_10_c2_20,200,1300,10.0,0.77,0.0,0.78,0.01,0.01,0.0030400000000000045,0.82,0.01,0.05,0.002696182486405536
USAVARS_TC,5_fixedstrata_10ppc_1300_size,cluster_based_c1_10_c2_20,300,1300,10.0,0.77,0.0,0.78,0.01,0.01,0.0037757648231848346,0.82,0.0,0.05,0.00157448404247232
USAVARS_TC,5_fixedstrata_10ppc_1300_size,cluster_based_c1_10_c2_20,400,1300,10.0,0.77,0.0,0.78,0.01,0.01,0.0037688194438046446,0.83,0.0,0.06,0.0018109113727623513
USAVARS_TC,5_fixedstrata_10ppc_1300_size,cluster_based_c1_10_c2_20,500,1300,10.0,0.77,0.0,0.78,0.01,0.02,0.004440990880422979,0.83,0.0,0.06,0.0010327632836231145
USAVARS_TC,5_fixedstrata_10ppc_1300_size,cluster_based_c1_10_c2_20,600,1300,10.0,0.77,0.0,0.78,0.01,0.02,0.004572307951133654,0.83,0.0,0.06,0.001721220497205393
USAVARS_TC,5_fixedstrata_10ppc_1300_size,cluster_based_c1_10_c2_20,700,1300,10.0,0.77,0.0,0.79,0.01,0.02,0.004122814572594802,0.83,0.0,0.06,0.0019069871525524338
USAVARS_TC,5_fixedstrata_10ppc_1300_size,cluster_based_c1_10_c2_20,800,1300,10.0,0.77,0.0,0.79,0.01,0.03,0.0030671485128698894,0.83,0.0,0.07,0.0010669582934679422
USAVARS_TC,5_fixedstrata_10ppc_1300_size,cluster_based_c1_10_c2_20,900,1300,10.0,0.77,0.0,0.79,0.01,0.03,0.003140955268704083,0.84,0.0,0.07,0.0014626687936781775
USAVARS_TC,5_fixedstrata_10ppc_1300_size,cluster_based_c1_10_c2_20,1000,1300,10.0,0.77,0.0,0.8,0.01,0.03,0.0033303753542206055,0.84,0.0,0.07,0.0021365860619221456
