dataset,initial_set,cost_type,budget,initial_set_size,alpha,initial_r2_mean,initial_r2_std,initial_r2_se,random_updated_r2_mean,random_updated_r2_std,random_updated_r2_se,random_delta_r2_mean,random_delta_r2_se,poprisk_nlcd_0.5_updated_r2_mean,poprisk_nlcd_0.5_updated_r2_std,poprisk_nlcd_0.5_updated_r2_se,poprisk_nlcd_0.5_delta_r2_mean,poprisk_nlcd_0.5_delta_r2_se
USAVARS_TC,5_fixedstrata_10ppc_700_size,cluster_based_c1_10_c2_20,500,700,10.0,0.74,0.0,0.0,0.78,0.02,0.008833764769338151,0.04,0.008833764769338151,0.83,0.0,0.0015376605607220302,0.08,0.0015376605607220302
USAVARS_TC,5_fixedstrata_10ppc_700_size,cluster_based_c1_10_c2_20,600,700,10.0,0.74,0.0,0.0,0.79,0.01,0.00663980421398101,0.05,0.00663980421398101,0.83,0.0,0.001929663183045166,0.08,0.001929663183045166
USAVARS_TC,5_fixedstrata_10ppc_700_size,cluster_based_c1_10_c2_20,700,700,10.0,0.74,0.0,0.0,0.79,0.01,0.0063994999804672294,0.05,0.0063994999804672294,0.83,0.0,0.0014161214637170162,0.08,0.0014161214637170162
USAVARS_TC,5_fixedstrata_10ppc_700_size,cluster_based_c1_10_c2_20,800,700,10.0,0.74,0.0,0.0,0.79,0.01,0.006439208025836716,0.05,0.0064392080258367165,0.83,0.01,0.002733056896590335,0.09,0.002733056896590335
USAVARS_TC,5_fixedstrata_10ppc_700_size,cluster_based_c1_10_c2_20,900,700,10.0,0.74,0.0,0.0,0.79,0.01,0.007439556438390651,0.05,0.007439556438390652,0.84,0.01,0.0034413078909042733,0.1,0.0034413078909042733
USAVARS_TC,5_fixedstrata_10ppc_700_size,cluster_based_c1_10_c2_20,1000,700,10.0,0.74,0.0,0.0,0.79,0.01,0.006278264091291475,0.05,0.006278264091291475,0.84,0.01,0.0032606134392166065,0.09,0.0032606134392166065
USAVARS_TC,5_fixedstrata_10ppc_800_size,cluster_based_c1_10_c2_20,100,800,10.0,0.75,0.0,0.0,0.76,0.01,0.004341359234156977,0.01,0.004341359234156977,0.81,0.0,0.002085809195492237,0.06,0.002085809195492237
USAVARS_TC,5_fixedstrata_10ppc_800_size,cluster_based_c1_10_c2_20,200,800,10.0,0.75,0.0,0.0,0.77,0.01,0.003105575631022375,0.02,0.003105575631022375,0.82,0.0,0.0024115555146004756,0.07,0.0024115555146004756
USAVARS_TC,5_fixedstrata_10ppc_800_size,cluster_based_c1_10_c2_20,300,800,10.0,0.75,0.0,0.0,0.77,0.01,0.0027176092434343956,0.02,0.0027176092434343956,0.82,0.0,0.0005388877434123062,0.07,0.0005388877434123062
USAVARS_TC,5_fixedstrata_10ppc_800_size,cluster_based_c1_10_c2_20,400,800,10.0,0.75,0.0,0.0,0.78,0.01,0.004748578734737361,0.03,0.004748578734737361,0.82,0.01,0.0027709926019388767,0.07,0.0027709926019388767
USAVARS_TC,5_fixedstrata_10ppc_800_size,cluster_based_c1_10_c2_20,500,800,10.0,0.75,0.0,0.0,0.79,0.01,0.0041776309075838725,0.04,0.0041776309075838725,0.83,0.0,0.0009260669522232186,0.08,0.0009260669522232186
USAVARS_TC,5_fixedstrata_10ppc_800_size,cluster_based_c1_10_c2_20,600,800,10.0,0.75,0.0,0.0,0.79,0.01,0.0033046028505706987,0.04,0.0033046028505706987,0.83,0.0,0.001495660389259543,0.08,0.001495660389259543
USAVARS_TC,5_fixedstrata_10ppc_800_size,cluster_based_c1_10_c2_20,700,800,10.0,0.75,0.0,0.0,0.79,0.0,0.0022276444958745116,0.05,0.0022276444958745116,0.83,0.01,0.003827087665575473,0.08,0.003827087665575473
USAVARS_TC,5_fixedstrata_10ppc_800_size,cluster_based_c1_10_c2_20,800,800,10.0,0.75,0.0,0.0,0.8,0.0,0.0023829393613770344,0.05,0.0023829393613770344,0.84,0.0,0.0023702320561497653,0.09,0.0023702320561497657
USAVARS_TC,5_fixedstrata_10ppc_800_size,cluster_based_c1_10_c2_20,900,800,10.0,0.75,0.0,0.0,0.8,0.0,0.002399583297158075,0.05,0.002399583297158075,0.83,0.0,0.0019270184223302194,0.08,0.0019270184223302194
USAVARS_TC,5_fixedstrata_10ppc_800_size,cluster_based_c1_10_c2_20,1000,800,10.0,0.75,0.0,0.0,0.8,0.0,0.001306904740216362,0.05,0.001306904740216362,0.84,0.0,0.0016874833332510284,0.09,0.0016874833332510284
USAVARS_TC,5_fixedstrata_10ppc_900_size,cluster_based_c1_10_c2_20,100,900,10.0,0.75,0.0,0.0,0.77,0.01,0.0028902595039200264,0.02,0.0028902595039200264,0.81,0.0,0.001904888448177474,0.06,0.001904888448177474
USAVARS_TC,5_fixedstrata_10ppc_900_size,cluster_based_c1_10_c2_20,200,900,10.0,0.75,0.0,0.0,0.77,0.0,0.0024402049094287203,0.02,0.0024402049094287203,0.81,0.01,0.003237746129640175,0.06,0.003237746129640175
USAVARS_TC,5_fixedstrata_10ppc_900_size,cluster_based_c1_10_c2_20,300,900,10.0,0.75,0.0,0.0,0.78,0.0,0.0018555322686496227,0.03,0.0018555322686496227,0.82,0.01,0.0026871174146285426,0.07,0.0026871174146285426
USAVARS_TC,5_fixedstrata_10ppc_900_size,cluster_based_c1_10_c2_20,400,900,10.0,0.75,0.0,0.0,0.78,0.01,0.003388569019512526,0.03,0.003388569019512526,0.82,0.0,0.0009931767214348146,0.07,0.0009931767214348146
USAVARS_TC,5_fixedstrata_10ppc_900_size,cluster_based_c1_10_c2_20,500,900,10.0,0.75,0.0,0.0,0.79,0.01,0.0042451619521521175,0.04,0.0042451619521521175,0.83,0.0,0.0023094588110637543,0.08,0.0023094588110637543
USAVARS_TC,5_fixedstrata_10ppc_900_size,cluster_based_c1_10_c2_20,600,900,10.0,0.75,0.0,0.0,0.79,0.01,0.003909987212255295,0.04,0.003909987212255295,0.83,0.01,0.002504995009975075,0.08,0.0025049950099750753
USAVARS_TC,5_fixedstrata_10ppc_900_size,cluster_based_c1_10_c2_20,700,900,10.0,0.75,0.0,0.0,0.8,0.0,0.0023292488059458065,0.05,0.0023292488059458065,0.83,0.01,0.003169290141340794,0.08,0.003169290141340794
USAVARS_TC,5_fixedstrata_10ppc_900_size,cluster_based_c1_10_c2_20,800,900,10.0,0.75,0.0,0.0,0.8,0.0,0.0015305554547287766,0.05,0.0015305554547287766,0.83,0.0,0.0015104304022363995,0.08,0.0015104304022363997
USAVARS_TC,5_fixedstrata_10ppc_900_size,cluster_based_c1_10_c2_20,900,900,10.0,0.75,0.0,0.0,0.8,0.0,0.0007447147104764402,0.05,0.0007447147104764402,0.83,0.0,0.0020938958904396423,0.08,0.0020938958904396423
USAVARS_TC,5_fixedstrata_10ppc_900_size,cluster_based_c1_10_c2_20,1000,900,10.0,0.75,0.0,0.0,0.8,0.0,0.000672309452558868,0.05,0.000672309452558868,0.84,0.01,0.0029454371492191097,0.09,0.0029454371492191097
USAVARS_TC,5_fixedstrata_10ppc_1000_size,cluster_based_c1_10_c2_20,100,1000,10.0,0.76,0.0,0.0,0.77,0.01,0.0025180548048046847,0.01,0.0025180548048046847,0.81,0.0,0.0015292481812969416,0.05,0.0015292481812969416
USAVARS_TC,5_fixedstrata_10ppc_1000_size,cluster_based_c1_10_c2_20,200,1000,10.0,0.76,0.0,0.0,0.78,0.0,0.0012354756169184274,0.01,0.0012354756169184276,0.82,0.01,0.0026696441710460186,0.06,0.0026696441710460186
USAVARS_TC,5_fixedstrata_10ppc_1000_size,cluster_based_c1_10_c2_20,300,1000,10.0,0.76,0.0,0.0,0.78,0.0,0.0017661823235442034,0.02,0.0017661823235442034,0.82,0.01,0.002583331182794805,0.06,0.002583331182794805
USAVARS_TC,5_fixedstrata_10ppc_1000_size,cluster_based_c1_10_c2_20,400,1000,10.0,0.76,0.0,0.0,0.79,0.0,0.0018201648277010444,0.02,0.0018201648277010448,0.83,0.01,0.002543540839066681,0.06,0.002543540839066681
USAVARS_TC,5_fixedstrata_10ppc_1000_size,cluster_based_c1_10_c2_20,500,1000,10.0,0.76,0.0,0.0,0.79,0.0,0.002307076071567638,0.02,0.002307076071567638,0.83,0.0,0.0007499333303701061,0.07,0.000749933330370106
USAVARS_TC,5_fixedstrata_10ppc_1000_size,cluster_based_c1_10_c2_20,600,1000,10.0,0.76,0.0,0.0,0.79,0.0,0.0015084429057806675,0.03,0.0015084429057806675,0.83,0.0,0.0007858753081755469,0.07,0.0007858753081755469
USAVARS_TC,5_fixedstrata_10ppc_1000_size,cluster_based_c1_10_c2_20,700,1000,10.0,0.76,0.0,0.0,0.8,0.0,0.0019538167774896392,0.03,0.0019538167774896392,0.83,0.0,0.00105707142615813,0.06,0.0010570714261581302
USAVARS_TC,5_fixedstrata_10ppc_1000_size,cluster_based_c1_10_c2_20,800,1000,10.0,0.76,0.0,0.0,0.8,0.0,0.0024934714756740385,0.03,0.002493471475674038,0.84,0.0,0.0022918551437645434,0.07,0.0022918551437645434
USAVARS_TC,5_fixedstrata_10ppc_1000_size,cluster_based_c1_10_c2_20,900,1000,10.0,0.76,0.0,0.0,0.8,0.01,0.0031939630555158274,0.04,0.0031939630555158274,0.83,0.0,0.000386005181312372,0.07,0.000386005181312372
USAVARS_TC,5_fixedstrata_10ppc_1000_size,cluster_based_c1_10_c2_20,1000,1000,10.0,0.76,0.0,0.0,0.8,0.01,0.004245633050559123,0.04,0.004245633050559122,0.84,0.0,0.002162313575779432,0.07,0.002162313575779432
USAVARS_TC,5_fixedstrata_10ppc_1100_size,cluster_based_c1_10_c2_20,100,1100,10.0,0.76,0.0,0.0,0.76,0.01,0.003046900063999485,0.0,0.003046900063999485,0.81,0.0,0.0014698979556418167,0.05,0.0014698979556418167
USAVARS_TC,5_fixedstrata_10ppc_1100_size,cluster_based_c1_10_c2_20,200,1100,10.0,0.76,0.0,0.0,0.77,0.01,0.005892418858160024,0.01,0.005892418858160024,0.82,0.0,0.0003891015291668717,0.06,0.0003891015291668717
USAVARS_TC,5_fixedstrata_10ppc_1100_size,cluster_based_c1_10_c2_20,300,1100,10.0,0.76,0.0,0.0,0.79,0.01,0.0033781059782073204,0.03,0.0033781059782073204,0.82,0.0,0.0013234047000067748,0.06,0.0013234047000067748
USAVARS_TC,5_fixedstrata_10ppc_1100_size,cluster_based_c1_10_c2_20,400,1100,10.0,0.76,0.0,0.0,0.79,0.01,0.00363612431030624,0.03,0.00363612431030624,0.82,0.0,0.002324005163505465,0.06,0.0023240051635054645
USAVARS_TC,5_fixedstrata_10ppc_1100_size,cluster_based_c1_10_c2_20,500,1100,10.0,0.76,0.0,0.0,0.79,0.01,0.004873089369178449,0.03,0.004873089369178449,0.83,0.0,0.0014165450928226892,0.07,0.001416545092822689
USAVARS_TC,5_fixedstrata_10ppc_1100_size,cluster_based_c1_10_c2_20,600,1100,10.0,0.76,0.0,0.0,0.79,0.01,0.004692611213386423,0.03,0.004692611213386423,0.83,0.0,0.0006303967004989909,0.07,0.0006303967004989909
USAVARS_TC,5_fixedstrata_10ppc_1100_size,cluster_based_c1_10_c2_20,700,1100,10.0,0.76,0.0,0.0,0.8,0.01,0.004125336349923487,0.04,0.004125336349923487,0.83,0.0,0.0008346256645946167,0.07,0.0008346256645946168
USAVARS_TC,5_fixedstrata_10ppc_1100_size,cluster_based_c1_10_c2_20,800,1100,10.0,0.76,0.0,0.0,0.8,0.01,0.002886970730714125,0.04,0.002886970730714125,0.84,0.0,0.0022406695427929597,0.07,0.0022406695427929593
USAVARS_TC,5_fixedstrata_10ppc_1100_size,cluster_based_c1_10_c2_20,900,1100,10.0,0.76,0.0,0.0,0.8,0.01,0.003975172952212272,0.04,0.003975172952212272,0.84,0.0,0.001711023085758939,0.08,0.001711023085758939
USAVARS_TC,5_fixedstrata_10ppc_1100_size,cluster_based_c1_10_c2_20,1000,1100,10.0,0.76,0.0,0.0,0.81,0.01,0.0031121696611849264,0.04,0.003112169661184926,0.84,0.0,0.000685127725318419,0.08,0.0006851277253184189
USAVARS_TC,5_fixedstrata_10ppc_1200_size,cluster_based_c1_10_c2_20,100,1200,10.0,0.76,0.0,0.0,0.77,0.01,0.004669796569444972,0.01,0.0046697965694449724,0.82,0.0,0.00151842023168817,0.05,0.00151842023168817
USAVARS_TC,5_fixedstrata_10ppc_1200_size,cluster_based_c1_10_c2_20,200,1200,10.0,0.76,0.0,0.0,0.78,0.01,0.0032827427556846324,0.02,0.0032827427556846324,0.82,0.0,0.002019801970491168,0.06,0.002019801970491168
USAVARS_TC,5_fixedstrata_10ppc_1200_size,cluster_based_c1_10_c2_20,300,1200,10.0,0.76,0.0,0.0,0.78,0.0,0.002130117367658413,0.02,0.002130117367658413,0.82,0.0,0.001896312210581361,0.06,0.001896312210581361
USAVARS_TC,5_fixedstrata_10ppc_1200_size,cluster_based_c1_10_c2_20,400,1200,10.0,0.76,0.0,0.0,0.79,0.01,0.003572310176902337,0.02,0.003572310176902337,0.83,0.0,0.0010984534582766773,0.06,0.0010984534582766773
USAVARS_TC,5_fixedstrata_10ppc_1200_size,cluster_based_c1_10_c2_20,500,1200,10.0,0.76,0.0,0.0,0.79,0.01,0.0035763668715611337,0.02,0.0035763668715611337,0.83,0.0,0.000991261822123699,0.07,0.000991261822123699
USAVARS_TC,5_fixedstrata_10ppc_1200_size,cluster_based_c1_10_c2_20,600,1200,10.0,0.76,0.0,0.0,0.79,0.01,0.0028301236722093953,0.03,0.0028301236722093953,0.83,0.0,0.0014813507349712978,0.07,0.0014813507349712978
USAVARS_TC,5_fixedstrata_10ppc_1200_size,cluster_based_c1_10_c2_20,700,1200,10.0,0.76,0.0,0.0,0.79,0.01,0.0034724055062737105,0.03,0.0034724055062737105,0.83,0.0,0.0009352005132590659,0.07,0.0009352005132590659
USAVARS_TC,5_fixedstrata_10ppc_1200_size,cluster_based_c1_10_c2_20,800,1200,10.0,0.76,0.0,0.0,0.8,0.01,0.004002948912989028,0.03,0.004002948912989028,0.83,0.0,0.002350404220554405,0.07,0.002350404220554405
USAVARS_TC,5_fixedstrata_10ppc_1200_size,cluster_based_c1_10_c2_20,900,1200,10.0,0.76,0.0,0.0,0.8,0.01,0.0038597409239481363,0.04,0.0038597409239481363,0.84,0.0,0.0016234531098864606,0.07,0.0016234531098864606
USAVARS_TC,5_fixedstrata_10ppc_1200_size,cluster_based_c1_10_c2_20,1000,1200,10.0,0.76,0.0,0.0,0.8,0.01,0.0040789214260635205,0.04,0.0040789214260635205,0.84,0.0,0.001411878181713988,0.07,0.001411878181713988
USAVARS_TC,5_fixedstrata_10ppc_1300_size,cluster_based_c1_10_c2_20,100,1300,10.0,0.77,0.0,0.0,0.77,0.01,0.003846478909340328,0.01,0.003846478909340327,0.81,0.0,0.0018014993755202933,0.05,0.0018014993755202933
USAVARS_TC,5_fixedstrata_10ppc_1300_size,cluster_based_c1_10_c2_20,200,1300,10.0,0.77,0.0,0.0,0.78,0.01,0.003040000000000004,0.01,0.0030400000000000045,0.82,0.01,0.0026961824864055366,0.05,0.002696182486405536
