dataset,initial_set,cost_type,budget,alpha,initial_r2_mean,initial_r2_std,random_updated_r2_mean,random_updated_r2_std,random_delta_r2_mean,random_delta_r2_se,poprisk_dists_from_all_urban_areas_0.5_updated_r2_mean,poprisk_dists_from_all_urban_areas_0.5_updated_r2_std,poprisk_dists_from_all_urban_areas_0.5_delta_r2_mean,poprisk_dists_from_all_urban_areas_0.5_delta_r2_se
USAVARS_POP,5_fixedstrata_10ppc_500_size,cluster_based_c1_10_c2_20,100,10.0,0.5,0.0,0.5,0.01,0.0,0.0027009998148833673,0.49,0.01,-0.01,0.0027554672924932416
USAVARS_POP,5_fixedstrata_10ppc_500_size,cluster_based_c1_10_c2_20,200,10.0,0.5,0.0,0.5,0.0,0.0,0.0024795967414077582,0.5,0.01,-0.0,0.003804812741778494
USAVARS_POP,5_fixedstrata_10ppc_500_size,cluster_based_c1_10_c2_20,300,10.0,0.5,0.0,0.5,0.01,-0.0,0.0036811682928113956,0.49,0.02,-0.0,0.012416263528131154
USAVARS_POP,5_fixedstrata_10ppc_500_size,cluster_based_c1_10_c2_20,400,10.0,0.5,0.0,0.5,0.01,-0.0,0.005998949908108919,0.49,0.02,-0.01,0.00891080243300231
USAVARS_POP,5_fixedstrata_10ppc_500_size,cluster_based_c1_10_c2_20,500,10.0,0.5,0.0,0.51,0.01,0.01,0.005725382083319854,0.49,0.02,-0.0,0.00804795626230661
USAVARS_POP,5_fixedstrata_10ppc_500_size,cluster_based_c1_10_c2_20,600,10.0,0.5,0.0,0.51,0.01,0.01,0.0060965564050535935,0.49,0.03,-0.0,0.013265541828361182
USAVARS_POP,5_fixedstrata_10ppc_500_size,cluster_based_c1_10_c2_20,700,10.0,0.5,0.0,0.51,0.01,0.01,0.006292805415710863,0.48,0.03,-0.01,0.013594741630498156
USAVARS_POP,5_fixedstrata_10ppc_500_size,cluster_based_c1_10_c2_20,800,10.0,0.5,0.0,0.51,0.01,0.01,0.006106193577016699,0.48,0.03,-0.02,0.012997407433792327
USAVARS_POP,5_fixedstrata_10ppc_500_size,cluster_based_c1_10_c2_20,900,10.0,0.5,0.0,0.51,0.01,0.01,0.0055683570287832695,0.53,0.01,0.03,0.0052544647681757334
USAVARS_POP,5_fixedstrata_10ppc_500_size,cluster_based_c1_10_c2_20,1000,10.0,0.5,0.0,0.51,0.01,0.01,0.006245958693427299,0.5,0.03,0.0,0.014920857884183479
