dataset,initial_set,cost_type,budget,initial_set_size,alpha,initial_r2_mean,initial_r2_std,random_updated_r2_mean,random_updated_r2_std,random_delta_r2_mean,random_delta_r2_se,poprisk_dists_from_all_urban_areas_0.5_updated_r2_mean,poprisk_dists_from_all_urban_areas_0.5_updated_r2_std,poprisk_dists_from_all_urban_areas_0.5_delta_r2_mean,poprisk_dists_from_all_urban_areas_0.5_delta_r2_se
USAVARS_POP,5_fixedstrata_10ppc_800_size,cluster_based_c1_10_c2_20,100,800,10.0,0.52,0.0,0.52,0.0,-0.0,0.001524335920983311,0.52,0.01,-0.0,0.006693534193533339
USAVARS_POP,5_fixedstrata_10ppc_800_size,cluster_based_c1_10_c2_20,200,800,10.0,0.52,0.0,0.52,0.01,-0.0,0.0026064151626323767,0.52,0.01,-0.0,0.006944739015974617
USAVARS_POP,5_fixedstrata_10ppc_800_size,cluster_based_c1_10_c2_20,300,800,10.0,0.52,0.0,0.52,0.01,-0.0,0.003004063914100361,0.52,0.02,-0.0,0.008922253078679178
USAVARS_POP,5_fixedstrata_10ppc_800_size,cluster_based_c1_10_c2_20,400,800,10.0,0.52,0.0,0.52,0.0,0.0,0.001267438361420396,0.53,0.02,0.0,0.007825701246533746
USAVARS_POP,5_fixedstrata_10ppc_800_size,cluster_based_c1_10_c2_20,500,800,10.0,0.52,0.0,0.51,0.02,-0.02,0.01239993548370313,0.51,0.01,-0.01,0.006509039867753155
USAVARS_POP,5_fixedstrata_10ppc_800_size,cluster_based_c1_10_c2_20,600,800,10.0,0.52,0.0,0.52,0.01,0.0,0.003329204109092748,0.53,0.01,0.01,0.007302766599036285
USAVARS_POP,5_fixedstrata_10ppc_800_size,cluster_based_c1_10_c2_20,700,800,10.0,0.52,0.0,0.52,0.01,-0.0,0.005477864547430874,0.53,0.01,0.0,0.0057513824425089195
USAVARS_POP,5_fixedstrata_10ppc_800_size,cluster_based_c1_10_c2_20,800,800,10.0,0.52,0.0,0.52,0.01,-0.01,0.0069221817369959325,0.54,0.02,0.01,0.009135173780503578
USAVARS_POP,5_fixedstrata_10ppc_800_size,cluster_based_c1_10_c2_20,900,800,10.0,0.52,0.0,0.53,0.01,0.0,0.005719318141177335,0.54,0.01,0.01,0.00544710932513752
USAVARS_POP,5_fixedstrata_10ppc_800_size,cluster_based_c1_10_c2_20,1000,800,10.0,0.52,0.0,0.53,0.01,0.0,0.007020584021290536,0.53,0.01,0.01,0.007261955659462533
