initial_set_size,initial_r2_mean,initial_r2_std,initial_r2_se
500,0.17,0.0,0.0
1000,0.13,0.0,0.0
1500,0.14,0.0,0.0
2000,0.18,0.0,0.0
2500,0.2,0.0,0.0
3000,0.12,0.0,0.0
