label,Cost,Test R2
elevation,1000,0.45055636809065247
elevation,1000,0.44135601054044926
elevation,1000,0.5100402441500754
elevation,1000,0.4947914956446484
elevation,1000,0.45094645440244085
elevation,1500,0.5454526094307021
elevation,1500,0.5297365670815697
elevation,1500,0.524115903504355
elevation,1500,0.5474014066404385
elevation,1500,0.5456418110309358
elevation,2000,0.5490267718232071
elevation,2000,0.5546816415785383
elevation,2000,0.553444876781519
elevation,2000,0.570319157919434
elevation,2000,0.5578426517204246
elevation,2500,0.5723940409752818
elevation,2500,0.5675942929048154
elevation,2500,0.5915755438876371
elevation,2500,0.5747327991722506
elevation,2500,0.5770026102828807
elevation,3000,0.595813296709859
elevation,3000,0.5948095281477406
elevation,3000,0.5943394275091596
elevation,3000,0.6068767502980827
elevation,3000,0.5728380698897162
elevation,3500,0.5914931057971127
elevation,3500,0.5927763044757575
elevation,3500,0.5926003564703386
elevation,3500,0.610965649271141
elevation,3500,0.5790028788846584
elevation,4000,0.5966992307170746
elevation,4000,0.5951174026662243
elevation,4000,0.5967385001113363
elevation,4000,0.6066776790800592
elevation,4000,0.584616451173316
elevation,4500,0.6061187722271624
elevation,4500,0.6047148358764003
elevation,4500,0.5922557552270731
elevation,4500,0.6153160667185837
elevation,4500,0.5937656651404524
elevation,500,0.44776642115851706
elevation,500,0.33537716618481084
elevation,500,0.3349941007081757
elevation,500,0.431984634642702
elevation,500,0.3355220597724343
elevation,5000,0.6127678405886849
elevation,5000,0.6123055535534423
elevation,5000,0.6022394820157408
elevation,5000,0.6242682931709481
elevation,5000,0.5965614317962566
population,1000,0.5635540791399514
population,1000,0.5651713292600951
population,1000,0.589467768143003
population,1000,0.5827196434430009
population,1000,0.583126459772229
population,1500,0.5910687357568274
population,1500,0.5924599954986111
population,1500,0.5992028742107924
population,1500,0.5973134098624528
population,1500,0.6018392202477143
population,2000,0.6008097264450317
population,2000,0.594653033985611
population,2000,0.6109864540497534
population,2000,0.6104098665454512
population,2000,0.6013257481795153
population,2500,0.6088072341344277
population,2500,0.6086896261827057
population,2500,0.6294532662204435
population,2500,0.613837752610274
population,2500,0.6097203445772241
population,3000,0.6337974826107455
population,3000,0.632795046359484
population,3000,0.6280162401438509
population,3000,0.6289777643164292
population,3000,0.6353773100308144
population,3500,0.6418587263573181
population,3500,0.6423959377162247
population,3500,0.6328435641122553
population,3500,0.6398173527655138
population,3500,0.6429475810554219
population,4000,0.6485167883742831
population,4000,0.6450743948790407
population,4000,0.6336150291780789
population,4000,0.6439429476789253
population,4000,0.6497025695444237
population,4500,0.6517814965334701
population,4500,0.6508790832700581
population,4500,0.6413231714935413
population,4500,0.6528308632699298
population,4500,0.6495341202031466
population,500,0.5192368273692436
population,500,0.5246790889666821
population,500,0.5512090855988732
population,500,0.5622099282781897
population,500,0.4856792020096743
population,5000,0.6577369983227439
population,5000,0.6569721637420003
population,5000,0.6477792591774123
population,5000,0.6592915573433653
population,5000,0.6562478484553819
treecover,1000,0.8123450425032351
treecover,1000,0.8051340783548421
treecover,1000,0.8267114522341519
treecover,1000,0.8231502710915342
treecover,1000,0.8301283100126213
treecover,1500,0.8394297674147624
treecover,1500,0.8322004110166717
treecover,1500,0.8329427281443742
treecover,1500,0.8435242465793107
treecover,1500,0.8535666313756106
treecover,2000,0.8439571278452418
treecover,2000,0.8437058318316755
treecover,2000,0.8354407223778315
treecover,2000,0.8581300951853059
treecover,2000,0.8496231255438531
treecover,2500,0.8464351965053503
treecover,2500,0.8409289612267369
treecover,2500,0.8477568394831063
treecover,2500,0.8662036701462428
treecover,2500,0.8550958071560038
treecover,3000,0.8469952410124602
treecover,3000,0.8456301384282189
treecover,3000,0.8617361567844533
treecover,3000,0.8737010835868826
treecover,3000,0.859504358122896
treecover,3500,0.8508946423163054
treecover,3500,0.8518269831811797
treecover,3500,0.8646467909936787
treecover,3500,0.8749586575695101
treecover,3500,0.8615793499439811
treecover,4000,0.8621313405259503
treecover,4000,0.8603693200861691
treecover,4000,0.8604284582399117
treecover,4000,0.8761227376796634
treecover,4000,0.8652935652729494
treecover,4500,0.8689627637661167
treecover,4500,0.8668708852516447
treecover,4500,0.86300265679037
treecover,4500,0.876782944483578
treecover,4500,0.8700424151130097
treecover,500,0.7258636644062075
treecover,500,0.7610369684685239
treecover,500,0.7688419017133171
treecover,500,0.7940866120106003
treecover,500,0.7205844154380476
treecover,5000,0.8726658437354923
treecover,5000,0.8716750694490074
treecover,5000,0.8646527348383624
treecover,5000,0.879435125866107
treecover,5000,0.8695407867291025
