label,Cost,Test R2,Cost
elevation,1006,-0.3346005205432341,
elevation,1010,-0.4092917142935139,
elevation,1019,-0.265349962747889,
elevation,1026,0.6216418043846657,
elevation,1030,0.1509884245205128,
elevation,104,-0.0375177796547756,
elevation,107,0.2349027668262941,
elevation,109,0.3700101895905539,
elevation,11,-1.800061887784124,
elevation,111,-0.6467760507704714,
elevation,113,-0.3688591948545654,
elevation,12,0.2252938717122293,
elevation,14,-1.33938922087705,
elevation,44,-0.6631103806913912,
elevation,46,0.2913292155496989,
elevation,465,0.549510321784807,
elevation,469,-0.4789482936680493,
elevation,48,0.2251489602638844,
elevation,482,0.5509279734308936,
elevation,49,-1.1862399842248128,
elevation,492,0.5670761689645827,
elevation,497,-0.559114894671334,
elevation,50,0.1970117260528228,
elevation,503,-0.4988163057003416,
elevation,504,-1.2495439845234664,
elevation,51,0.3137580930680647,
elevation,510,0.5411942699989619,
elevation,513,-0.4142986540739053,
elevation,518,0.5440354087477124,
elevation,54,-0.3947596055279772,
elevation,56,-0.7826654918685005,
elevation,57,0.2014587369825116,
elevation,59,-0.6236355358358407,
elevation,90,0.2137221522589039,
elevation,92,-0.7965379911662507,
elevation,94,0.2919576369594826,
elevation,95,-6.021885317070876,
elevation,967,-0.13199661333598,
elevation,979,0.6066135726145286,
elevation,984,0.6137983030375773,
population,10,0.0167534484401475,
population,1014,0.6045570428623368,
population,1016,-0.1144004026369616,
population,1018,0.2467025341594169,
population,106,0.4340399970919349,
population,108,0.3335255592708365,
population,109,0.1051636484288951,
population,110,0.1947551954240576,
population,12,-0.1437596666648111,
population,121,0.4405816318238872,
population,14,0.0277693327599014,
population,17,-0.2784062220299779,
population,43,0.1077925643796487,
population,466,0.5810233170919007,
population,47,0.2873330787949038,
population,473,-0.2587297993323054,
population,477,0.0949388577439915,
population,479,0.5449312629302366,
population,487,-0.1128181539579578,
population,49,-0.0065270550554128,
population,493,0.5647680613892445,
population,498,0.5709758659248103,
population,500,0.5741384690521025,
population,509,-0.1883172240828099,
population,51,0.0040404972394731,
population,514,0.0351160077297261,
population,53,0.097125407493075,
population,55,0.2951002466636587,
population,57,0.2755567668064264,
population,58,0.2424850497173284,
population,60,0.100994381442615,
population,62,0.4080079573390507,
population,86,0.4037729356861589,
population,95,0.2034376710198903,
population,96,-0.0995271077512549,
population,964,0.0623127086236852,
population,970,0.6035270079585605,
population,972,0.5991395756523863,
population,984,0.6032702889234943,
population,988,-0.2162249124639828,
population,991,-0.0126144741000846,
population,994,0.6129198394787363,
treecover,1006,0.0327481520708161,
treecover,1010,0.2363288740634819,
treecover,1019,0.6142707910164368,
treecover,1026,0.8585513927694631,
treecover,1030,0.4815139113632494,
treecover,104,-0.2996924157172569,
treecover,107,0.7187136585404923,
treecover,109,0.7590208146311533,
treecover,11,-0.5200623576918206,
treecover,111,-0.2617195801724057,
treecover,113,-0.3761386775082447,
treecover,12,0.2399081087769417,
treecover,14,-0.7212874835554575,
treecover,44,-0.5097133740160724,
treecover,46,0.664166387910405,
treecover,465,0.8308645951938685,
treecover,469,0.2162449328047614,
treecover,48,0.6310615764893318,
treecover,482,0.832194660715316,
treecover,49,-0.4162802799648182,
treecover,492,0.8303806324617183,
treecover,497,-0.1000906078469396,
treecover,50,0.5324328643775988,
treecover,503,0.0776059804161566,
treecover,504,-0.1674617972406733,
treecover,51,0.6542279388834227,
treecover,510,0.8309370217341061,
treecover,513,0.2209927298877918,
treecover,518,0.8369436628190324,
treecover,54,-0.4137639632108552,
treecover,56,-0.4893812384477756,
treecover,57,0.6964516491394674,
treecover,59,0.0002657465568238,
treecover,90,0.7389855286321341,
treecover,92,-0.4004861089312483,
treecover,94,0.7123018712211903,
treecover,95,-0.3448999085476458,
treecover,967,0.2810726195512451,
treecover,979,0.859835509266634,
treecover,984,0.8596855129982903,
population,54340.0,,45652510.01092529
treecover,97875.0,,67972209.54241943
elevation,97875.0,,67972209.54241943
