label,Cost,Test R2
elevation,100.0,0.014347223001693554
elevation,100.0,0.11349990012329769
elevation,100.0,-0.08044548933645657
elevation,100.0,0.25262342237951296
elevation,100.0,0.025676523383168948
elevation,1000.0,0.1585975907622731
elevation,1000.0,0.24364740622860948
elevation,1000.0,0.21253779820843832
elevation,1000.0,0.27672860208620975
elevation,1000.0,0.19296177315624363
elevation,1100.0,0.16717978232669894
elevation,1100.0,0.23577620225717588
elevation,1100.0,0.22090918636793022
elevation,1100.0,0.26239973251592397
elevation,1100.0,0.17951883857258166
elevation,1200.0,0.18100148176344166
elevation,1200.0,0.23084294772531477
elevation,1200.0,0.226142183981348
elevation,1200.0,0.27299606858887226
elevation,1200.0,0.16660988910650487
elevation,1300.0,0.19342700606741792
elevation,1300.0,0.2599949702677733
elevation,1300.0,0.21243098492754975
elevation,1300.0,0.269173607090181
elevation,1300.0,0.14742803815537353
elevation,1400.0,0.20587493063552853
elevation,1400.0,0.26080730535669205
elevation,1400.0,0.19539181795937488
elevation,1400.0,0.25406454892041086
elevation,1400.0,0.13204979794778193
elevation,1500.0,0.2090102322134535
elevation,1500.0,0.2473534520634263
elevation,1500.0,0.1892132180661904
elevation,1500.0,0.24917752442972552
elevation,1500.0,0.12223859174558127
elevation,200.0,0.12544700639342188
elevation,200.0,0.05277157352856021
elevation,200.0,0.015851247637466925
elevation,200.0,0.21041213644499301
elevation,200.0,0.13547318889393645
elevation,300.0,0.07329909282895797
elevation,300.0,0.12943129719013913
elevation,300.0,0.014546290223755642
elevation,300.0,0.1583877835798645
elevation,300.0,0.0852114230512232
elevation,400.0,0.0982926211675832
elevation,400.0,0.1639499655791561
elevation,400.0,0.10816796545019935
elevation,400.0,0.21341257574982408
elevation,400.0,0.10141284706192422
elevation,500.0,0.10124210006562773
elevation,500.0,0.2049101673211512
elevation,500.0,0.17104620281748173
elevation,500.0,0.2117032457818966
elevation,500.0,0.15700196095826346
elevation,600.0,0.12699455181688413
elevation,600.0,0.21693397587145935
elevation,600.0,0.10764230123146001
elevation,600.0,0.23222204191255424
elevation,600.0,0.14898864132908496
elevation,700.0,0.12006896384277643
elevation,700.0,0.23089213857017132
elevation,700.0,0.13544681081796828
elevation,700.0,0.2492222352120964
elevation,700.0,0.15181033881727313
elevation,800.0,0.15463013875772347
elevation,800.0,0.24890693282168208
elevation,800.0,0.1545373235040517
elevation,800.0,0.24769311901117796
elevation,800.0,0.18165574714238786
elevation,900.0,0.14671818114591928
elevation,900.0,0.25290434435590425
elevation,900.0,0.16331476100253128
elevation,900.0,0.2508269932943612
elevation,900.0,0.19004345037992865
population,100.0,0.13741109831214549
population,100.0,0.23846278593788373
population,100.0,0.27471029317248286
population,100.0,0.23103301316845737
population,100.0,0.22119004254700403
population,1000.0,0.47850984636854554
population,1000.0,0.49524194651987385
population,1000.0,0.506082747955187
population,1000.0,0.5055139994586447
population,1000.0,0.5233162037067136
population,1100.0,0.5207134192077381
population,1100.0,0.4844873402688331
population,1100.0,0.5021471916012529
population,1100.0,0.47796919625112766
population,1100.0,0.5209841515508165
population,1200.0,0.48248233920390116
population,1200.0,0.4862776483610789
population,1200.0,0.517057631019131
population,1200.0,0.4903316721717569
population,1200.0,0.5278532610419917
population,1300.0,0.4995674130817753
population,1300.0,0.5037789805309747
population,1300.0,0.5291774024807707
population,1300.0,0.5010369563108182
population,1300.0,0.51014712290809
population,1400.0,0.507247177506061
population,1400.0,0.5232760771326426
population,1400.0,0.5199639517175623
population,1400.0,0.511143535892063
population,1400.0,0.5076883197667236
population,1500.0,0.5141445157983282
population,1500.0,0.5181347930941815
population,1500.0,0.527812501386282
population,1500.0,0.5060854681756052
population,1500.0,0.49831256831735826
population,200.0,0.42593919781923983
population,200.0,0.4521941102773568
population,200.0,0.2629407240041447
population,200.0,0.2703346930016559
population,200.0,0.27368257988040845
population,300.0,0.47051882091616926
population,300.0,0.4579140924677192
population,300.0,0.34917087746621633
