label,Test R2,Cost
population;size270,0.3490623161274795,
population;size540,0.46339044957516673,
population;size2715,0.5365321325526193,
population;size5430,0.555560124117292,
population;size10865,0.5800758474998068,
population;size19020,0.6708678648440507,
population;size27170,0.719013669499768,
population;size40755,0.7320220979520591,
population;sizeNone,0.7360931298068872,"[ 641.96838379  593.79180908  990.78173828 ...  451.93414307  693.37310791
 1088.53857422]"
treecover;size485,0.8222415556401792,
treecover;size975,0.8472962862690505,
treecover;size4890,0.8758297505091602,
treecover;size9785,0.8892631263813708,
treecover;size19575,0.8806255954687741,
treecover;size34255,0.9209279282593514,
treecover;size48935,0.9256043609501169,
treecover;size73405,0.9287864994134581,
treecover;sizeNone,0.9293247853995285,"[ 160.23744202  374.19284058 1448.95092773 ... 1323.39880371  910.05963135
 1384.1829834 ]"
elevation;size485,0.33325172681672377,
elevation;size975,0.42425369932560697,
elevation;size4890,0.47148352400633786,
elevation;size9785,0.5130906180577768,
elevation;size19575,0.5654115369958526,
elevation;size34255,0.7766041084455118,
elevation;size48935,0.7968854611887591,
elevation;size73405,0.8054246336749862,
elevation;sizeNone,0.8060499876457881,"[ 160.23744202  374.19284058 1448.95092773 ... 1323.39880371  910.05963135
 1384.1829834 ]"
