label,Budget,Test Avg R2,Test Std R2
population,100.0,-0.0773049321650009,0.1730640374797691
population,200.0,0.1268026669880214,0.1826692957382673
population,300.0,0.1640837631312781,0.1376667757221755
population,400.0,0.2000600559151747,0.1891318491758603
population,500.0,0.2909048774766745,0.1247018822461135
population,600.0,0.3483165583753224,0.0972598784843552
population,700.0,0.3876090144691201,0.06371413970938
population,800.0,0.3796014076605174,0.0523253245180696
population,900.0,0.4078725504983423,0.0403969960608038
population,1000.0,0.4142252809651062,0.0642683159791455
population,1100.0,0.4175416639975641,0.0565411615015882
population,1200.0,0.4287342858369269,0.0454722892570032
population,1300.0,0.4314058500078809,0.0440971407369562
population,1400.0,0.434024432098148,0.0412138882092265
population,1500.0,0.4358580092665269,0.038699127252848
elevation,100.0,-0.8405690549473744,0.8111926597900966
elevation,200.0,-0.3579366700430014,0.2128352437384152
elevation,300.0,-0.1512792317912518,0.1422439260710485
elevation,400.0,-0.127084811201625,0.1053124896258342
elevation,500.0,-0.0656232597326451,0.0721207427948213
elevation,600.0,-0.0683388976256562,0.0907679868665819
elevation,700.0,0.0042950834710049,0.0656763343401711
elevation,800.0,0.0394391776045054,0.0695549400830837
elevation,900.0,0.0201117337188926,0.0909991484024111
elevation,1000.0,0.0410126879259109,0.0835305506979269
elevation,1100.0,0.0162763649915898,0.0892796369011799
elevation,1200.0,0.0141481319930956,0.1149018233474054
elevation,1300.0,0.0814432354840931,0.1134083301879202
elevation,1400.0,0.0608374483361034,0.106427946392277
elevation,1500.0,0.0889148643672002,0.0627190743545206
treecover,100.0,0.4873031383938874,0.10949420694607
treecover,200.0,0.5850776126077804,0.0773834053031352
treecover,300.0,0.6367315947076589,0.0444078224292274
treecover,400.0,0.6547736435234294,0.0369340025914555
treecover,500.0,0.6755963920371665,0.0411456961433217
treecover,600.0,0.6866636778557222,0.0399981803019578
treecover,700.0,0.6979589601353727,0.034355772851694
treecover,800.0,0.7021710352231365,0.0406526302052098
treecover,900.0,0.7194217824912353,0.038233855193825
treecover,1000.0,0.7143226036926775,0.0320394548917514
treecover,1100.0,0.725215590876153,0.0210382617358591
treecover,1200.0,0.7263772948946369,0.0177533113599446
treecover,1300.0,0.7325711130847113,0.0094778530600312
treecover,1400.0,0.7339606089946654,0.0089030352490145
treecover,1500.0,0.7349997513335021,0.0128032971655476
