label,size_of_subset,Test R2,Cost
population,270.0,0.3490623161274795,270.0
population,540.0,0.4633904495751667,540.0
population,2715.0,0.5365321325526193,2715.0
population,5430.0,0.555560124117292,5430.0
population,10865.0,0.5800758474998068,10865.0
population,19020.0,0.6708678648440507,122990170.55944824
population,27170.0,0.719013669499768,889949913.3847656
population,40755.0,0.7320220979520591,2173449148.3914795
population,54340.0,0.7360931298068872,3457531440.7437744
treecover,485.0,0.8222415556401792,485.0
treecover,975.0,0.8472962862690505,975.0
treecover,4890.0,0.8758297505091602,4890.0
treecover,9785.0,0.8892631263813708,9785.0
treecover,19575.0,0.8806255954687741,19575.0
treecover,34255.0,0.9209279282593514,1064713597.1293945
treecover,48935.0,0.9256043609501168,2469774542.072632
treecover,73405.0,0.928786499413458,4812277540.955688
treecover,97875.0,0.9293247853995285,5282422369.5720215
elevation,485.0,0.3332517268167237,485.0
elevation,975.0,0.4242536993256069,975.0
elevation,4890.0,0.4714835240063378,4890.0
elevation,9785.0,0.5130906180577768,9785.0
elevation,19575.0,0.5654115369958526,19575.0
elevation,34255.0,0.7766041084455118,1063767799.1313477
elevation,48935.0,0.7968854611887591,2474900942.3137207
elevation,73405.0,0.8054246336749862,4815292111.5703125
elevation,97875.0,0.8060499876457881,5282422369.5720215
