label,size_of_subset,Test R2,Cost
population,270.0,0.4479602395196723,
population,540.0,0.4467573883089111,
population,2715.0,0.5393796018126236,
population,5430.0,0.5639667984063219,
population,10865.0,0.5827880360292708,
population,13585.0,0.5765126587116987,
population,16300.0,0.5825737832827509,
population,19020.0,0.5910238432798625,
population,27170.0,0.638389599952629,
population,32605.0,0.6723274233382064,
population,35320.0,0.6908905178968948,
population,40755.0,0.7126468071636645,
population,54340.0,0.7360931298068872,45652510.01092529
treecover,485.0,0.8226143258338325,
treecover,975.0,0.8490101540228147,
treecover,4890.0,0.8815676485484203,
treecover,9785.0,0.8929489229373432,
treecover,19575.0,0.8780861722588797,
treecover,24465.0,0.8852897602830437,
treecover,29360.0,0.8941336054780025,
treecover,34255.0,0.899468727110895,
treecover,48935.0,0.9149266189054004,
treecover,73405.0,0.9284840849152164,
treecover,97875.0,0.9293247853995285,67972209.54241943
elevation,485.0,0.3299520684276722,
elevation,975.0,0.4417505247766899,
elevation,4890.0,0.4812025815132642,
elevation,9785.0,0.5218835146144807,
elevation,19575.0,0.5712870282337648,
elevation,24465.0,0.5839080099956546,
elevation,29360.0,0.628503977330498,
elevation,34255.0,0.6771666651243016,
elevation,48935.0,0.7334892725493867,
elevation,73405.0,0.8012976765358522,
elevation,97875.0,0.8060499876457881,67972209.54241943
