label,Budget,Test Avg R2,Test Std R2,Cost
population,1000.0,-1.491736093665072,1.2850225086295672,
population,10000.0,0.3496262872446862,0.0305332216049789,
population,100000.0,0.5210038181423469,0.0042049664545758,
population,1000000.0,0.5693650168686729,0.0052840540745956,
population,10000000.0,0.6522908688091704,1.5908704124199014e-13,
population,100000000.0,0.7360931298071286,1.1456869027735946e-13,
population,1000000000.0,0.7360931298071286,1.1456869027735946e-13,
treecover,1000.0,-0.3220689398322996,0.5628428220280937,
treecover,10000.0,0.7099470980284275,0.035643455411591,
treecover,100000.0,0.841179927378054,0.0111082656441256,
treecover,1000000.0,0.8920131795355685,0.0021899334447636,
treecover,10000000.0,0.8998301565557627,3.484298967451133e-12,
treecover,100000000.0,0.9293247854023938,1.266086054090797e-12,
treecover,1000000000.0,0.9293247854023938,1.266086054090797e-12,
elevation,1000.0,-1.127141512265215,0.8089281627123078,
elevation,10000.0,0.2059487157455862,0.0999503181889939,
elevation,100000.0,0.3984975351839455,0.0085816090583945,
elevation,1000000.0,0.5271904590500863,0.0073875186503106,
elevation,10000000.0,0.6782018449764416,7.944539510133974e-12,
elevation,100000000.0,0.8060499876542131,4.499662547855297e-12,
elevation,1000000000.0,0.8060499876542131,4.499662547855297e-12,
population,54340.0,,,45652510.01092529
treecover,97875.0,,,67972209.54241943
elevation,97875.0,,,67972209.54241943
