,initial_set,size,pop_risk_nlcd_0.5,pop_risk_nlcd_0,pop_risk_nlcd_0.01,pop_risk_nlcd_0.1,pop_risk_nlcd_0.9,pop_risk_nlcd_0.99,pop_risk_nlcd_1,pop_risk_image_clusters_8_0.5,pop_risk_image_clusters_8_0,pop_risk_image_clusters_8_0.01,pop_risk_image_clusters_8_0.1,pop_risk_image_clusters_8_0.9,pop_risk_image_clusters_8_0.99,pop_risk_image_clusters_8_1,diversity,_merge,sampling_type
0,IDS_top10_urban_1000_points_probabilistic_1000_size_seed_1.pkl,1000,-0.0705065535128562,-0.0316227766016837,-0.0324004521399072,-0.0393995319839182,-0.1016135750417941,-0.1086126548858051,-0.1093903304240286,-0.0651399627946125,-0.0316227766016837,-0.0322931203255423,-0.0383262138402695,-0.0919537117489555,-0.0979868052636827,-0.0986571489875412,-794535.4525244596,both,convenience_sampling_urban_based
1,IDS_top10_urban_1000_points_probabilistic_1000_size_seed_1213.pkl,1000,-0.0693796889656574,-0.0316227766016837,-0.0323779148489632,-0.0391741590744785,-0.0995852188568363,-0.1063814630823516,-0.1071366013296311,-0.0654338440224874,-0.0316227766016837,-0.0322989979500998,-0.0383849900858445,-0.0924826979591303,-0.0985686900948749,-0.099244911443291,-795015.4238617182,both,convenience_sampling_urban_based
2,IDS_top10_urban_1000_points_probabilistic_1000_size_seed_123.pkl,1000,-0.0706270943210981,-0.0316227766016837,-0.032402862956072,-0.0394236401455666,-0.1018305484966296,-0.1088513256861241,-0.1096314120405125,-0.0667939490692243,-0.0316227766016837,-0.0323262000510346,-0.0386570110951919,-0.0949308870432567,-0.101261698087414,-0.1019651215367648,-791525.4283586502,both,convenience_sampling_urban_based
3,IDS_top10_urban_1000_points_probabilistic_1000_size_seed_1234.pkl,1000,-0.070922548304961,-0.0316227766016837,-0.0324087720357493,-0.0394827309423392,-0.1023623656675828,-0.1094363245741726,-0.1102223200082382,-0.0668215163049727,-0.0316227766016837,-0.0323267513957495,-0.0386625245423415,-0.0949805080676038,-0.1013162812141958,-0.1020202560082616,-800390.664508259,both,convenience_sampling_urban_based
4,IDS_top10_urban_1000_points_probabilistic_1000_size_seed_1415.pkl,1000,-0.0720120954112081,-0.0316227766016837,-0.0324305629778742,-0.0397006403635886,-0.1043235504588275,-0.1115936278445419,-0.1124014142207324,-0.0658992546773549,-0.0316227766016837,-0.0323083061631972,-0.038478072216818,-0.0933204371378918,-0.0994902031915126,-0.100175732753026,-798472.79071123,both,convenience_sampling_urban_based
5,IDS_top10_urban_1000_points_probabilistic_1000_size_seed_42.pkl,1000,-0.0706230499166443,-0.0316227766016837,-0.032402782067983,-0.0394228312646759,-0.1018232685686127,-0.1088433177653055,-0.1096233232316048,-0.066009130476077,-0.0316227766016837,-0.0323105036791716,-0.0385000473765624,-0.0935182135755915,-0.0997077572729823,-0.1003954843504702,-799444.5090125559,both,convenience_sampling_urban_based
6,IDS_top10_urban_1000_points_probabilistic_1000_size_seed_456.pkl,1000,-0.0715573575518164,-0.0316227766016837,-0.0324214682206864,-0.0396096927917103,-0.1035050223119225,-0.1106932468829464,-0.111491938501949,-0.0661906430499891,-0.0316227766016837,-0.0323141339306499,-0.0385363498913448,-0.0938449362086334,-0.1000671521693284,-0.1007585094982945,-796906.0201315641,both,convenience_sampling_urban_based
7,IDS_top10_urban_1000_points_probabilistic_1000_size_seed_5678.pkl,1000,-0.0696723410491089,-0.0316227766016837,-0.0323837678906323,-0.0392326894911688,-0.100111992607049,-0.1069609142075855,-0.107721905496534,-0.0671338150418689,-0.0316227766016837,-0.0323329973704874,-0.0387249842897208,-0.095542645794017,-0.1019346327132503,-0.102644853482054,-797110.1401469469,both,convenience_sampling_urban_based
8,IDS_top10_urban_1000_points_probabilistic_1000_size_seed_789.pkl,1000,-0.0707957513395172,-0.0316227766016837,-0.0324062360964404,-0.0394573715492504,-0.1021341311297839,-0.1091852665825939,-0.1099687260773506,-0.0674345900646677,-0.0316227766016837,-0.0323390128709434,-0.0387851392942805,-0.0960840408350549,-0.102530167258392,-0.1032464035276516,-801554.797397262,both,convenience_sampling_urban_based
9,IDS_top10_urban_1000_points_probabilistic_1000_size_seed_9101.pkl,1000,-0.0707281952393153,-0.0316227766016837,-0.0324048849744364,-0.0394438603292101,-0.1020125301494205,-0.1090515055041942,-0.1098336138769468,-0.0658235621150804,-0.0316227766016837,-0.0323067923119517,-0.0384629337043631,-0.0931841905257978,-0.0993403319182092,-0.1000243476284771,-794130.4922187391,both,convenience_sampling_urban_based
10,IDS_top10_urban_1000_points_probabilistic_seed_1.pkl,1000,-0.0705065535128562,-0.0316227766016837,-0.0324004521399072,-0.0393995319839182,-0.1016135750417941,-0.1086126548858051,-0.1093903304240286,-0.0651399627946125,-0.0316227766016837,-0.0322931203255423,-0.0383262138402695,-0.0919537117489555,-0.0979868052636827,-0.0986571489875412,-794535.4525244596,both,convenience_sampling_urban_based
11,IDS_top10_urban_1000_points_probabilistic_seed_1213.pkl,1000,-0.0693796889656574,-0.0316227766016837,-0.0323779148489632,-0.0391741590744785,-0.0995852188568363,-0.1063814630823516,-0.1071366013296311,-0.0654338440224874,-0.0316227766016837,-0.0322989979500998,-0.0383849900858445,-0.0924826979591303,-0.0985686900948749,-0.099244911443291,-795015.4238617182,both,convenience_sampling_urban_based
12,IDS_top10_urban_1000_points_probabilistic_seed_123.pkl,1000,-0.0706270943210981,-0.0316227766016837,-0.032402862956072,-0.0394236401455666,-0.1018305484966296,-0.1088513256861241,-0.1096314120405125,-0.0667939490692243,-0.0316227766016837,-0.0323262000510346,-0.0386570110951919,-0.0949308870432567,-0.101261698087414,-0.1019651215367648,-791525.4283586502,both,convenience_sampling_urban_based
13,IDS_top10_urban_1000_points_probabilistic_seed_1234.pkl,1000,-0.070922548304961,-0.0316227766016837,-0.0324087720357493,-0.0394827309423392,-0.1023623656675828,-0.1094363245741726,-0.1102223200082382,-0.0668215163049727,-0.0316227766016837,-0.0323267513957495,-0.0386625245423415,-0.0949805080676038,-0.1013162812141958,-0.1020202560082616,-800390.664508259,both,convenience_sampling_urban_based
14,IDS_top10_urban_1000_points_probabilistic_seed_1415.pkl,1000,-0.0720120954112081,-0.0316227766016837,-0.0324305629778742,-0.0397006403635886,-0.1043235504588275,-0.1115936278445419,-0.1124014142207324,-0.0658992546773549,-0.0316227766016837,-0.0323083061631972,-0.038478072216818,-0.0933204371378918,-0.0994902031915126,-0.100175732753026,-798472.79071123,both,convenience_sampling_urban_based
15,IDS_top10_urban_1000_points_probabilistic_seed_42.pkl,1000,-0.0706230499166443,-0.0316227766016837,-0.032402782067983,-0.0394228312646759,-0.1018232685686127,-0.1088433177653055,-0.1096233232316048,-0.066009130476077,-0.0316227766016837,-0.0323105036791716,-0.0385000473765624,-0.0935182135755915,-0.0997077572729823,-0.1003954843504702,-799444.5090125559,both,convenience_sampling_urban_based
16,IDS_top10_urban_1000_points_probabilistic_seed_456.pkl,1000,-0.0715573575518164,-0.0316227766016837,-0.0324214682206864,-0.0396096927917103,-0.1035050223119225,-0.1106932468829464,-0.111491938501949,-0.0661906430499891,-0.0316227766016837,-0.0323141339306499,-0.0385363498913448,-0.0938449362086334,-0.1000671521693284,-0.1007585094982945,-796906.0201315641,both,convenience_sampling_urban_based
17,IDS_top10_urban_1000_points_probabilistic_seed_5678.pkl,1000,-0.0696723410491089,-0.0316227766016837,-0.0323837678906323,-0.0392326894911688,-0.100111992607049,-0.1069609142075855,-0.107721905496534,-0.0671338150418689,-0.0316227766016837,-0.0323329973704874,-0.0387249842897208,-0.095542645794017,-0.1019346327132503,-0.102644853482054,-797110.1401469469,both,convenience_sampling_urban_based
18,IDS_top10_urban_1000_points_probabilistic_seed_789.pkl,1000,-0.0707957513395172,-0.0316227766016837,-0.0324062360964404,-0.0394573715492504,-0.1021341311297839,-0.1091852665825939,-0.1099687260773506,-0.0674345900646677,-0.0316227766016837,-0.0323390128709434,-0.0387851392942805,-0.0960840408350549,-0.102530167258392,-0.1032464035276516,-801554.797397262,both,convenience_sampling_urban_based
