,initial_set,size,pop_risk_nlcd_0.5,pop_risk_nlcd_0,pop_risk_nlcd_0.01,pop_risk_nlcd_0.1,pop_risk_nlcd_0.9,pop_risk_nlcd_0.99,pop_risk_nlcd_1,pop_risk_image_clusters_8_0.5,pop_risk_image_clusters_8_0,pop_risk_image_clusters_8_0.01,pop_risk_image_clusters_8_0.1,pop_risk_image_clusters_8_0.9,pop_risk_image_clusters_8_0.99,pop_risk_image_clusters_8_1,diversity,_merge,sampling_type
19,IDS_top10_urban_1000_points_probabilistic_seed_9101.pkl,1000,-0.0707281952393153,-0.0316227766016837,-0.0324048849744364,-0.0394438603292101,-0.1020125301494205,-0.1090515055041942,-0.1098336138769468,-0.0658235621150804,-0.0316227766016837,-0.0323067923119517,-0.0384629337043631,-0.0931841905257978,-0.0993403319182092,-0.1000243476284771,-794130.4922187391,both,convenience_sampling_urban_based
20,IDS_top10_urban_100_points_probabilistic_100_size_seed_1.pkl,100,-0.2663384904906669,-0.1,-0.1033267698098133,-0.1332676980981334,-0.3994092828832004,-0.4293502111715205,-0.4326769809813339,-0.2179066309413406,-0.1,-0.1023581326188268,-0.1235813261882681,-0.3122319356944132,-0.3334551292638545,-0.3358132618826813,1019.6739271187762,both,convenience_sampling_urban_based
21,IDS_top10_urban_100_points_probabilistic_100_size_seed_1213.pkl,100,-0.2161614905005434,-0.1,-0.1023232298100108,-0.1232322981001087,-0.3090906829009782,-0.329999751191076,-0.3323229810010869,-0.2296069323976939,-0.1,-0.1025921386479538,-0.1259213864795388,-0.3332924783158491,-0.356621726147434,-0.3592138647953878,942.5522024536112,both,convenience_sampling_urban_based
22,IDS_top10_urban_100_points_probabilistic_100_size_seed_123.pkl,100,-0.2440709913906545,-0.1,-0.1028814198278131,-0.1288141982781309,-0.3593277845031782,-0.3852605629534961,-0.3881419827813092,-411.54853578925616,-0.1,-8.328970715785125,-82.38970715785123,-740.7073644206611,-814.7681008627272,-822.9970715785124,1002.6650778555886,both,convenience_sampling_urban_based
23,IDS_top10_urban_100_points_probabilistic_100_size_seed_1234.pkl,100,-0.2460905950610464,-0.1,-0.1029218119012209,-0.1292181190122093,-0.3629630711098836,-0.389259378220872,-0.3921811901220928,-0.2119772825292387,-0.1,-0.1022395456505847,-0.1223954565058477,-0.3015591085526297,-0.3217150194078927,-0.3239545650584775,1079.3569614195803,both,convenience_sampling_urban_based
24,IDS_top10_urban_100_points_probabilistic_100_size_seed_1415.pkl,100,-0.2298936464241769,-0.1,-0.1025978729284835,-0.1259787292848354,-0.3338085635635186,-0.3571894199198705,-0.359787292848354,-0.2219396714565984,-0.1,-0.1024387934291319,-0.1243879342913197,-0.3194914086218771,-0.3414405494840648,-0.3438793429131968,1050.889550616741,both,convenience_sampling_urban_based
25,IDS_top10_urban_100_points_probabilistic_100_size_seed_42.pkl,100,-0.2506164634410469,-0.1,-0.1030123292688209,-0.1301232926882093,-0.3711096341938843,-0.3982205976132728,-0.4012329268820937,-0.2300588695646176,-0.1,-0.1026011773912923,-0.1260117739129235,-0.3341059652163118,-0.357516561737943,-0.3601177391292354,847.6710131072978,both,convenience_sampling_urban_based
26,IDS_top10_urban_100_points_probabilistic_100_size_seed_456.pkl,100,-0.2329191294493609,-0.1,-0.1026583825889872,-0.1265838258898722,-0.3392544330088497,-0.3631798763097347,-0.3658382588987219,-0.1988075133485953,-0.1,-0.1019761502669719,-0.119761502669719,-0.2778535240274716,-0.2956388764302187,-0.2976150266971906,1204.3081951642016,both,convenience_sampling_urban_based
27,IDS_top10_urban_100_points_probabilistic_100_size_seed_5678.pkl,100,-0.2387539144454327,-0.1,-0.1027750782889086,-0.1277507828890865,-0.3497570460017788,-0.3747327506019567,-0.3775078288908653,-411.548099601484,-0.1,-8.32896199202968,-82.3896199202968,-740.7065792826712,-814.7672372109382,-822.9961992029681,1046.676000585554,both,convenience_sampling_urban_based
28,IDS_top10_urban_100_points_probabilistic_100_size_seed_789.pkl,100,-0.2378203875958433,-0.1,-0.1027564077519168,-0.1275640775191686,-0.348076697672518,-0.3728843674397697,-0.3756407751916866,-0.2438993132767105,-0.1,-0.1028779862655342,-0.1287798626553421,-0.359018763898079,-0.3849206402878869,-0.3877986265534211,861.255850841997,both,convenience_sampling_urban_based
29,IDS_top10_urban_100_points_probabilistic_100_size_seed_9101.pkl,100,-506.3327493669319,-0.1,-10.22465498733864,-101.3465498733864,-911.3189488604776,-1002.440843746525,-1012.5654987338636,-0.2318733576036099,-0.1,-0.1026374671520722,-0.126374671520722,-0.3373720436864977,-0.3611092480551475,-0.3637467152072198,1013.507670571802,both,convenience_sampling_urban_based
30,IDS_top10_urban_100_points_probabilistic_seed_1.pkl,100,-506.3296571108233,-0.1,-10.224593142216468,-101.34593142216464,-911.313382799482,-1002.43472107943,-1012.5593142216464,-0.2042536369359386,-0.1,-0.1020850727387187,-0.1208507273871877,-0.2876565464846896,-0.3064222011331585,-0.3085072738718772,1097.1616731786726,both,convenience_sampling_urban_based
31,IDS_top10_urban_100_points_probabilistic_seed_1213.pkl,100,-0.2161614905005434,-0.1,-0.1023232298100108,-0.1232322981001087,-0.3090906829009782,-0.329999751191076,-0.3323229810010869,-0.2296069323976939,-0.1,-0.1025921386479538,-0.1259213864795388,-0.3332924783158491,-0.356621726147434,-0.3592138647953878,942.5522024536112,both,convenience_sampling_urban_based
32,IDS_top10_urban_100_points_probabilistic_seed_123.pkl,100,-0.2440709913906545,-0.1,-0.1028814198278131,-0.1288141982781309,-0.3593277845031782,-0.3852605629534961,-0.3881419827813092,-411.54853578925616,-0.1,-8.328970715785125,-82.38970715785123,-740.7073644206611,-814.7681008627272,-822.9970715785124,1002.6650778555886,both,convenience_sampling_urban_based
33,IDS_top10_urban_100_points_probabilistic_seed_1234.pkl,100,-0.2460905950610464,-0.1,-0.1029218119012209,-0.1292181190122093,-0.3629630711098836,-0.389259378220872,-0.3921811901220928,-0.2119772825292387,-0.1,-0.1022395456505847,-0.1223954565058477,-0.3015591085526297,-0.3217150194078927,-0.3239545650584775,1079.3569614195803,both,convenience_sampling_urban_based
34,IDS_top10_urban_100_points_probabilistic_seed_1415.pkl,100,-0.2298936464241769,-0.1,-0.1025978729284835,-0.1259787292848354,-0.3338085635635186,-0.3571894199198705,-0.359787292848354,-0.2219396714565984,-0.1,-0.1024387934291319,-0.1243879342913197,-0.3194914086218771,-0.3414405494840648,-0.3438793429131968,1050.889550616741,both,convenience_sampling_urban_based
35,IDS_top10_urban_100_points_probabilistic_seed_42.pkl,100,-0.222266057806065,-0.1,-0.1024453211561213,-0.124453211561213,-0.3200789040509171,-0.3420867944560088,-0.3445321156121301,-0.2053024970672886,-0.1,-0.1021060499413457,-0.1210604994134577,-0.2895444947211195,-0.3084989441932314,-0.3106049941345772,991.5494124793986,both,convenience_sampling_urban_based
36,IDS_top10_urban_100_points_probabilistic_seed_456.pkl,100,-0.2329191294493609,-0.1,-0.1026583825889872,-0.1265838258898722,-0.3392544330088497,-0.3631798763097347,-0.3658382588987219,-0.1988075133485953,-0.1,-0.1019761502669719,-0.119761502669719,-0.2778535240274716,-0.2956388764302187,-0.2976150266971906,1204.3081951642016,both,convenience_sampling_urban_based
37,IDS_top10_urban_100_points_probabilistic_seed_5678.pkl,100,-0.2387539144454327,-0.1,-0.1027750782889086,-0.1277507828890865,-0.3497570460017788,-0.3747327506019567,-0.3775078288908653,-411.548099601484,-0.1,-8.32896199202968,-82.3896199202968,-740.7065792826712,-814.7672372109382,-822.9961992029681,1046.676000585554,both,convenience_sampling_urban_based
38,IDS_top10_urban_100_points_probabilistic_seed_789.pkl,100,-0.2378203875958433,-0.1,-0.1027564077519168,-0.1275640775191686,-0.348076697672518,-0.3728843674397697,-0.3756407751916866,-0.2438993132767105,-0.1,-0.1028779862655342,-0.1287798626553421,-0.359018763898079,-0.3849206402878869,-0.3877986265534211,861.255850841997,both,convenience_sampling_urban_based
39,IDS_top10_urban_100_points_probabilistic_seed_9101.pkl,100,-506.3327493669319,-0.1,-10.22465498733864,-101.3465498733864,-911.3189488604776,-1002.440843746525,-1012.5654987338636,-0.2318733576036099,-0.1,-0.1026374671520722,-0.126374671520722,-0.3373720436864977,-0.3611092480551475,-0.3637467152072198,1013.507670571802,both,convenience_sampling_urban_based
40,IDS_top10_urban_10_points_probabilistic_seed_1.pkl,10,-2581.7660568376014,-0.316227766016838,-51.94522434744852,-516.6061935803338,-4646.925920094869,-5111.586889327754,-5163.215885909186,-411.93305054320007,-0.3162277660168379,-8.548564221560502,-82.63959232145348,-741.2265087649465,-815.3175368648394,-823.5498733203832,912.0268779268264,both,convenience_sampling_urban_based
41,IDS_top10_urban_10_points_probabilistic_seed_42.pkl,10,-2542.331094454097,-0.316227766016838,-51.15652509977844,-508.7192011036328,-4575.942987804561,-5033.505663808415,-5084.345961142177,-1516.8072146289849,-0.3162277660168379,-30.6460475032762,-303.6144251386104,-2730.000004119359,-3002.9683817546934,-3033.298201491953,906.0577116479874,both,convenience_sampling_urban_based
42,IDS_top10_urban_200_points_probabilistic_200_size_seed_1.pkl,200,-506.2728064455664,-0.0707106781186547,-10.194752593467609,-101.31112983160816,-911.2344830595245,-1002.350860297665,-1012.474902213014,-0.1468684366346212,-0.0707106781186547,-0.072233833288974,-0.085942229821848,-0.2077946434473944,-0.2215030399802684,-0.2230261951505877,-15956.07446684361,both,convenience_sampling_urban_based
43,IDS_top10_urban_200_points_probabilistic_200_size_seed_1213.pkl,200,-0.1630960093691539,-0.0707106781186547,-0.0725583847436647,-0.0891877443687546,-0.2370042743695533,-0.2536336339946432,-0.2554813406196532,-0.1604489469525535,-0.0707106781186547,-0.0725054434953327,-0.0886583318854345,-0.2322395620196727,-0.2483924504097744,-0.2501872157864524,-16440.737357695092,both,convenience_sampling_urban_based
44,IDS_top10_urban_200_points_probabilistic_200_size_seed_123.pkl,200,-0.160782058916528,-0.0707106781186547,-0.0725121057346122,-0.0887249542782294,-0.2328391635548267,-0.2490520120984439,-0.2508534397144014,-0.1548556420841333,-0.0707106781186547,-0.0723935773979643,-0.0875396709117504,-0.2221716132565162,-0.2373177067703023,-0.2390006060496119,-15992.637626845832,both,convenience_sampling_urban_based
45,IDS_top10_urban_200_points_probabilistic_200_size_seed_1234.pkl,200,-0.1587116076559626,-0.0707106781186547,-0.0724706967094009,-0.0883108640261163,-0.229112351285809,-0.2449525186025244,-0.2467125371932706,-0.152717562715312,-0.0707106781186547,-0.0723508158105878,-0.0871120550379862,-0.2183230703926379,-0.2330843096200362,-0.2347244473119694,-15934.521807332045,both,convenience_sampling_urban_based
46,IDS_top10_urban_200_points_probabilistic_200_size_seed_1415.pkl,200,-0.1513359293027129,-0.0707106781186547,-0.0723231831423359,-0.0868357283554663,-0.2158361302499595,-0.23034867546309,-0.2319611804867711,-0.1545821079161415,-0.0707106781186547,-0.0723881067146045,-0.0874849640781521,-0.221679251754131,-0.2367761091176786,-0.2384535377136284,-16056.482276518342,both,convenience_sampling_urban_based
47,IDS_top10_urban_200_points_probabilistic_200_size_seed_42.pkl,200,-0.1642304604316739,-0.0707106781186547,-0.0725810737649151,-0.0894146345812585,-0.2390462862820892,-0.2558798470984327,-0.2577502427446931,-0.1519501671935103,-0.0707106781186547,-0.0723354679001518,-0.0869585759336258,-0.2169417584533948,-0.2315648664868688,-0.2331896562683659,-16110.89295010687,both,convenience_sampling_urban_based
48,IDS_top10_urban_200_points_probabilistic_200_size_seed_456.pkl,200,-0.1611740020856396,-0.0707106781186547,-0.0725199445979944,-0.0888033429120517,-0.2335446612592276,-0.2498280595732849,-0.2516373260526246,-0.1440693948984887,-0.0707106781186547,-0.0721778524542514,-0.0853824214746215,-0.2027563683223558,-0.2159609373427259,-0.2174281116783226,-15483.619018156533,both,convenience_sampling_urban_based
49,IDS_top10_urban_200_points_probabilistic_200_size_seed_5678.pkl,200,-0.1540007823806089,-0.0707106781186547,-0.0723764802038938,-0.0873686989710455,-0.2206328657901722,-0.235625084557324,-0.2372908866425631,-0.1516456558455409,-0.0707106781186547,-0.0723293776731924,-0.0868976736640319,-0.2163936380270498,-0.2309619340178894,-0.2325806335724271,-15601.373133320798,both,convenience_sampling_urban_based
50,IDS_top10_urban_200_points_probabilistic_200_size_seed_789.pkl,200,-0.1652369663270294,-0.0707106781186547,-0.0726012038828222,-0.0896159357603297,-0.2408579968937292,-0.2578727287712367,-0.2597632545354042,-0.1568718314451061,-0.0707106781186547,-0.0724339011851837,-0.087942908783945,-0.2258007541062673,-0.2413097617050285,-0.2430329847715576,-16273.26014389514,both,convenience_sampling_urban_based
51,IDS_top10_urban_200_points_probabilistic_200_size_seed_9101.pkl,200,-0.1754869101662247,-0.0707106781186547,-0.0728062027596061,-0.0916659245281687,-0.2593078958042806,-0.2781676175728432,-0.2802631422137946,-0.1531604064994877,-0.0707106781186547,-0.0723596726862714,-0.0872006237948213,-0.2191201892041541,-0.2339611403127041,-0.2356101348803208,-15832.284006972315,both,convenience_sampling_urban_based
52,IDS_top10_urban_200_points_probabilistic_seed_1.pkl,200,-506.2728064455664,-0.0707106781186547,-10.194752593467609,-101.31112983160816,-911.2344830595245,-1002.350860297665,-1012.474902213014,-0.1468684366346212,-0.0707106781186547,-0.072233833288974,-0.085942229821848,-0.2077946434473944,-0.2215030399802684,-0.2230261951505877,-15956.07446684361,both,convenience_sampling_urban_based
53,IDS_top10_urban_200_points_probabilistic_seed_1213.pkl,200,-0.1630960093691539,-0.0707106781186547,-0.0725583847436647,-0.0891877443687546,-0.2370042743695533,-0.2536336339946432,-0.2554813406196532,-0.1604489469525535,-0.0707106781186547,-0.0725054434953327,-0.0886583318854345,-0.2322395620196727,-0.2483924504097744,-0.2501872157864524,-16440.737357695092,both,convenience_sampling_urban_based
54,IDS_top10_urban_200_points_probabilistic_seed_123.pkl,200,-0.160782058916528,-0.0707106781186547,-0.0725121057346122,-0.0887249542782294,-0.2328391635548267,-0.2490520120984439,-0.2508534397144014,-0.1548556420841333,-0.0707106781186547,-0.0723935773979643,-0.0875396709117504,-0.2221716132565162,-0.2373177067703023,-0.2390006060496119,-15992.637626845832,both,convenience_sampling_urban_based
55,IDS_top10_urban_200_points_probabilistic_seed_1234.pkl,200,-0.1587116076559626,-0.0707106781186547,-0.0724706967094009,-0.0883108640261163,-0.229112351285809,-0.2449525186025244,-0.2467125371932706,-0.152717562715312,-0.0707106781186547,-0.0723508158105878,-0.0871120550379862,-0.2183230703926379,-0.2330843096200362,-0.2347244473119694,-15934.521807332045,both,convenience_sampling_urban_based
56,IDS_top10_urban_200_points_probabilistic_seed_1415.pkl,200,-0.1513359293027129,-0.0707106781186547,-0.0723231831423359,-0.0868357283554663,-0.2158361302499595,-0.23034867546309,-0.2319611804867711,-0.1545821079161415,-0.0707106781186547,-0.0723881067146045,-0.0874849640781521,-0.221679251754131,-0.2367761091176786,-0.2384535377136284,-16056.482276518342,both,convenience_sampling_urban_based
57,IDS_top10_urban_200_points_probabilistic_seed_42.pkl,200,-0.1642304604316739,-0.0707106781186547,-0.0725810737649151,-0.0894146345812585,-0.2390462862820892,-0.2558798470984327,-0.2577502427446931,-0.1519501671935103,-0.0707106781186547,-0.0723354679001518,-0.0869585759336258,-0.2169417584533948,-0.2315648664868688,-0.2331896562683659,-16110.89295010687,both,convenience_sampling_urban_based
58,IDS_top10_urban_200_points_probabilistic_seed_456.pkl,200,-0.1611740020856396,-0.0707106781186547,-0.0725199445979944,-0.0888033429120517,-0.2335446612592276,-0.2498280595732849,-0.2516373260526246,-0.1440693948984887,-0.0707106781186547,-0.0721778524542514,-0.0853824214746215,-0.2027563683223558,-0.2159609373427259,-0.2174281116783226,-15483.619018156533,both,convenience_sampling_urban_based
59,IDS_top10_urban_200_points_probabilistic_seed_5678.pkl,200,-0.1540007823806089,-0.0707106781186547,-0.0723764802038938,-0.0873686989710455,-0.2206328657901722,-0.235625084557324,-0.2372908866425631,-0.1516456558455409,-0.0707106781186547,-0.0723293776731924,-0.0868976736640319,-0.2163936380270498,-0.2309619340178894,-0.2325806335724271,-15601.373133320798,both,convenience_sampling_urban_based
60,IDS_top10_urban_200_points_probabilistic_seed_789.pkl,200,-0.1652369663270294,-0.0707106781186547,-0.0726012038828222,-0.0896159357603297,-0.2408579968937292,-0.2578727287712367,-0.2597632545354042,-0.1568718314451061,-0.0707106781186547,-0.0724339011851837,-0.087942908783945,-0.2258007541062673,-0.2413097617050285,-0.2430329847715576,-16273.26014389514,both,convenience_sampling_urban_based
61,IDS_top10_urban_200_points_probabilistic_seed_9101.pkl,200,-0.1754869101662247,-0.0707106781186547,-0.0728062027596061,-0.0916659245281687,-0.2593078958042806,-0.2781676175728432,-0.2802631422137946,-0.1531604064994877,-0.0707106781186547,-0.0723596726862714,-0.0872006237948213,-0.2191201892041541,-0.2339611403127041,-0.2356101348803208,-15832.284006972315,both,convenience_sampling_urban_based
62,IDS_top10_urban_300_points_probabilistic_300_size_seed_1.pkl,300,-0.135869502238679,-0.0577350269189625,-0.0592977164253568,-0.0733619219829058,-0.1983770824944521,-0.2124412880520011,-0.2140039775583954,-0.1191939075560626,-0.0577350269189625,-0.0589642045317045,-0.0700268030463825,-0.1683610120657427,-0.1794236105804207,-0.1806527881931627,-51014.56109484908,both,convenience_sampling_urban_based
63,IDS_top10_urban_300_points_probabilistic_300_size_seed_1213.pkl,300,-0.1337891740421215,-0.0577350269189625,-0.0592561098614257,-0.0729458563435943,-0.1946324917406487,-0.2083222382228173,-0.2098433211652805,-0.1248158734795182,-0.0577350269189625,-0.0590766438501736,-0.0711511962310736,-0.1784805507279627,-0.1905551031088627,-0.1918967200400738,-51613.49619611977,both,convenience_sampling_urban_based
64,IDS_top10_urban_300_points_probabilistic_300_size_seed_123.pkl,300,-0.1324571860784656,-0.0577350269189625,-0.0592294701021526,-0.0726794587508631,-0.192234913406068,-0.2056849020547786,-0.2071793452379687,-0.1241214170606355,-0.0577350269189625,-0.059062754721796,-0.0710123049472971,-0.1772305291739739,-0.189180079399475,-0.1905078072023085,-50621.23355910063,both,convenience_sampling_urban_based
65,IDS_top10_urban_300_points_probabilistic_300_size_seed_1234.pkl,300,-0.1299548159902933,-0.0577350269189625,-0.0591794227003891,-0.0721789847332287,-0.187730647247358,-0.2007302092801975,-0.2021746050616242,-0.1255735113790321,-0.0577350269189625,-0.0590917966081639,-0.0713027238109764,-0.1798442989470877,-0.1920552261499002,-0.1934119958391016,-51541.65023818493,both,convenience_sampling_urban_based
66,IDS_top10_urban_300_points_probabilistic_300_size_seed_1415.pkl,300,-0.1306211927907458,-0.0577350269189625,-0.0591927502363982,-0.0723122600933192,-0.1889301254881725,-0.2020496353450935,-0.2035073586625291,-0.1281726275887269,-0.0577350269189625,-0.0591437789323578,-0.0718225470529154,-0.1845227081245384,-0.1972014762450959,-0.1986102282584912,-51533.67489305018,both,convenience_sampling_urban_based
67,IDS_top10_urban_300_points_probabilistic_300_size_seed_42.pkl,300,-0.1291361929998631,-0.0577350269189625,-0.0591630502405805,-0.0720152601351427,-0.1862571258645836,-0.1991093357591457,-0.2005373590807637,-0.122986138541973,-0.0577350269189625,-0.0590400491514227,-0.0707852492435646,-0.1751870278403813,-0.1869322279325232,-0.1882372501649835,-51226.11523783085,both,convenience_sampling_urban_based
68,IDS_top10_urban_300_points_probabilistic_300_size_seed_456.pkl,300,-0.1405118969045035,-0.0577350269189625,-0.0593905643186733,-0.0742904009160707,-0.2067333928929364,-0.2216332294903338,-0.2232887668900446,-0.1193547853956143,-0.0577350269189625,-0.0589674220884956,-0.0700589786142929,-0.1686505921769357,-0.179742148702733,-0.180974543872266,-50257.87541648628,both,convenience_sampling_urban_based
