filename,sample_size,seed,r2
random_sample_1000_points_seed_1.pkl,1000,1,0.5905427106860859
random_sample_1000_points_seed_1213.pkl,1000,1213,0.6090701527021521
random_sample_1000_points_seed_123.pkl,1000,123,0.606950391446681
random_sample_1000_points_seed_1234.pkl,1000,1234,0.601177030107946
random_sample_1000_points_seed_1415.pkl,1000,1415,0.6074082815781352
random_sample_1000_points_seed_42.pkl,1000,42,0.601975926470963
random_sample_1000_points_seed_456.pkl,1000,456,0.6080340871164808
random_sample_1000_points_seed_5678.pkl,1000,5678,0.5804290943873333
random_sample_1000_points_seed_789.pkl,1000,789,0.6038241589480868
random_sample_1000_points_seed_9101.pkl,1000,9101,0.6028374406978048
random_sample_100_points_seed_1.pkl,100,1,0.41788125328537573
random_sample_100_points_seed_1213.pkl,100,1213,0.4208834742233759
random_sample_100_points_seed_123.pkl,100,123,0.3393946697943483
random_sample_100_points_seed_1234.pkl,100,1234,0.20102280343437318
random_sample_100_points_seed_1415.pkl,100,1415,0.28953862610206327
random_sample_100_points_seed_42.pkl,100,42,0.4187237082660481
random_sample_100_points_seed_456.pkl,100,456,0.4644922536079453
random_sample_100_points_seed_5678.pkl,100,5678,0.41527401289930344
random_sample_100_points_seed_789.pkl,100,789,0.40609476371534414
random_sample_100_points_seed_9101.pkl,100,9101,0.19968579209908244
random_sample_1100_points_seed_1.pkl,1100,1,0.5921725067305632
random_sample_1100_points_seed_1213.pkl,1100,1213,0.6121911826559507
random_sample_1100_points_seed_123.pkl,1100,123,0.606730298382689
random_sample_1100_points_seed_1234.pkl,1100,1234,0.6144135612163266
random_sample_1100_points_seed_1415.pkl,1100,1415,0.6144108219913491
random_sample_1100_points_seed_42.pkl,1100,42,0.6059072219115618
random_sample_1100_points_seed_456.pkl,1100,456,0.6101169950337912
random_sample_1100_points_seed_5678.pkl,1100,5678,0.6079719205354215
random_sample_1100_points_seed_789.pkl,1100,789,0.6083502180586056
random_sample_1100_points_seed_9101.pkl,1100,9101,0.6117249022345144
random_sample_1200_points_seed_1.pkl,1200,1,0.5976892906523592
random_sample_1200_points_seed_1213.pkl,1200,1213,0.6090664058296624
random_sample_1200_points_seed_123.pkl,1200,123,0.6105301467706297
random_sample_1200_points_seed_1234.pkl,1200,1234,0.6144501864069751
random_sample_1200_points_seed_1415.pkl,1200,1415,0.6197929332251434
random_sample_1200_points_seed_42.pkl,1200,42,0.6094800419982065
random_sample_1200_points_seed_456.pkl,1200,456,0.6133043696573914
random_sample_1200_points_seed_5678.pkl,1200,5678,0.611415632329911
random_sample_1200_points_seed_789.pkl,1200,789,0.6109898532213147
