sampled_path,sampling_type,size,pop_risk_nlcd_0.5,pop_risk_nlcd_0,pop_risk_nlcd_0.01,pop_risk_nlcd_0.1,pop_risk_nlcd_0.9,pop_risk_nlcd_0.99,pop_risk_nlcd_1,similarity
IDS_top10_urban_300_points_probabilistic_300_size_seed_1.pkl,convenience_sampling_urban_based,300,-0.09341753860925317,-0.05763904177042349,-0.05835461170720009,-0.06479474113818945,-0.1220403360803169,-0.1284804655113063,-0.12919603544808284,3514362.7407226562
IDS_top20_urban_400_points_probabilistic_400_size_seed_1.pkl,convenience_sampling_urban_based,400,-0.09426066668013447,-0.04993761694389224,-0.050824077938617075,-0.058802226891140674,-0.12971910646912824,-0.13769725542165184,-0.13858371641637668,4649956.7197265625
IDS_top10_urban_600_points_probabilistic_seed_1.pkl,convenience_sampling_urban_based,600,-0.0687740103554137,-0.04079085082240021,-0.041350514013060474,-0.04638748272900291,-0.09116053798182448,-0.09619750669776693,-0.09675716988842718,7013044.145996094
IDS_top50_urban_100_points_probabilistic_100_size_seed_1.pkl,convenience_sampling_urban_based,100,-0.15636422326701918,-0.09950371902099892,-0.10064092910591932,-0.11087581987020297,-0.2018526266638355,-0.21208751742811913,-0.21322472751303953,1170185.55078125
IDS_top50_urban_200_points_probabilistic_200_size_seed_1.pkl,convenience_sampling_urban_based,200,-0.11638898935604752,-0.07053456158585984,-0.07145165014126359,-0.07970544713989738,-0.15307253157219772,-0.1613263285708315,-0.16224341712623525,2348975.4287109375
IDS_top10_urban_400_points_probabilistic_seed_1.pkl,convenience_sampling_urban_based,400,-0.08236399400629195,-0.049937616943892225,-0.05058614448514023,-0.05642289235637218,-0.10830509565621176,-0.11414184352744368,-0.11479037106869168,4675841.997558594
IDS_top10_urban_100_points_probabilistic_100_size_seed_1.pkl,convenience_sampling_urban_based,100,-0.18838813649001696,-0.09950371902099892,-0.10128140737037929,-0.11728060251480252,-0.25949567046523137,-0.2754948656096547,-0.27727255395903505,1167926.89453125
IDS_top10_urban_300_points_probabilistic_seed_1.pkl,convenience_sampling_urban_based,300,-0.09341753860925317,-0.05763904177042349,-0.05835461170720009,-0.06479474113818945,-0.1220403360803169,-0.1284804655113063,-0.12919603544808284,3514362.7407226562
IDS_top10_urban_900_points_probabilistic_900_size_seed_1.pkl,convenience_sampling_urban_based,900,-0.056491572721637504,-0.033314830232638475,-0.03377836508241845,-0.03795017873043829,-0.07503296671283673,-0.07920478036085657,-0.07966831521063654,10526557.092285156
IDS_top10_urban_700_points_probabilistic_seed_1.pkl,convenience_sampling_urban_based,700,-0.06401348418998483,-0.0377694787300249,-0.038294358839224094,-0.0430182798220169,-0.08500868855795278,-0.08973260954074555,-0.09025748964994476,8183776.314941406
IDS_top50_urban_800_points_probabilistic_800_size_seed_1.pkl,convenience_sampling_urban_based,800,-0.062218210781327554,-0.03533326266687867,-0.03587096162916764,-0.04071025228976845,-0.08372616927288667,-0.08856545993348747,-0.08910315889577647,9349021.476074219
IDS_top20_urban_200_points_probabilistic_200_size_seed_1.pkl,convenience_sampling_urban_based,200,-0.13522662606402786,-0.07053456158585984,-0.07182840287542319,-0.08347297448149343,-0.18698027764656222,-0.1986248492526325,-0.19991869054219583,2322191.7119140625
IDS_top10_urban_500_points_probabilistic_500_size_seed_1.pkl,convenience_sampling_urban_based,500,-0.07567124815411154,-0.04467670516087703,-0.04529659602074172,-0.05087561375952392,-0.10046688254869916,-0.10604590028748134,-0.10666579114734603,5852388.891113281
IDS_top50_urban_700_points_probabilistic_700_size_seed_1.pkl,convenience_sampling_urban_based,700,-0.06613694429346183,-0.037769478730024904,-0.03833682804129364,-0.043442971842712286,-0.0888309167442114,-0.09393706054563002,-0.09450440985689876,8178247.368652344
IDS_top20_urban_100_points_probabilistic_100_size_seed_1.pkl,convenience_sampling_urban_based,100,-0.20045600103339925,-0.0995037190209989,-0.10152276466124692,-0.11969417542347897,-0.28121782664331957,-0.29938923740555157,-0.30140828304579964,1160038.166015625
IDS_top50_urban_500_points_probabilistic_500_size_seed_1.pkl,convenience_sampling_urban_based,500,-0.07723861742520541,-0.04467670516087703,-0.04532794340616359,-0.051189087613742704,-0.10328814723666813,-0.1091492914442472,-0.10980052968953377,5835472.949707031
IDS_top10_urban_600_points_probabilistic_600_size_seed_1.pkl,convenience_sampling_urban_based,600,-0.0687740103554137,-0.04079085082240021,-0.041350514013060474,-0.04638748272900291,-0.09116053798182448,-0.09619750669776693,-0.09675716988842718,7013044.145996094
IDS_top10_urban_800_points_probabilistic_seed_1.pkl,convenience_sampling_urban_based,800,-0.05953527612334426,-0.03533326266687867,-0.03581730293600797,-0.04017366535817179,-0.07889688688851675,-0.08325324931068052,-0.08373728957980983,9353953.593261719
IDS_top50_urban_900_points_probabilistic_900_size_seed_1.pkl,convenience_sampling_urban_based,900,-0.05764624947447758,-0.03331483023263848,-0.03380145861747526,-0.03818111408100631,-0.07711138486794884,-0.0814910403314799,-0.08197766871631668,10520064.558105469
IDS_top10_urban_200_points_probabilistic_seed_1.pkl,convenience_sampling_urban_based,200,-0.11155325656265302,-0.07053456158585984,-0.07135493548539569,-0.07873830058121847,-0.14436821254408758,-0.15175157763991035,-0.1525719515394462,2339738.0668945312
IDS_top10_urban_400_points_probabilistic_400_size_seed_1.pkl,convenience_sampling_urban_based,400,-0.08236399400629195,-0.049937616943892225,-0.05058614448514023,-0.05642289235637218,-0.10830509565621176,-0.11414184352744368,-0.11479037106869168,4675841.997558594
IDS_top10_urban_900_points_probabilistic_seed_1.pkl,convenience_sampling_urban_based,900,-0.056491572721637504,-0.033314830232638475,-0.03377836508241845,-0.03795017873043829,-0.07503296671283673,-0.07920478036085657,-0.07966831521063654,10526557.092285156
IDS_top10_urban_1000_points_probabilistic_seed_1.pkl,convenience_sampling_urban_based,1000,-0.05387070280325505,-0.0316069770620507,-0.032052251576874795,-0.03605972221029157,-0.07168168339621854,-0.07568915402963533,-0.0761344285444594,11680611.304199219
IDS_top10_urban_700_points_probabilistic_700_size_seed_1.pkl,convenience_sampling_urban_based,700,-0.06401348418998483,-0.0377694787300249,-0.038294358839224094,-0.0430182798220169,-0.08500868855795278,-0.08973260954074555,-0.09025748964994476,8183776.314941406
IDS_top10_urban_500_points_probabilistic_seed_1.pkl,convenience_sampling_urban_based,500,-0.07567124815411154,-0.04467670516087703,-0.04529659602074172,-0.05087561375952392,-0.10046688254869916,-0.10604590028748134,-0.10666579114734603,5852388.891113281
IDS_top20_urban_800_points_probabilistic_800_size_seed_1.pkl,convenience_sampling_urban_based,800,-0.06969155870070941,-0.035333262666878675,-0.03602042858755527,-0.042204921873644816,-0.09717819552777401,-0.10336268881386355,-0.10404985473454016,9295924.052734375
IDS_top10_urban_1000_points_probabilistic_1000_size_seed_1.pkl,convenience_sampling_urban_based,1000,-0.05387070280325505,-0.0316069770620507,-0.032052251576874795,-0.03605972221029157,-0.07168168339621854,-0.07568915402963533,-0.0761344285444594,11680611.304199219
IDS_top20_urban_900_points_probabilistic_900_size_seed_1.pkl,convenience_sampling_urban_based,900,-0.06490446524549075,-0.03331483023263848,-0.033946622932895514,-0.039632757235208926,-0.09017617325577253,-0.09586230755808595,-0.09649410025834297,10446287.922851562
IDS_top50_urban_400_points_probabilistic_400_size_seed_1.pkl,convenience_sampling_urban_based,400,-0.08746823941045927,-0.04993761694389223,-0.05068822939322357,-0.057443741437205625,-0.11749273738371291,-0.12424824942769495,-0.12499886187702632,4678041.291015625
IDS_top20_urban_700_points_probabilistic_700_size_seed_1.pkl,convenience_sampling_urban_based,700,-0.07367532305895703,-0.037769478730024904,-0.03848759561660354,-0.04495064759581133,-0.10239999852210273,-0.10886305050131051,-0.10958116738788913,8136820.9580078125
IDS_top50_urban_1000_points_probabilistic_1000_size_seed_1.pkl,convenience_sampling_urban_based,1000,-0.054986521532998024,-0.0316069770620507,-0.03207456795146965,-0.03628288595624016,-0.07369015710975589,-0.07789847511452642,-0.07836606600394537,11684763.929199219
IDS_top10_urban_200_points_probabilistic_200_size_seed_1.pkl,convenience_sampling_urban_based,200,-0.11155325656265302,-0.07053456158585984,-0.07135493548539569,-0.07873830058121847,-0.14436821254408758,-0.15175157763991035,-0.1525719515394462,2339738.0668945312
