initial_set,sampling_type,diversity,size,pop_risk_nlcd_0.5,pop_risk_nlcd_0,pop_risk_nlcd_0.001,pop_risk_nlcd_0.01,pop_risk_nlcd_0.1,pop_risk_nlcd_1,pop_risk_image_clusters_2_0.5,pop_risk_image_clusters_2_0,pop_risk_image_clusters_2_0.001,pop_risk_image_clusters_2_0.01,pop_risk_image_clusters_2_0.1,pop_risk_image_clusters_2_1,pop_risk_image_clusters_8_0.5,pop_risk_image_clusters_8_0,pop_risk_image_clusters_8_0.001,pop_risk_image_clusters_8_0.01,pop_risk_image_clusters_8_0.1,pop_risk_image_clusters_8_1,pop_risk_states_0.5,pop_risk_states_0,pop_risk_states_0.001,pop_risk_states_0.01,pop_risk_states_0.1,pop_risk_states_1
IDS_region_06_1000_points_seed_1.pkl,convenience_sampling_region_based,,1000,-0.1275346738368464,-0.0316227766016837,-0.0318146003961541,-0.033541014546387,-0.0508051560487163,-0.223446571072009,-0.0382478833521869,-0.0316227766016837,-0.0316360268151848,-0.0317552787366938,-0.0329477979517844,-0.0448729901026901,-0.1223645237078607,-0.0316227766016837,-0.0318042600958961,-0.0334376115438073,-0.0497711260229191,-0.2131062708140377,-4751.232751676061,-0.0316227766016837,-9.534025034400605,-95.05564535459088,-950.2718485564936,-9502.433880575523
IDS_region_06_1000_points_seed_1213.pkl,convenience_sampling_region_based,,1000,-0.1308993689381886,-0.0316227766016837,-0.0318213297863568,-0.0336083084484138,-0.0514780950689847,-0.2301759612746934,-0.0383142486016877,-0.0316227766016837,-0.0316361595456838,-0.0317566060416838,-0.0329610710016845,-0.0450057206016916,-0.1483564795429166,-0.0316227766016837,-0.0318562440075662,-0.0339574506605084,-0.0549695171899303,-0.2650901824841494,-4815.724029009904,-0.0316227766016837,-9.663007589068288,-96.34547090126772,-963.170104023262,-9631.416435243207
IDS_region_06_1000_points_seed_123.pkl,convenience_sampling_region_based,,1000,-0.1097154952942497,-0.0316227766016837,-0.0317789620390689,-0.0331846309755351,-0.0472413203401969,-0.1878082139868158,-0.0382765901675062,-0.0316227766016837,-0.0316360842288154,-0.0317558528730002,-0.0329535393148482,-0.0449304037333287,-0.1454690308294522,-0.0316227766016837,-0.0318504691101393,-0.0338997016862391,-0.0543920274472374,-0.2593152850572207,-4751.232751676061,-0.0316227766016837,-9.534025034400605,-95.05564535459088,-950.2718485564936,-9502.433880575523
IDS_region_06_1000_points_seed_1234.pkl,convenience_sampling_region_based,,1000,-0.1205005813148426,-0.0316227766016837,-0.0318005322111101,-0.0334003326959469,-0.0493983375443155,-0.2093783860280015,-0.0383376576356605,-0.0316227766016837,-0.0316362063637517,-0.0317570742223633,-0.0329657528084791,-0.0450525386696373,-0.1503980501369292,-0.0316227766016837,-0.0318603271487542,-0.0339982820723887,-0.0553778313087328,-0.2691733236721746,-4751.232751676061,-0.0316227766016837,-9.534025034400605,-95.05564535459088,-950.2718485564936,-9502.433880575523
IDS_region_06_1000_points_seed_1415.pkl,convenience_sampling_region_based,,1000,-0.1140069360199538,-0.0316227766016837,-0.0317875449205203,-0.0332704597900491,-0.0480996084853378,-0.196391095438224,-0.0383425548868605,-0.0316227766016837,-0.0316362161582541,-0.0317571721673873,-0.0329667322587191,-0.0450623331720372,-744.0565623053966,-0.0316227766016837,-1.5196726556592732,-14.912121567177582,-148.83661068236063,-1488.0815018341914,-4815.724029009904,-0.0316227766016837,-9.663007589068288,-96.34547090126772,-963.170104023262,-9631.416435243207
IDS_region_06_1000_points_seed_42.pkl,convenience_sampling_region_based,,1000,-0.1235320454085709,-0.0316227766016837,-0.0318065951392975,-0.0334609619778215,-0.0500046303630612,-0.215441314215458,-0.0384247732168455,-0.0316227766016837,-0.0316363805949141,-0.031758816533987,-0.0329831759247161,-0.0452267698320072,-0.1446747011325136,-0.0316227766016837,-0.0318488804507454,-0.0338838150923003,-0.0542331615078497,-0.2577266256633435,-4815.724029009904,-0.0316227766016837,-9.663007589068288,-96.34547090126772,-963.170104023262,-9631.416435243207
IDS_region_06_1000_points_seed_456.pkl,convenience_sampling_region_based,,1000,-0.1186960592901375,-0.0316227766016837,-0.0317969231670607,-0.0333642422554528,-0.0490374331393745,-0.2057693419785912,-0.0383142486016877,-0.0316227766016837,-0.0316361595456838,-0.0317566060416838,-0.0329610710016845,-0.0450057206016916,-0.1469122074253672,-0.0316227766016837,-0.0318533554633311,-0.0339285652181574,-0.0546806627664204,-0.2622016382490507,-4815.724029009904,-0.0316227766016837,-9.663007589068288,-96.34547090126772,-963.170104023262,-9631.416435243207
IDS_region_06_1000_points_seed_5678.pkl,convenience_sampling_region_based,,1000,-0.1137935188961625,-0.0316227766016837,-0.0317871180862727,-0.0332661914475733,-0.0480569250605795,-0.1959642611906412,-0.0383955256602977,-0.0316227766016837,-0.031636322099801,-0.031758231582856,-0.0329773264134065,-0.0451682747189117,-0.1248875140405229,-0.0316227766016837,-0.0318093060765614,-0.0334880713504605,-0.0502757240894516,-0.218152251479362,-4815.724029009904,-0.0316227766016837,-9.663007589068288,-96.34547090126772,-963.170104023262,-9631.416435243207
IDS_region_06_1000_points_seed_789.pkl,convenience_sampling_region_based,,1000,-0.122742469960859,-0.0316227766016837,-0.0318050159884021,-0.0334451704688673,-0.0498467152735188,-0.2138621633200342,-0.0382844650571816,-0.0316227766016837,-0.0316360999785947,-0.0317560103707937,-0.0329551142927833,-0.0449461535126795,-0.1532204732362967,-0.0316227766016837,-0.031865971994953,-0.034054730534376,-0.0559423159286063,-0.2748181698709098,-4815.724029009904,-0.0316227766016837,-9.663007589068288,-96.34547090126772,-963.170104023262,-9631.416435243207
IDS_region_06_1000_points_seed_9101.pkl,convenience_sampling_region_based,,1000,-246.86489858584704,-0.0316227766016837,-0.5252893282201745,-4.968288292786591,-49.398277938450754,-493.6981743950924,-0.038389898812875,-0.0316227766016837,-0.0316363108461061,-0.0317581190459076,-0.032976201043922,-0.0451570210240663,-0.1545943584961751,-0.0316227766016837,-0.0318687197654727,-0.0340822082395736,-0.056217092980582,-0.2775659403906665,-4815.724029009904,-0.0316227766016837,-9.663007589068288,-96.34547090126772,-963.170104023262,-9631.416435243207
