initial_set,sampling_type,diversity,size,pop_risk_nlcd_0.5,pop_risk_nlcd_0,pop_risk_nlcd_0.001,pop_risk_nlcd_0.01,pop_risk_nlcd_0.1,pop_risk_nlcd_1,pop_risk_image_clusters_2_0.5,pop_risk_image_clusters_2_0,pop_risk_image_clusters_2_0.001,pop_risk_image_clusters_2_0.01,pop_risk_image_clusters_2_0.1,pop_risk_image_clusters_2_1,pop_risk_image_clusters_8_0.5,pop_risk_image_clusters_8_0,pop_risk_image_clusters_8_0.001,pop_risk_image_clusters_8_0.01,pop_risk_image_clusters_8_0.1,pop_risk_image_clusters_8_1,pop_risk_states_0.5,pop_risk_states_0,pop_risk_states_0.001,pop_risk_states_0.01,pop_risk_states_0.1,pop_risk_states_1
IDS_top20_urban_100_points_probabilistic_100_size_seed_1.pkl,convenience_sampling_urban_based,-8769.213478526366,100,-0.2202695160754489,-0.1,-0.1002405390321509,-0.1024053903215089,-0.1240539032150898,-0.3405390321508978,-0.1260718751492379,-0.1,-0.1000521437502984,-0.1005214375029847,-0.1052143750298476,-0.1521437502984758,-0.2213842976124222,-0.1,-0.1002427685952248,-0.1024276859522484,-0.1242768595224844,-0.3427685952248445,-2859.121714991741,-0.1,-5.818043429983482,-57.28043429983482,-571.9043429983483,-5718.143429983484
IDS_top20_urban_100_points_probabilistic_100_size_seed_1213.pkl,convenience_sampling_urban_based,-8896.86930777718,100,-0.2468792111430502,-0.1,-0.1002937584222861,-0.102937584222861,-0.12937584222861,-0.3937584222861003,-0.1254937201085821,-0.1,-0.1000509874402171,-0.1005098744021716,-0.1050987440217164,-0.1509874402171643,-0.2347647019907089,-0.1,-0.1002695294039814,-0.1026952940398141,-0.1269529403981418,-0.3695294039814178,-2694.9905937442954,-0.1,-5.48978118748859,-53.99781187488591,-539.078118748859,-5389.881187488591
IDS_top20_urban_100_points_probabilistic_100_size_seed_123.pkl,convenience_sampling_urban_based,-8761.11532445837,100,-0.2209303417436897,-0.1,-0.1002418606834873,-0.1024186068348738,-0.1241860683487379,-0.3418606834873794,-0.1260718751492379,-0.1,-0.1000521437502984,-0.1005214375029847,-0.1052143750298476,-0.1521437502984758,-0.211462745711767,-0.1,-0.1002229254914235,-0.1022292549142353,-0.1222925491423534,-0.3229254914235341,-2757.2788084253502,-0.1,-5.6143576168507,-55.243576168507005,-551.53576168507,-5514.457616850701
IDS_top20_urban_100_points_probabilistic_100_size_seed_1234.pkl,convenience_sampling_urban_based,-8859.81921388794,100,-0.2305373711757701,-0.1,-0.1002610747423515,-0.1026107474235154,-0.126107474235154,-0.3610747423515403,-0.1281111568667037,-0.1,-0.1000562223137334,-0.100562223137334,-0.1056222313733407,-0.1562223137334075,-0.2310089271040326,-0.1,-0.100262017854208,-0.1026201785420806,-0.1262017854208065,-0.3620178542080653,-2811.6588122830217,-0.1,-5.723117624566044,-56.33117624566043,-562.4117624566044,-5623.217624566045
IDS_top20_urban_100_points_probabilistic_100_size_seed_1415.pkl,convenience_sampling_urban_based,-8914.402486106646,100,-0.2211836918944406,-0.1,-0.1002423673837888,-0.1024236738378888,-0.1242367383788881,-0.3423673837888813,-0.1266980655054091,-0.1,-0.1000533961310108,-0.1005339613101082,-0.1053396131010818,-0.1533961310108183,-0.2214746656024994,-0.1,-0.1002429493312049,-0.10242949331205,-0.1242949331204999,-0.3429493312049989,-2480.735744247496,-0.1,-5.061271488494992,-49.712714884949925,-496.22714884949926,-4961.371488494991
IDS_top20_urban_100_points_probabilistic_100_size_seed_42.pkl,convenience_sampling_urban_based,-8892.741930028687,100,-0.2203861156570787,-0.1,-0.1002407722313141,-0.1024077223131415,-0.1240772231314157,-0.3407722313141575,-0.1289079245529131,-0.1,-0.1000578158491058,-0.1005781584910582,-0.1057815849105826,-0.1578158491058263,-0.2309398282743716,-0.1,-0.1002618796565487,-0.1026187965654874,-0.1261879656548743,-0.3618796565487433,-2597.2055595612683,-0.1,-5.2942111191225365,-52.042111191225366,-519.5211119122537,-5194.311119122536
IDS_top20_urban_100_points_probabilistic_100_size_seed_456.pkl,convenience_sampling_urban_based,-9005.577375134715,100,-0.2642750351329477,-0.1,-0.1003285500702658,-0.1032855007026589,-0.1328550070265895,-0.4285500702658953,-0.1354125498219881,-0.1,-0.1000708250996439,-0.1007082509964397,-0.1070825099643976,-0.1708250996439762,-0.2352832596695346,-0.1,-0.100270566519339,-0.1027056651933907,-0.1270566519339069,-0.3705665193390692,-2455.260940379494,-0.1,-5.010321880758988,-49.20321880758989,-491.13218807589885,-4910.42188075899
IDS_top20_urban_100_points_probabilistic_100_size_seed_5678.pkl,convenience_sampling_urban_based,-8746.9733947723,100,-0.2166186554329816,-0.1,-0.1002332373108659,-0.1023323731086596,-0.1233237310865963,-0.3332373108659632,-0.1260718751492379,-0.1,-0.1000521437502984,-0.1005214375029847,-0.1052143750298476,-0.1521437502984758,-0.2113785912918027,-0.1,-0.1002227571825836,-0.102227571825836,-0.1222757182583605,-0.3227571825836055,-2927.566333021348,-0.1,-5.954932666042695,-58.64932666042696,-585.5932666042695,-5855.032666042696
IDS_top20_urban_100_points_probabilistic_100_size_seed_789.pkl,convenience_sampling_urban_based,-8844.326409718286,100,-0.2441497444179747,-0.1,-0.1002882994888359,-0.1028829948883595,-0.1288299488835949,-0.3882994888359495,-0.1260718751492379,-0.1,-0.1000521437502984,-0.1005214375029847,-0.1052143750298476,-0.1521437502984758,-0.2083542007858172,-0.1,-0.1002167084015716,-0.1021670840157163,-0.1216708401571634,-0.3167084015716345,-2638.0420887782984,-0.1,-5.375884177556596,-52.85884177556597,-527.6884177556598,-5275.9841775565965
IDS_top20_urban_100_points_probabilistic_100_size_seed_9101.pkl,convenience_sampling_urban_based,-8995.627554020175,100,-0.2165138526284892,-0.1,-0.1002330277052569,-0.1023302770525697,-0.1233027705256978,-0.3330277052569783,-0.1260718751492379,-0.1,-0.1000521437502984,-0.1005214375029847,-0.1052143750298476,-0.1521437502984758,-0.2216978766534697,-0.1,-0.1002433957533069,-0.1024339575330694,-0.1243395753306939,-0.3433957533069394,-2645.0372097136515,-0.1,-5.389874419427303,-52.99874419427302,-529.0874419427303,-5289.974419427303
IDS_top20_urban_200_points_probabilistic_200_size_seed_1.pkl,convenience_sampling_urban_based,-35536.38246361591,200,-0.1533978420458003,-0.0707106781186547,-0.070876052446509,-0.0723644213971976,-0.0872481109040838,-0.2360850059729458,-0.0905882677660997,-0.0707106781186547,-0.0707504332979496,-0.0711082299116036,-0.0746861960481437,-0.1104658574135447,-0.1592777272634098,-0.0707106781186547,-0.0708878122169442,-0.0724820191015498,-0.0884240879476057,-0.247844776408165,-2682.430614143326,-0.0707106781186547,-5.43543048504907,-53.7179087474228,-536.5426913711601,-5364.790517608533
IDS_top20_urban_200_points_probabilistic_200_size_seed_1213.pkl,convenience_sampling_urban_based,-35532.82064644674,200,-0.1602182695031962,-0.0707106781186547,-0.0708896933014238,-0.0725008299463455,-0.088612196395563,-0.2497258608877376,-0.0891462778349299,-0.0707106781186547,-0.0707475493180873,-0.0710793901129802,-0.0743977980619097,-0.107581877551205,-0.1502901069390148,-0.0707106781186547,-0.0708698369762954,-0.0723022666950619,-0.0866265638827267,-0.2298695357593748,-2597.151783294487,-0.0707106781186547,-5.264872823351391,-52.01233213044601,-519.4869252013923,-5194.232855910856
IDS_top20_urban_200_points_probabilistic_200_size_seed_123.pkl,convenience_sampling_urban_based,-35485.83355621672,200,-0.1614821168474627,-0.0707106781186547,-0.0708922209961123,-0.0725261068932309,-0.0888649658644163,-0.2522535555762708,-0.0898240600673094,-0.0707106781186547,-0.070748904882552,-0.0710929457576278,-0.0745333545083856,-0.108937442015964,-0.1515173852842005,-0.0707106781186547,-0.0708722915329858,-0.0723268122619656,-0.0868720195517639,-0.2323240924497462,-2538.550947278749,-0.0707106781186547,-5.147671151319915,-50.84031541013125,-507.7667579982447,-5077.031183879379
IDS_top20_urban_200_points_probabilistic_200_size_seed_1234.pkl,convenience_sampling_urban_based,-35712.282956939714,200,-0.1592062583164947,-0.0707106781186547,-0.0708876692790504,-0.0724805897226115,-0.0884097941582227,-0.2477018385143348,-0.0893632556662367,-0.0707106781186547,-0.0707479832737499,-0.0710837296696063,-0.0744411936281711,-0.1080158332138187,-0.1542152243786643,-0.0707106781186547,-0.0708776872111747,-0.0723807690438549,-0.0874115873706566,-0.2377197706386738,-2679.864204996949,-0.0707106781186547,-5.4302976667563145,-53.666580564495256,-536.0294095418847,-5359.65769931578
IDS_top20_urban_200_points_probabilistic_200_size_seed_1415.pkl,convenience_sampling_urban_based,-35748.73793796875,200,-0.1542599349374281,-0.0707106781186547,-0.0708777766322923,-0.0723816632550302,-0.0874205294824094,-0.2378091917562014,-0.0885450014393599,-0.0707106781186547,-0.0707463467652961,-0.0710673645850688,-0.0742775427827957,-0.106379324760065,-0.1510474429374612,-0.0707106781186547,-0.0708713516482923,-0.0723174134150308,-0.086778031082416,-0.2313842077562677,-2396.592330861287,-0.0707106781186547,-4.86375391848499,-48.00114308178202,-479.37503471475225,-4793.113951044456
IDS_top20_urban_200_points_probabilistic_200_size_seed_42.pkl,convenience_sampling_urban_based,-35910.615945380705,200,-0.1521820452889834,-0.0707106781186547,-0.0708736208529954,-0.0723401054620613,-0.0870049515527204,-0.2336534124593121,-0.0920884676017737,-0.0707106781186547,-0.0707534336976209,-0.0711382339083171,-0.0749862360152785,-0.1134662570848927,-0.1559137920884729,-0.0707106781186547,-0.0708810843465943,-0.0724147403980511,-0.0877513009126183,-0.2411169060582911,-2537.354680600748,-0.0707106781186547,-5.145278617963913,-50.81639007657124,-507.5275046626445,-5074.638650523377
IDS_top20_urban_200_points_probabilistic_200_size_seed_456.pkl,convenience_sampling_urban_based,-35723.59474013426,200,-0.1678679490912431,-0.0707106781186547,-0.0709049926605999,-0.0726538235381065,-0.0901421323131724,-0.2650252200638315,-0.088737460485105,-0.0707106781186547,-0.0707467316833876,-0.0710712137659837,-0.0743160345919448,-0.1067642428515553,-0.1507668729345222,-0.0707106781186547,-0.0708707905082864,-0.0723118020149721,-0.0867219170818282,-0.2308230677503896,-2455.204599801214,-0.0707106781186547,-4.980978456364846,-49.17338846058056,-491.09748850273775,-4910.33848892431
IDS_top20_urban_200_points_probabilistic_200_size_seed_5678.pkl,convenience_sampling_urban_based,-35810.0440351782,200,-0.1554795946977507,-0.0707106781186547,-0.0708802159518129,-0.0724060564502366,-0.0876644614344739,-0.2402485112768467,-0.0893632556662367,-0.0707106781186547,-0.0707479832737499,-0.0710837296696063,-0.0744411936281711,-0.1080158332138187,-0.1505998541557779,-0.0707106781186547,-0.0708704564707289,-0.0723084616393972,-0.0866885133260794,-0.2304890301929012,-2734.0495514163003,-0.0707106781186547,-5.538668359595017,-54.75028749288228,-546.8664788257549,-5468.0283921544815
IDS_top20_urban_200_points_probabilistic_200_size_seed_789.pkl,convenience_sampling_urban_based,-34963.240444522875,200,-0.1588632561396577,-0.0707106781186547,-0.0708869832746967,-0.0724737296790748,-0.0883411937228553,-0.2470158341606606,-0.0891462778349299,-0.0707106781186547,-0.0707475493180873,-0.0710793901129802,-0.0743977980619097,-0.107581877551205,-0.1498945969118084,-0.0707106781186547,-0.070869045956241,-0.0722943564945178,-0.0865474618772854,-0.2290785157049621,-2398.25082742332,-0.0707106781186547,-4.867070911609058,-48.03431301302268,-479.7067340271589,-4796.43094416852
IDS_top20_urban_200_points_probabilistic_200_size_seed_9101.pkl,convenience_sampling_urban_based,-35803.551006358626,200,-0.1503398341856496,-0.0707106781186547,-0.0708699364307887,-0.0723032612399946,-0.0866365093320537,-0.2299689902526445,-0.0889377860648171,-0.0707106781186547,-0.070747132334547,-0.071075220277578,-0.0743560997078872,-0.1071648940109796,-0.150519239111216,-0.0707106781186547,-0.0708702952406398,-0.0723068493385059,-0.086672390317167,-0.2303278001037773,-2642.4104858049645,-0.0707106781186547,-5.355390228372348,-52.917506180655565,-528.5386657034878,-5284.750260931811
IDS_top20_urban_300_points_probabilistic_300_size_seed_1.pkl,convenience_sampling_urban_based,-79861.68960452343,300,-0.125591270154007,-0.0577350269189625,-0.0578707394054326,-0.0590921517836634,-0.0713062755659714,-0.1934475133890515,-0.0727876310546533,-0.0577350269189625,-0.0577651321272339,-0.0580360790016763,-0.0607455477461007,-0.0878402351903442,-0.1258556879173618,-0.0577350269189625,-0.0578712682409593,-0.0590974401389305,-0.0713591591186424,-0.1939763489157611,-2564.281982093702,-0.0577350269189625,-5.186183521052528,-51.34221996825463,-512.9025844402756,-5128.506229160486
IDS_top20_urban_300_points_probabilistic_300_size_seed_1213.pkl,convenience_sampling_urban_based,-79945.90590313339,300,-0.1307455305388983,-0.0577350269189625,-0.0578810479262024,-0.0591952369913612,-0.0723371276429497,-0.2037560341588342,-0.0732762260815521,-0.0577350269189625,-0.0577661093172877,-0.0580458509022143,-0.0608432667514804,-0.0888174252441418,-0.1250389748493804,-0.0577350269189625,-0.0578696348148234,-0.0590811058775709,-0.0711958165050461,-0.1923429227797982,-2542.2960288853537,-0.0577350269189625,-5.142211614635832,-50.90250090408767,-508.5053937986059,-5084.53432274379
IDS_top20_urban_300_points_probabilistic_300_size_seed_123.pkl,convenience_sampling_urban_based,-80286.94465422895,300,-0.1264264617881887,-0.0577350269189625,-0.057872409788701,-0.059108855616347,-0.0714733138928078,-0.1951178966574149,-0.0731491622253528,-0.0577350269189625,-0.0577658551895753,-0.0580433096250903,-0.0608178539802406,-0.088563297531743,-0.1233619528694643,-0.0577350269189625,-0.0578662807708635,-0.0590475654379726,-0.0708604121090629,-0.188988878819966,-2454.44307109704,-0.0577350269189625,-4.966505699059204,-49.14544174832138,-490.9348022409431,-4908.8284071671615
IDS_top20_urban_300_points_probabilistic_300_size_seed_1234.pkl,convenience_sampling_urban_based,-80619.45781022574,300,-0.12647986723301,-0.0577350269189625,-0.0578725165995906,-0.0591099237252435,-0.071483994981772,-0.1952247075470574,-0.0730254340234938,-0.0577350269189625,-0.0577656077331716,-0.0580408350610531,-0.0607931083398688,-0.088315841128025,-0.1252851776513773,-0.0577350269189625,-0.0578701272204273,-0.0590860299336108,-0.0712450570654455,-0.192835328383792,-2500.901798464083,-0.0577350269189625,-5.059423153793289,-50.074616295662246,-500.2265477143517,-5001.745861901247
IDS_top20_urban_300_points_probabilistic_300_size_seed_1415.pkl,convenience_sampling_urban_based,-80328.09762585428,300,-0.1253763711788234,-0.0577350269189625,-0.0578703096074822,-0.0590878538041597,-0.0712632957709347,-0.1930177154386842,-0.0723483724457929,-0.0577350269189625,-0.0577642536100162,-0.0580272938294991,-0.0606576960243286,-0.0869617179726233,-0.1238160595165694,-0.0577350269189625,-0.0578671889841577,-0.0590566475709147,-0.0709512334384839,-0.1898970921141763,-2341.922391641962,-0.0577350269189625,-4.741464340149048,-46.89502815921983,-468.4306663499276,-4683.787048257005
IDS_top20_urban_300_points_probabilistic_300_size_seed_42.pkl,convenience_sampling_urban_based,-80436.71460557247,300,-0.1262627554855762,-0.0577350269189625,-0.0578720823760958,-0.0591055814902948,-0.0714405726322853,-0.1947904840521899,-0.0747532746239392,-0.0577350269189625,-0.0577690634143725,-0.0580753918730621,-0.0611386764599579,-0.0917715223289159,-0.1260891777537549,-0.0577350269189625,-0.0578717352206321,-0.0591021099356584,-0.071405857085921,-0.1944433285885473,-2537.333415621594,-0.0577350269189625,-5.132286388108313,-50.80324863881248,-507.5128711458541,-5074.609096216269
IDS_top20_urban_300_points_probabilistic_300_size_seed_456.pkl,convenience_sampling_urban_based,-80431.06627542042,300,-0.1318643433363147,-0.0577350269189625,-0.0578832855517972,-0.0592176132473096,-0.072560890202433,-0.2059936597536668,-0.0732762260815521,-0.0577350269189625,-0.0577661093172877,-0.0580458509022143,-0.0608432667514804,-0.0888174252441418,-0.1251380046098164,-0.0577350269189625,-0.0578698328743442,-0.0590830864727796,-0.0712156224571333,-0.1925409823006702,-2405.680848420773,-0.0577350269189625,-4.86898125370667,-48.17019729479604,-481.1823577056897,-4811.303961814627
IDS_top20_urban_300_points_probabilistic_300_size_seed_5678.pkl,convenience_sampling_urban_based,-80908.13000244167,300,-0.1240024028016847,-0.0577350269189625,-0.057867561670728,-0.059060374436617,-0.070988502095507,-0.1902697786844069,-0.0732762260815521,-0.0577350269189625,-0.0577661093172877,-0.0580458509022143,-0.0608432667514804,-0.0888174252441418,-0.1226258532475024,-0.0577350269189625,-0.0578648085716196,-0.0590328434455333,-0.0707131921846705,-0.1875166795760423,-2588.205866110207,-0.0577350269189625,-5.234031289085538,-51.820697648584726,-517.6873612435766,-5176.353997193495
IDS_top20_urban_300_points_probabilistic_300_size_seed_789.pkl,convenience_sampling_urban_based,-79228.77310931945,300,-0.1292381486925807,-0.0577350269189625,-0.0578780331625098,-0.0591650893544349,-0.0720356512736861,-0.2007412704661988,-0.071953742203395,-0.0577350269189625,-0.0577634643495314,-0.0580194012246512,-0.060578769975849,-0.0861724574878274,-0.1206997249485745,-0.0577350269189625,-0.0578609563150217,-0.0589943208795548,-0.0703279665248849,-0.1836644229781866,-2393.533391388978,-0.0577350269189625,-4.84468633964308,-47.92724815416015,-478.7528662993308,-4787.009047751037
IDS_top20_urban_300_points_probabilistic_300_size_seed_9101.pkl,convenience_sampling_urban_based,-80409.3883110311,300,-0.1228853975776757,-0.0577350269189625,-0.0578653276602799,-0.0590380343321368,-0.0707651010507052,-0.1880357682363889,-0.0724538330862974,-0.0577350269189625,-0.0577644645312972,-0.0580294030423092,-0.0606787881524295,-0.0871726392536323,-0.1206319511124193,-0.0577350269189625,-0.0578608207673494,-0.0589929654028317,-0.0703144117576539,-0.1835288753058761,-2561.703053541584,-0.0577350269189625,-5.181025663948293,-51.29064139721227,-512.386798729852,-5123.348372056249
IDS_top20_urban_400_points_probabilistic_400_size_seed_1.pkl,convenience_sampling_urban_based,-142747.79630204392,400,-0.1108421744870005,-0.05,-0.050121684348974,-0.05121684348974,-0.0621684348974001,-0.171684348974001,-0.0633490327527045,-0.05,-0.0500266980655054,-0.0502669806550541,-0.0526698065505409,-0.0766980655054091,-0.1091212910564961,-0.05,-0.0501182425821129,-0.0511824258211299,-0.0618242582112992,-0.1682425821129923,-2561.691165018401,-0.05,-5.173282330036804,-51.28282330036802,-512.3782330036803,-5123.332330036803
IDS_top20_urban_400_points_probabilistic_400_size_seed_1213.pkl,convenience_sampling_urban_based,-142101.25099941442,400,-0.1116440183079208,-0.05,-0.0501232880366158,-0.0512328803661584,-0.0623288036615841,-0.1732880366158415,-0.0636008099711917,-0.05,-0.0500272016199423,-0.0502720161994238,-0.0527201619942383,-0.0772016199423834,-0.1084391230644249,-0.05,-0.0501168782461288,-0.0511687824612885,-0.061687824612885,-0.16687824612885,-2539.704290482771,-0.05,-5.129308580965541,-50.843085809655406,-507.9808580965541,-5079.3585809655415
IDS_top20_urban_400_points_probabilistic_400_size_seed_123.pkl,convenience_sampling_urban_based,-142814.24055745557,400,-0.1082058471236934,-0.05,-0.0501164116942473,-0.0511641169424738,-0.0616411694247386,-0.1664116942473868,-0.0636008099711917,-0.05,-0.0500272016199423,-0.0502720161994238,-0.0527201619942383,-0.0772016199423834,-0.1077095099729829,-0.05,-0.0501154190199459,-0.0511541901994596,-0.0615419019945966,-0.1654190199459659,-2180.2697375746657,-0.05,-4.410439475149332,-43.65439475149331,-436.0939475149331,-4360.489475149331
IDS_top20_urban_400_points_probabilistic_400_size_seed_1234.pkl,convenience_sampling_urban_based,-142860.8681032295,400,-0.1092911780950461,-0.05,-0.05011858235619,-0.0511858235619009,-0.0618582356190092,-0.1685823561900923,-0.0628885116301506,-0.05,-0.0500257770232603,-0.050257770232603,-0.0525777023260301,-0.0757770232603013,-0.1073408642651019,-0.05,-0.0501146817285302,-0.051146817285302,-0.0614681728530204,-0.1646817285302039,-2581.841766275668,-0.05,-5.213583532551337,-51.68583532551336,-516.4083532551335,-5163.633532551337
IDS_top20_urban_400_points_probabilistic_400_size_seed_1415.pkl,convenience_sampling_urban_based,-142866.75772329525,400,-0.1106413076964515,-0.05,-0.0501212826153929,-0.051212826153929,-0.0621282615392903,-0.171282615392903,-0.0622339526574046,-0.05,-0.0500244679053148,-0.0502446790531481,-0.0524467905314809,-0.0744679053148093,-0.1059728041223342,-0.05,-0.0501119456082446,-0.0511194560824466,-0.0611945608244668,-0.1619456082446684,-2337.213616090666,-0.05,-4.724327232181333,-46.793272321813326,-467.4827232181333,-4674.377232181334
IDS_top20_urban_400_points_probabilistic_400_size_seed_42.pkl,convenience_sampling_urban_based,-143652.48603101925,400,-0.1113963398345159,-0.05,-0.050122792679669,-0.0512279267966903,-0.0622792679669031,-0.1727926796690318,-0.0651163799102919,-0.05,-0.0500302327598205,-0.0503023275982058,-0.0530232759820583,-0.0802327598205837,-0.1093741233783064,-0.05,-0.0501187482467566,-0.0511874824675661,-0.0618748246756612,-0.1687482467566128,-2537.317645421921,-0.05,-5.124535290843844,-50.79535290843842,-507.5035290843842,-5074.585290843843
