initial_set,sampling_type,diversity,size,pop_risk_nlcd_0.5,pop_risk_nlcd_0,pop_risk_nlcd_0.001,pop_risk_nlcd_0.01,pop_risk_nlcd_0.1,pop_risk_nlcd_1,pop_risk_image_clusters_2_0.5,pop_risk_image_clusters_2_0,pop_risk_image_clusters_2_0.001,pop_risk_image_clusters_2_0.01,pop_risk_image_clusters_2_0.1,pop_risk_image_clusters_2_1,pop_risk_image_clusters_8_0.5,pop_risk_image_clusters_8_0,pop_risk_image_clusters_8_0.001,pop_risk_image_clusters_8_0.01,pop_risk_image_clusters_8_0.1,pop_risk_image_clusters_8_1,pop_risk_states_0.5,pop_risk_states_0,pop_risk_states_0.001,pop_risk_states_0.01,pop_risk_states_0.1,pop_risk_states_1
IDS_top20_urban_1000_points_probabilistic_1000_size_seed_1.pkl,convenience_sampling_urban_based,-890520.5306996393,1000,-0.0688556625551805,-0.0316227766016837,-0.0316972423735907,-0.0323674343207537,-0.0390693537923831,-0.1060885485086773,-0.0397559816688988,-0.0316227766016837,-0.0316390430118182,-0.031785440703028,-0.0332494176151267,-0.0478891867361138,-0.0675345844269745,-0.0316227766016837,-0.0316946002173343,-0.0323410127581896,-0.0388051381667419,-0.1034463922522653,-2271.497602099385,-0.0316227766016837,-4.57455473524725,-45.46094236305736,-454.3248186411584,-4542.963581422169
IDS_top20_urban_1000_points_probabilistic_1000_size_seed_1213.pkl,convenience_sampling_urban_based,-890904.5125546445,1000,-0.0682532630345717,-0.0316227766016837,-0.0316960375745495,-0.0323553863303415,-0.0389488738882613,-0.1048837494674596,-0.0400449260286183,-0.0316227766016837,-0.0316396209005376,-0.0317912195902224,-0.0333072064870706,-0.0484670754555528,-0.0678083308279157,-0.0316227766016837,-0.0316951477101362,-0.0323464876862084,-0.0388598874469301,-0.1039938850541477,-2345.551247534685,-0.0316227766016837,-4.722662026117852,-46.94201527176336,-469.13554772821846,-4691.07087229277
IDS_top20_urban_1000_points_probabilistic_1000_size_seed_123.pkl,convenience_sampling_urban_based,-890780.9653023173,1000,-0.0676786549211562,-0.0316227766016837,-0.0316948883583227,-0.0323438941680732,-0.0388339522655782,-0.1037345332406286,-0.0397925385471621,-0.0316227766016837,-0.0316391161255747,-0.0317861718405933,-0.0332567289907794,-0.0479623004926404,-0.0677617472187619,-0.0316227766016837,-0.0316950545429179,-0.0323455560140253,-0.0388505707250994,-0.1039007178358401,-2079.855191030861,-0.0316227766016837,-4.191269913110203,-41.62809414168688,-415.9963364274536,-4159.678759285122
IDS_top20_urban_1000_points_probabilistic_1000_size_seed_1234.pkl,convenience_sampling_urban_based,-891000.19716221,1000,-0.0681809365788766,-0.0316227766016837,-0.0316958929216381,-0.0323539398012276,-0.0389344085971223,-0.1047390965560694,-0.0396671073939649,-0.0316227766016837,-0.0316388652632683,-0.0317836632175294,-0.03323164276014,-0.0477114381862461,-0.0667899714658337,-0.0316227766016837,-0.031693110991412,-0.0323261204989667,-0.0386562155745137,-0.1019571663299836,-2262.3808227770096,-0.0316227766016837,-4.556321176602499,-45.27860677660985,-452.5014627766833,-4524.7300227774185
IDS_top20_urban_1000_points_probabilistic_1000_size_seed_1415.pkl,convenience_sampling_urban_based,-890694.1855928284,1000,-0.0685132479299382,-0.0316227766016837,-0.0316965575443403,-0.0323605860282488,-0.0390008708673346,-0.1054037192581927,-0.0396154672219805,-0.0316227766016837,-0.0316387619829243,-0.0317826304140897,-0.0332213147257431,-0.0476081578422772,-0.0670671372486329,-0.0316227766016837,-0.0316936653229776,-0.0323316638146227,-0.0387116487310736,-0.102511497895582,-2258.427157077382,-0.0316227766016837,-4.548413845203243,-45.19953346261728,-451.71072963675766,-4516.822691378162
IDS_top20_urban_1000_points_probabilistic_1000_size_seed_42.pkl,convenience_sampling_urban_based,-893688.8584380436,1000,-0.0684361862101047,-0.0316227766016837,-0.0316964034209006,-0.0323590447938522,-0.0389854585233679,-0.1052495958185257,-0.0400449260286183,-0.0316227766016837,-0.0316396209005376,-0.0317912195902224,-0.0333072064870706,-0.0484670754555528,-0.0669677092025336,-0.0316227766016837,-0.0316934664668854,-0.0323296752537007,-0.0386917631218537,-0.1023126418033834,-2455.947284343404,-0.0316227766016837,-4.943454099735287,-49.14993600793772,-491.214755089962,-4911.862945910207
IDS_top20_urban_1000_points_probabilistic_1000_size_seed_456.pkl,convenience_sampling_urban_based,-887382.0760489692,1000,-0.0679052313959995,-0.0316227766016837,-0.0316953415112724,-0.0323484256975701,-0.0388792675605469,-0.1041876861903153,-0.0395817253631059,-0.0316227766016837,-0.0316386944992066,-0.0317819555769122,-0.0332145663539682,-0.0475406741245281,-0.0665148412482943,-0.0316227766016837,-0.031692560730977,-0.032320617894616,-0.0386011895310059,-0.1014069058949048,-1880.2185075661296,-0.0316227766016837,-3.79199654618074,-37.63536047239225,-376.0689997345073,-3760.405392355658
IDS_top20_urban_1000_points_probabilistic_1000_size_seed_5678.pkl,convenience_sampling_urban_based,-892486.5951881099,1000,-0.0669620905378757,-0.0316227766016837,-0.0316934552295561,-0.0323295628804076,-0.0386906393889221,-0.1023014044740676,-0.0396845987590792,-0.0316227766016837,-0.0316389002459985,-0.0317840130448317,-0.0332351410331628,-0.0477464209164747,-0.0665068074359478,-0.0316227766016837,-0.0316925446633523,-0.032320457218369,-0.0385995827685366,-0.1013908382702118,-2206.174624879809,-0.0316227766016837,-4.443908780808098,-44.15448281866582,-441.2602231972431,-4412.317626983016
IDS_top20_urban_1000_points_probabilistic_1000_size_seed_789.pkl,convenience_sampling_urban_based,-892028.8671294439,1000,-0.0689684182317656,-0.0316227766016837,-0.0316974678849439,-0.0323696894342854,-0.0390919049277001,-0.1063140598618474,-0.0400043735555331,-0.0316227766016837,-0.0316395397955915,-0.0317904085407607,-0.0332990959924536,-0.0483859705093824,-0.0676023201296339,-0.0316227766016837,-0.0316947356887396,-0.0323423674722427,-0.0388186853072738,-0.103581863657584,-1940.6572936173648,-0.0316227766016837,-3.912874118283209,-38.84413619341694,-388.1567569447543,-3881.282964458128
IDS_top20_urban_1000_points_probabilistic_1000_size_seed_9101.pkl,convenience_sampling_urban_based,-894864.8699258256,1000,-0.068046758865752,-0.0316227766016837,-0.0316956245662119,-0.0323512562469651,-0.0389075730544974,-0.1044707411298202,-0.0399644628720797,-0.0316227766016837,-0.0316394599742245,-0.0317896103270917,-0.0332911138557629,-0.0483061491424756,-0.0681731537958898,-0.0316227766016837,-0.0316958773560722,-0.0323537841455679,-0.038932852040525,-0.1047235309900959,-2288.3222610145745,-0.0316227766016837,-4.608204053077628,-45.79743554136113,-457.6897504241962,-4576.612899252546
