sampled_path,sampling_type,size,pop_risk_0.5,pop_risk_0,pop_risk_0.01,pop_risk_0.1,pop_risk_0.9,pop_risk_0.99,pop_risk_1,similarity,diversity
IDs_state_strata_county_clusters_5_points_per_cluster_900_size_seed_1.pkl,cluster_sampling,900,-0.05927781900714992,-0.03331483023263848,-0.0338340900081287,-0.03850742798754076,-0.08004821002675909,-0.08472154800617115,-0.08524080778166136,10183512.626953125,673873.5066577047
IDs_state_strata_county_clusters_10_points_per_cluster_300_size_seed_1.pkl,cluster_sampling,300,-0.09629995073849629,-0.05763904177042349,-0.05841225994978495,-0.06537122356403806,-0.12722867791295453,-0.1341876415272076,-0.13496085970656904,3393085.6235351562,74763.44915306568
IDs_state_strata_county_clusters_10_points_per_cluster_900_size_seed_1.pkl,cluster_sampling,900,-0.05490544303289299,-0.03331483023263848,-0.03374664248864356,-0.037632952792689384,-0.07217793327309659,-0.0760642435771424,-0.07649605583314747,10200535.349609375,675759.6701196134
IDs_state_strata_county_clusters_2_points_per_cluster_900_size_seed_1.pkl,cluster_sampling,900,-0.05479999603802977,-0.03331483023263849,-0.0337445335487463,-0.037611863393716735,-0.0719881286823428,-0.07585545852731325,-0.07628516184342106,10197680.929199219,675911.8075688332
IDs_state_strata_county_clusters_5_points_per_cluster_800_size_seed_1.pkl,cluster_sampling,800,-0.06159077344781223,-0.03533326266687866,-0.03585841288249734,-0.04058476482306538,-0.08259678207255909,-0.08732313401312711,-0.0878482842287458,9059359.811523438,533241.5314484835
IDs_state_strata_county_clusters_2_points_per_cluster_698_size_seed_1.pkl,cluster_sampling,698,-0.06426596459443447,-0.03782347372361169,-0.03835232354102815,-0.043111971897776234,-0.08541995729109268,-0.09017960564784078,-0.09070845546525723,7901703.0595703125,406312.5086848438
IDs_state_strata_county_clusters_2_points_per_cluster_100_size_seed_1.pkl,cluster_sampling,100,-0.1833788776837938,-0.0995037190209989,-0.10118122219425481,-0.1162787507535579,-0.2504790046140298,-0.26557653317333274,-0.26725403634658873,1132132.4467773438,8362.719310462475
IDs_state_strata_county_clusters_2_points_per_cluster_700_size_seed_1.pkl,cluster_sampling,700,-0.06317808127837006,-0.03776947873002489,-0.038277650780991795,-0.04285119923969394,-0.0835049633170462,-0.08807851177574831,-0.08858668382671522,7921635.8837890625,408249.6033117175
IDs_state_strata_county_clusters_10_points_per_cluster_1000_size_seed_1.pkl,cluster_sampling,1000,-0.05349315568666519,-0.03160697706205069,-0.03204470063454299,-0.0359842127869736,-0.07100209858635677,-0.07494161073878738,-0.07537933431127966,11358161.6875,838465.2590332925
IDs_state_strata_county_clusters_5_points_per_cluster_500_size_seed_1.pkl,cluster_sampling,500,-0.0763194603019604,-0.044676705160877024,-0.04530956026369869,-0.051005256189093705,-0.1016336644148271,-0.10732936034022211,-0.10796221544304377,5671629.80859375,209012.23944446445
IDs_state_strata_county_clusters_25_points_per_cluster_900_size_seed_1.pkl,cluster_sampling,900,-0.06926334956502009,-0.03331483023263848,-0.034033800619286105,-0.040504534099114795,-0.09802216503092538,-0.10449289851075405,-0.1052118688974017,10115036.053710938,664180.0299884677
IDs_state_strata_county_clusters_2_points_per_cluster_498_size_seed_1.pkl,cluster_sampling,498,-0.07799132669505131,-0.04476614810358452,-0.04543065167541386,-0.051411183821877884,-0.1045714695682247,-0.11055200171468872,-0.11121650528651805,5633858.342285156,206693.00979861617
IDs_state_strata_county_clusters_5_points_per_cluster_300_size_seed_1.pkl,cluster_sampling,300,-0.1002813001629898,-0.0576390417704235,-0.058491886938274826,-0.06616749344893677,-0.13439510687704287,-0.1420707133877048,-0.1429235585555561,3381452.8046875,74328.38117846847
IDs_state_strata_county_clusters_2_points_per_cluster_500_size_seed_1.pkl,cluster_sampling,500,-0.07601247374820617,-0.04467670516087703,-0.04530342053262361,-0.050943858878342865,-0.1010810886180695,-0.10672152696378874,-0.10734824233553532,5664383.780761719,208864.74357116222
IDs_state_strata_county_clusters_2_points_per_cluster_600_size_seed_1.pkl,cluster_sampling,600,-0.06997604403213989,-0.04079085082240021,-0.041374554686595004,-0.04662788946434815,-0.09332419859993166,-0.09857753337768477,-0.09916123724187959,6799774.92578125,300809.6002253145
IDs_state_strata_county_clusters_10_points_per_cluster_100_size_seed_1.pkl,cluster_sampling,100,-0.1710352658928728,-0.09950371902099892,-0.10093434995843639,-0.11381002839537369,-0.22826050339037193,-0.2411361818273092,-0.24256681276474668,1121496.7158203125,8176.727459996939
IDs_state_strata_county_clusters_25_points_per_cluster_100_size_seed_1.pkl,cluster_sampling,100,-0.23862590516538312,-0.0995037190209989,-0.1022861627438866,-0.12732815624987578,-0.3499236540808906,-0.37496564758687967,-0.37774809130976744,1107256.93359375,8353.415325343609
IDs_state_strata_county_clusters_5_points_per_cluster_100_size_seed_1.pkl,cluster_sampling,100,-0.22644317262759522,-0.09950371902099892,-0.10204250809313085,-0.12489160974231818,-0.3279947355128723,-0.3508438371620596,-0.35338262623419153,1127188.5854492188,8263.85033723712
IDs_state_strata_county_clusters_25_points_per_cluster_1000_size_seed_1.pkl,cluster_sampling,1000,-0.06406607099564439,-0.0316069770620507,-0.032256158940722576,-0.038098795848769434,-0.09003334614251933,-0.09587598305056619,-0.09652516492923806,11254344.030273438,822795.5458016396
IDs_state_strata_county_clusters_2_points_per_cluster_598_size_seed_1.pkl,cluster_sampling,598,-0.06907774264199057,-0.040858892322271856,-0.041423269328666225,-0.046502662386215594,-0.09165282289776555,-0.09673221595531493,-0.09729659296170931,6777833.810546875,298972.20704199374
IDs_state_strata_county_clusters_2_points_per_cluster_300_size_seed_1.pkl,cluster_sampling,300,-0.10028711357895823,-0.05763904177042349,-0.0584920032065942,-0.06616865613213047,-0.13440557102578607,-0.14208222395132228,-0.14293518538749297,3386476.4228515625,74640.68899810314
IDs_state_strata_county_clusters_10_points_per_cluster_200_size_seed_1.pkl,cluster_sampling,200,-0.1281255827462846,-0.07053456158585983,-0.07168638200906832,-0.0820527658179448,-0.1741983996746245,-0.184564783483501,-0.18571660390670947,2245984.5727539062,32922.22934857011
IDs_state_strata_county_clusters_10_points_per_cluster_600_size_seed_1.pkl,cluster_sampling,600,-0.07096571351167934,-0.04079085082240021,-0.04139434807618579,-0.046825823360256036,-0.09510560366310268,-0.10053707894717291,-0.10114057620095848,6792662.044921875,299442.05298772454
IDs_state_strata_county_clusters_25_points_per_cluster_600_size_seed_1.pkl,cluster_sampling,600,-0.07465877197944566,-0.0407908508224002,-0.04146820924554112,-0.0475644350538093,-0.10175310890508205,-0.10784933471335023,-0.10852669313649113,6720556.595214844,293888.637011081
IDs_state_strata_county_clusters_25_points_per_cluster_200_size_seed_1.pkl,cluster_sampling,200,-0.10046687915488195,-0.07053456158585981,-0.07113320793724026,-0.07652102509966426,-0.12441273321009964,-0.12980055037252364,-0.13039919672390407,2280405.859375,34022.39682507515
IDs_state_strata_county_clusters_2_points_per_cluster_200_size_seed_1.pkl,cluster_sampling,200,-0.12105079049955636,-0.07053456158585983,-0.07154488616413375,-0.08063780736859914,-0.1614637736305136,-0.170556694834979,-0.1715670194132529,2269694.5825195312,33529.0242882669
IDs_state_strata_county_clusters_25_points_per_cluster_400_size_seed_1.pkl,cluster_sampling,400,-0.08954974457711945,-0.04993761694389224,-0.050729859496556784,-0.05786004247053768,-0.12123944668370125,-0.12836962965768217,-0.1291618722103467,4471232.7880859375,130780.97360163182
IDs_state_strata_county_clusters_10_points_per_cluster_400_size_seed_1.pkl,cluster_sampling,400,-0.08566217725188638,-0.04993761694389224,-0.05065210815005212,-0.05708252900549106,-0.11424182549828173,-0.12067224635372065,-0.12138673755988053,4527081.932128906,133012.27627909184
IDs_state_strata_county_clusters_5_points_per_cluster_200_size_seed_1.pkl,cluster_sampling,200,-0.11538497354807045,-0.07053456158585981,-0.07143156982510405,-0.07950464397830194,-0.1512653031178389,-0.15933837727103686,-0.16023538551028102,2261067.0639648438,33220.251436024904
IDs_state_strata_county_clusters_10_points_per_cluster_800_size_seed_1.pkl,cluster_sampling,800,-0.05807574099548167,-0.03533326266687867,-0.03578811223345073,-0.03988175833259926,-0.07626972365836407,-0.0803633697575126,-0.08081821932408469,9056950.78125,532588.2852849662
IDs_state_strata_county_clusters_5_points_per_cluster_700_size_seed_1.pkl,cluster_sampling,700,-0.06518381158745574,-0.0377694787300249,-0.03831776538717351,-0.04325234530151107,-0.08711527787340043,-0.09204985778773796,-0.09259814444488658,7935229.7470703125,409380.1687757373
IDs_state_strata_county_clusters_5_points_per_cluster_600_size_seed_1.pkl,cluster_sampling,600,-0.070216134210958,-0.04079085082240021,-0.04137935649017137,-0.046675907500111774,-0.09375636092180425,-0.09905291193174465,-0.09964141759951581,6823726.7158203125,302450.6793164909
IDs_state_strata_county_clusters_10_points_per_cluster_500_size_seed_1.pkl,cluster_sampling,500,-0.07695725411825348,-0.04467670516087703,-0.045322316140024556,-0.05113281495235232,-0.10278169328415467,-0.10859219209648244,-0.10923780307562996,5690532.978027344,210267.57787317038
IDs_state_strata_county_clusters_10_points_per_cluster_700_size_seed_1.pkl,cluster_sampling,700,-0.06300878865032933,-0.03776947873002489,-0.03827426492843097,-0.04281734071408579,-0.08320023658657288,-0.08774331237222767,-0.08824809857063377,7932017.1494140625,408391.033888489
IDs_state_strata_county_clusters_2_points_per_cluster_1000_size_seed_1.pkl,cluster_sampling,1000,-0.052689656291205894,-0.0316069770620507,-0.0320286306466338,-0.03582351290788174,-0.06955579967453003,-0.073350681935778,-0.07377233552036108,11343297.912597656,836350.5949512869
IDs_state_strata_county_clusters_25_points_per_cluster_700_size_seed_1.pkl,cluster_sampling,700,-0.07309968281308722,-0.03776947873002489,-0.038476082811686144,-0.044835519546637365,-0.10136384607953709,-0.10772328281448831,-0.10842988689614956,7834448.992675781,398677.9722713232
IDs_state_strata_county_clusters_2_points_per_cluster_400_size_seed_1.pkl,cluster_sampling,400,-0.08565793863574535,-0.04993761694389223,-0.05065202337772929,-0.05708168128226285,-0.11423419598922786,-0.12066385389376141,-0.12137826032759846,4524308.623535156,133260.10768043995
IDs_state_strata_county_clusters_25_points_per_cluster_500_size_seed_1.pkl,cluster_sampling,500,-0.0829871750734992,-0.044676705160877024,-0.04544291455912947,-0.05233879914340146,-0.11363555100359696,-0.12053143558786893,-0.12129764498612136,5625179.2392578125,206434.56307458133
IDs_state_strata_county_clusters_25_points_per_cluster_300_size_seed_1.pkl,cluster_sampling,300,-0.09344427995435393,-0.0576390417704235,-0.0583551465341021,-0.06480008940720959,-0.12208847050149828,-0.12853341337460578,-0.12924951813828436,3408417.5415039062,75721.02005492151
IDs_state_strata_county_clusters_2_points_per_cluster_800_size_seed_1.pkl,cluster_sampling,800,-0.05915240083591698,-0.03533326266687867,-0.035809645430259426,-0.040097090300686325,-0.07820771137114765,-0.08249515624157454,-0.08297153900495531,9061606.192382812,533957.5179625154
IDs_state_strata_county_clusters_25_points_per_cluster_800_size_seed_1.pkl,cluster_sampling,800,-0.07151797445944579,-0.03533326266687867,-0.036056956902729996,-0.04257020502539209,-0.10046574389349948,-0.10697899201616157,-0.1077026862520129,8941562.7421875,519105.46332526207
IDs_state_strata_county_clusters_5_points_per_cluster_1000_size_seed_1.pkl,cluster_sampling,1000,-0.05565379168303513,-0.0316069770620507,-0.03208791335447038,-0.03641633998624759,-0.07489124337982268,-0.07921967001159987,-0.07970060630401955,11325907.013671875,833874.2121446878
IDs_state_strata_county_clusters_5_points_per_cluster_400_size_seed_1.pkl,cluster_sampling,400,-0.08277932814216889,-0.04993761694389224,-0.05059445116785776,-0.05650595918354756,-0.10905269710079024,-0.11496420511648,-0.11562103934044554,4533637.4931640625,133440.80090084672
IDS_top10_urban_600_points_probabilistic_seed_1.pkl,convenience_sampling_urban_based,600,-0.0687740103554137,-0.04079085082240021,-0.041350514013060474,-0.04638748272900291,-0.09116053798182448,-0.09619750669776693,-0.09675716988842718,7013044.145996094,322588.87364041805
IDS_top10_urban_400_points_probabilistic_seed_1.pkl,convenience_sampling_urban_based,400,-0.08236399400629195,-0.049937616943892225,-0.05058614448514023,-0.05642289235637218,-0.10830509565621176,-0.11414184352744368,-0.11479037106869168,4675841.997558594,143308.25602549314
IDS_top10_urban_300_points_probabilistic_seed_1.pkl,convenience_sampling_urban_based,300,-0.09341753860925317,-0.05763904177042349,-0.05835461170720009,-0.06479474113818945,-0.1220403360803169,-0.1284804655113063,-0.12919603544808284,3514362.7407226562,81014.51240831614
IDS_top10_urban_700_points_probabilistic_seed_1.pkl,convenience_sampling_urban_based,700,-0.06401348418998483,-0.0377694787300249,-0.038294358839224094,-0.0430182798220169,-0.08500868855795278,-0.08973260954074555,-0.09025748964994476,8183776.314941406,439058.96857714653
IDS_top10_urban_800_points_probabilistic_seed_1.pkl,convenience_sampling_urban_based,800,-0.05953527612334426,-0.03533326266687867,-0.03581730293600797,-0.04017366535817179,-0.07889688688851675,-0.08325324931068052,-0.08373728957980983,9353953.593261719,573618.5795000196
IDS_top10_urban_200_points_probabilistic_seed_1.pkl,convenience_sampling_urban_based,200,-0.11155325656265302,-0.07053456158585984,-0.07135493548539569,-0.07873830058121847,-0.14436821254408758,-0.15175157763991035,-0.1525719515394462,2339738.0668945312,35956.046772778034
IDS_top10_urban_900_points_probabilistic_seed_1.pkl,convenience_sampling_urban_based,900,-0.056491572721637504,-0.033314830232638475,-0.03377836508241845,-0.03795017873043829,-0.07503296671283673,-0.07920478036085657,-0.07966831521063654,10526557.092285156,726326.5417456627
IDS_top10_urban_1000_points_probabilistic_seed_1.pkl,convenience_sampling_urban_based,1000,-0.05387070280325505,-0.0316069770620507,-0.032052251576874795,-0.03605972221029157,-0.07168168339621854,-0.07568915402963533,-0.0761344285444594,11680611.304199219,894535.1490772963
IDS_top10_urban_500_points_probabilistic_seed_1.pkl,convenience_sampling_urban_based,500,-0.07567124815411154,-0.04467670516087703,-0.04529659602074172,-0.05087561375952392,-0.10046688254869916,-0.10604590028748134,-0.10666579114734603,5852388.891113281,224489.89630693197
IDS_top10_urban_10_points_probabilistic_seed_1.pkl,convenience_sampling_urban_based,10,-0.40075372957668337,-0.30151134457776363,-0.303496192277742,-0.32135982157754756,-0.4801476375758191,-0.49801126687562475,-0.4999961145756031,115502.744140625,87.97209054231644
IDS_top10_urban_100_points_probabilistic_seed_1.pkl,convenience_sampling_urban_based,100,-0.15184749812590756,-0.0995037190209989,-0.10055059460309708,-0.10997247484198062,-0.19372252140983448,-0.20314440164871797,-0.20419127723081615,1164922.4477539062,8902.826011836529
