initial_set,size,seed,points_per_cluster,strata,cluster,r2
IDS_top20_urban_300_points_probabilistic_300_size_seed_1234.pkl,300,1234,unknown,seed,20,0.6582791237397908
IDS_top20_urban_300_points_probabilistic_300_size_seed_1415.pkl,300,1415,unknown,seed,20,0.6329921251703503
IDS_top20_urban_300_points_probabilistic_300_size_seed_42.pkl,300,42,unknown,seed,20,0.6956130122855242
IDS_top20_urban_300_points_probabilistic_300_size_seed_456.pkl,300,456,unknown,seed,20,0.7314625780208557
IDS_top20_urban_300_points_probabilistic_300_size_seed_5678.pkl,300,5678,unknown,seed,20,0.7017415909646673
IDS_top20_urban_300_points_probabilistic_300_size_seed_789.pkl,300,789,unknown,seed,20,0.67784354288421
IDS_top20_urban_300_points_probabilistic_300_size_seed_9101.pkl,300,9101,unknown,seed,20,0.6594715953783714
IDS_top20_urban_400_points_probabilistic_400_size_seed_1.pkl,400,1,unknown,seed,20,0.6974328080434782
IDS_top20_urban_400_points_probabilistic_400_size_seed_1213.pkl,400,1213,unknown,seed,20,0.7334785505066452
IDS_top20_urban_400_points_probabilistic_400_size_seed_123.pkl,400,123,unknown,seed,20,0.6906428054100673
IDS_top20_urban_400_points_probabilistic_400_size_seed_1234.pkl,400,1234,unknown,seed,20,0.6646453149550368
IDS_top20_urban_400_points_probabilistic_400_size_seed_1415.pkl,400,1415,unknown,seed,20,0.6885545102262727
IDS_top20_urban_400_points_probabilistic_400_size_seed_42.pkl,400,42,unknown,seed,20,0.6884523555759118
IDS_top20_urban_400_points_probabilistic_400_size_seed_456.pkl,400,456,unknown,seed,20,0.6570797423627066
IDS_top20_urban_400_points_probabilistic_400_size_seed_5678.pkl,400,5678,unknown,seed,20,0.6937692282180545
IDS_top20_urban_400_points_probabilistic_400_size_seed_789.pkl,400,789,unknown,seed,20,0.6480675639506261
IDS_top20_urban_400_points_probabilistic_400_size_seed_9101.pkl,400,9101,unknown,seed,20,0.7441763246520106
IDS_top20_urban_500_points_probabilistic_500_size_seed_1.pkl,500,1,unknown,seed,20,0.7411932153858054
IDS_top20_urban_500_points_probabilistic_500_size_seed_1213.pkl,500,1213,unknown,seed,20,0.6773155623104139
IDS_top20_urban_500_points_probabilistic_500_size_seed_123.pkl,500,123,unknown,seed,20,0.7159717171929776
IDS_top20_urban_500_points_probabilistic_500_size_seed_1234.pkl,500,1234,unknown,seed,20,0.6928572167598515
IDS_top20_urban_500_points_probabilistic_500_size_seed_1415.pkl,500,1415,unknown,seed,20,0.7218146154274063
IDS_top20_urban_500_points_probabilistic_500_size_seed_42.pkl,500,42,unknown,seed,20,0.6835399298143333
IDS_top20_urban_500_points_probabilistic_500_size_seed_456.pkl,500,456,unknown,seed,20,0.7244929222133003
IDS_top20_urban_500_points_probabilistic_500_size_seed_5678.pkl,500,5678,unknown,seed,20,0.6557360205919511
IDS_top20_urban_500_points_probabilistic_500_size_seed_789.pkl,500,789,unknown,seed,20,0.669191443873262
IDS_top20_urban_500_points_probabilistic_500_size_seed_9101.pkl,500,9101,unknown,seed,20,0.696521508227629
IDS_top20_urban_600_points_probabilistic_600_size_seed_1.pkl,600,1,unknown,seed,20,0.7057182548361921
IDS_top20_urban_600_points_probabilistic_600_size_seed_1213.pkl,600,1213,unknown,seed,20,0.7160885630852147
IDS_top20_urban_600_points_probabilistic_600_size_seed_123.pkl,600,123,unknown,seed,20,0.7150904721774038
