,Sample Size
population;budget1000.0,91.0
population;budget1500.0,146.6
population;budget2000.0,182.8
population;budget2500.0,218.8
population;budget3000.0,258.2
population;budget3500.0,297.2
population;budget4000.0,337.2
population;budget4500.0,378.6
population;budget500.0,46.4
population;budget5000.0,421.4
