initial_set_size,initial_r2_mean,initial_r2_std,initial_r2_se
100,-0.3,0.85,0.2835742598701342
500,0.09,0.12,0.04160849569696583
600,0.1,0.13,0.043697336092674254
1000,0.15,0.06,0.02144974440183011
1500,0.15,0.07,0.024846967392082416
2000,0.14,0.09,0.029979487452198725
2500,0.16,0.06,0.019383638682539422
3000,0.14,0.04,0.014956633608167964
