initial_set_size,initial_mse_mean,initial_mse_std,initial_mse_se
100,0.29,0.19,0.06415179533956779
500,0.21,0.03,0.009412912517382407
600,0.2,0.03,0.009885461971003052
1000,0.19,0.01,0.004852484190851512
1500,0.19,0.02,0.005621023458461157
2000,0.19,0.02,0.006782131580981148
2500,0.19,0.01,0.0043850779061113294
3000,0.2,0.01,0.003383575429728717
